Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.03016968e+01 -1.39657497e+00 -1.18002300e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47784770e+00  1.05001999e+02  3.59153900e+02  5.02179615e-05]",93,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.02170563e+01 -1.39890027e+00 -1.18243380e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.42126477e+00  1.05012886e+02  3.59159576e+02  3.57806266e-01]",114,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.01706047e+01 -1.40016878e+00 -1.18387794e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46823907e+00  1.05021820e+02  3.59163391e+02  9.12626222e-04]",95,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.01709099e+01 -1.40016007e+00 -1.18395624e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.46815395e+00  1.05021820e+02  3.59162903e+02  4.99594360e-05]",117,0.696,No collision,"[0, 0, 0, 0.592261, 0.560456, 0.41069, 0, 0.695767, 0.245106, 0.290558, 0.14406, 0]",False
0,"[-12.11017799  -1.93350446 -19.67598152   0.           0.
   0.          12.          -1.           0.38228238 106.00566101
   0.31321833  13.11306575]",32,0.452,No collision,"[0.050791, 0, 0, 0.264837, 0.396887, 0.108157, 0, 0.298978, 0.412425, 0.452023, 0.409987, 0.162509]",False
0,"[ 74.37192535  -3.39718199 -38.23967743   0.           0.
   0.          12.           1.           0.93360513  82.57585907
 358.37283325  10.58137358]",13,0.535,No collision,"[0, 0, 0.27686, 0.143598, 0, 0.268966, 0.534765, 0, 0, 0, 0, 0]",False
0,"[ 1.01052223e+02 -3.77049351e+00 -3.88010483e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.28055608e-01  9.10206833e+01  3.55560974e+02  6.82070995e-02]",65,1.0,OBSTACLE,"[0, 0.103918, 0, 0, 0, 0, 0, 0.088721, 1, 0.31547, 0, 0]",False
0,"[ 1.05709839e+02 -3.82600427e+00 -3.99304695e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.82236099e-01  1.04920731e+02  3.55613525e+02  2.78037475e-03]",135,0.026,No collision,"[0, 0, 0.025892, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05710297e+02 -3.82678175e+00 -3.99406204e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.45584750e-01  1.04809479e+02  3.55675323e+02  5.49606066e-05]",4,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05711029e+02 -3.82724118e+00 -3.99549599e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.35884511e-01  1.04531410e+02  3.55690674e+02  1.64456330e-03]",81,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
