Episode,State,Action,Reward,Done
0,"[-37.0254364   -1.48079538 -12.69014835   0.           0.
   0.          12.          -1.           1.40832615 105.16533661
 359.05450439   2.68606981]",11,0.0,False
0,"[-3.53897324e+01 -1.52169800e+00 -1.31391478e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.39816487e+00  1.05251373e+02  3.59066925e+02  5.25142696e-05]",38,0.0,False
0,"[-34.13338852  -1.55579281 -13.48710918   0.           0.
   1.          12.          -1.           1.42368913 105.31166077
 359.11502075   2.04961375]",46,0.0,False
0,"[-3.33873291e+01 -1.57522726e+00 -1.36941996e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.53076351e+00  1.05347153e+02  3.59111603e+02  5.32558569e-05]",18,0.0,False
0,"[-1.49959259e+01 -1.90123224e+00 -1.83998718e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.75476396e-01  1.03029953e+02  9.74148735e-02  5.81850732e+00]",43,0.0,False
0,"[ 36.63243484  -2.79981589 -32.21719742   0.           0.
   1.          12.           1.           0.8947522  100.84773254
 358.4385376    9.06132109]",34,0.0,False
0,"[ 36.63243484  -2.79981589 -32.21719742   0.           0.
   1.          12.           1.           0.8947522  100.84773254
 358.4385376    9.06132109]",6,1.0,False
0,"[123.92841339  -4.0322094  -51.95967102   0.           0.2
   0.          12.          -1.           0.35735115 119.53721619
   1.56845438  19.16660321]",46,1.0,False
0,"[ 1.42007111e+02 -4.29287338e+00 -6.19493561e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.41497374e+00  1.26575005e+02  3.59012115e+02  1.52840196e-03]",14,0.265,False
0,"[ 1.42008591e+02 -4.28612471e+00 -6.19431267e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  2.42881918e+00  1.26629333e+02  3.58590576e+02  9.28454714e-04]",21,0.0,False
0,"[ 1.42008591e+02 -4.28612471e+00 -6.19431267e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  2.42881918e+00  1.26629333e+02  3.58590576e+02  9.28454714e-04]",22,0.261,False
0,"[ 1.42009369e+02 -4.28365755e+00 -6.19399033e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  2.41778851e+00  1.26621834e+02  3.58392151e+02  4.62751810e-04]",0,0.259,False
0,"[ 1.42009811e+02 -4.28126240e+00 -6.19375343e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  2.31573057e+00  1.26607040e+02  3.58405731e+02  4.79698988e-04]",4,0.258,False
0,"[ 1.42009949e+02 -4.28031778e+00 -6.19354210e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  2.27652645e+00  1.26591248e+02  3.58420441e+02  4.73943838e-04]",39,0.0,False
0,"[ 1.42009949e+02 -4.28031778e+00 -6.19354210e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  2.27652645e+00  1.26591248e+02  3.58420441e+02  4.73943838e-04]",17,0.258,True
1,"[-4.01809273e+01 -1.39984906e+00 -1.18333750e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47433209e+00  1.04983345e+02  3.59164429e+02  8.91099288e-04]",23,0.0,False
1,"[-4.01698036e+01 -1.40016294e+00 -1.18379850e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46779931e+00  1.04989906e+02  3.59164215e+02  4.97182413e-05]",3,0.0,False
1,"[-4.00291176e+01 -1.40392947e+00 -1.18761930e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.31447339e+00  1.04999786e+02  3.59163788e+02  9.99744431e-01]",28,0.0,False
1,"[-3.40056038e+01 -1.55911541e+00 -1.35221033e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.50696564e+00  1.05296036e+02  3.59115082e+02  5.33543188e-05]",39,0.0,False
1,"[-1.90561352e+01 -1.87199712e+00 -1.77085495e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.77490279e-01  1.05383202e+02  3.59697571e+02  6.22134190e+00]",35,0.0,False
1,"[-1.90561352e+01 -1.87199712e+00 -1.77085495e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.77490279e-01  1.05383202e+02  3.59697571e+02  6.22134190e+00]",34,0.0,False
1,"[ 11.95117092  -2.35087633 -26.12726021   0.2          0.
   0.2         12.           1.           1.39512706 107.02811432
   0.3335042    7.42246846]",24,0.999,False
1,"[ 6.42831879e+01 -3.25065494e+00 -3.81151390e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.84919071e-01  9.96885452e+01  3.59629486e+02  9.71808999e+00]",24,0.999,False
1,"[ 1.33553467e+02 -4.14409590e+00 -5.43939209e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.42078876e-01  1.04725632e+02  3.59947723e+02  1.23265990e+01]",19,0.998,False
1,"[ 2.10918396e+02 -5.17529583e+00 -7.55106964e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.05142808e+00  1.06986122e+02  1.09192133e-01  1.23647254e+01]",46,0.0,False
1,"[ 2.10918396e+02 -5.17529583e+00 -7.55106964e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.05142808e+00  1.06986122e+02  1.09192133e-01  1.23647254e+01]",34,1.0,False
1,"[ 2.24933960e+02 -5.55939722e+00 -8.27616577e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.88619971e+00  1.18098640e+02  3.58832886e+02  2.87081546e-03]",9,1.0,False
1,"[ 2.24933456e+02 -5.56080723e+00 -8.27680664e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.95832837e+00  1.17979774e+02  3.58849426e+02  4.54076228e-03]",5,0.998,False
1,"[ 2.24930466e+02 -5.56127071e+00 -8.27723465e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.98073995e+00  1.17804970e+02  3.58837677e+02  3.61377848e-03]",8,1.0,False
1,"[ 2.24926575e+02 -5.56143475e+00 -8.27758942e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.98350513e+00  1.17605164e+02  3.58830322e+02  1.48091918e-03]",26,1.0,True
2,"[-35.34617996  -1.52103055 -13.01360512   0.           0.
   0.          12.          -1.           1.36142731 104.15198517
 359.19177246   4.47971503]",44,0.0,False
2,"[-3.00803909e+01 -1.66893363e+00 -1.43790855e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75086677e+00  1.04614922e+02  3.59402863e+02  6.46987012e-05]",5,0.0,False
2,"[-3.00803909e+01 -1.66894364e+00 -1.43796549e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75090075e+00  1.04614929e+02  3.59402466e+02  6.47477664e-05]",47,0.0,False
2,"[-3.00803909e+01 -1.66894364e+00 -1.43796549e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75090075e+00  1.04614929e+02  3.59402466e+02  6.47477664e-05]",37,0.0,False
2,"[-3.00803909e+01 -1.66895366e+00 -1.43802252e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.75093889e+00  1.04614937e+02  3.59402069e+02  6.48895604e-05]",34,0.0,True
3,"[-36.80919266  -1.48623967 -12.75228214   0.           0.
   0.          12.          -1.           1.41384757 105.22491455
 359.05270386   2.50145872]",29,0.0,False
3,"[-35.02775192  -1.53118682 -13.24363708   0.           0.
   0.          12.          -1.           1.37452567 105.30982208
 359.10287476   1.35999658]",40,0.0,False
3,"[-3.46702881e+01 -1.54101229e+00 -1.33429451e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.44677520e+00  1.05320595e+02  3.59102356e+02  5.32348868e-05]",22,0.0,False
3,"[-3.46702881e+01 -1.54101241e+00 -1.33429451e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.44677496e+00  1.05320595e+02  3.59102356e+02  5.32232010e-05]",32,0.0,False
3,"[-29.41847229  -1.69220924 -14.70746231   0.           0.
   0.          12.           1.           1.75954151 103.78142548
 359.28335571   3.18612125]",50,1.0,False
3,"[-2.18086758e+01 -1.83537984e+00 -1.61545696e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.56976205e-01  9.78013535e+01  3.59831726e+02  8.87252299e-03]",0,0.0,False
3,"[-2.17636414e+01 -1.84028566e+00 -1.61497421e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.60140717e-01  9.78418427e+01  3.59744354e+02  2.17922055e-03]",21,0.0,False
3,"[-2.17636414e+01 -1.84028566e+00 -1.61497421e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.60140717e-01  9.78418427e+01  3.59744354e+02  2.17922055e-03]",27,1.0,False
3,"[-2.17344780e+01 -1.84309745e+00 -1.61452675e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.15378213e-01  9.78474197e+01  3.59586517e+02  7.06095384e-03]",45,1.0,False
3,"[-2.16330853e+01 -1.84717083e+00 -1.61516399e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03753638e+00  9.79782410e+01  3.59567139e+02  1.29015967e-02]",47,1.0,False
3,"[-2.15498447e+01 -1.85116196e+00 -1.61496372e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.17932689e+00  9.80586319e+01  3.59335480e+02  5.43967902e-02]",50,1.0,False
3,"[-2.14885254e+01 -1.85291958e+00 -1.61460571e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.45989382e+00  9.82120895e+01  3.59322784e+02  2.02118733e-02]",28,1.0,False
3,"[-2.14234581e+01 -1.85580742e+00 -1.61400719e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.53259194e+00  9.84011078e+01  3.59178101e+02  6.21328475e-03]",7,0.297,False
