Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
0,"[-37.92467499  -1.45838988 -12.44524574   0.           0.
   0.          12.          -1.           1.3523556  105.12783051
 359.05010986   2.8421585 ]",42,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.42724571e+01 -1.55181015e+00 -1.34476004e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48283982e+00  1.05313576e+02  3.59113007e+02  5.31066174e-05]",31,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.42724571e+01 -1.55181015e+00 -1.34476004e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48284018e+00  1.05313576e+02  3.59113007e+02  5.30099355e-05]",45,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.42724571e+01 -1.55181015e+00 -1.34476004e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.48283982e+00  1.05313576e+02  3.59113007e+02  5.30763262e-05]",10,0.064,"[0, 0, 0, 0, 0, 0, 0, 0, 0.064412, 0.042603, 0, 0]",False
0,"[  5.51380634  -2.18325996 -24.11187172   0.           0.
   0.5         12.           1.           1.46172214 101.8877182
 359.49554443   8.68083202]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 55.11605835  -3.10840273 -36.95207214   0.           0.
   0.5         12.           1.           0.5433715   92.62929535
 358.13354492   8.77400569]",7,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",False
0,"[ 1.05625130e+02 -3.82936144e+00 -3.98390121e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.36044824e-01  9.42723770e+01  3.54806000e+02  7.60995247e-04]",19,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05624672e+02 -3.82881427e+00 -3.98422241e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.63778448e-01  9.42351456e+01  3.54934662e+02  1.18594867e-03]",13,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05624405e+02 -3.82918406e+00 -3.98447456e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  7.78906167e-01  9.41968079e+01  3.54925781e+02  5.60218095e-04]",30,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05624123e+02 -3.82965994e+00 -3.98474045e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  8.04155469e-01  9.41706085e+01  3.54902740e+02  4.83972507e-04]",3,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-38.71858978  -1.43845439 -12.22933388   0.           0.
   0.          12.          -1.           1.25925171 105.09024811
 359.05593872   2.85591521]",0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.50195961e+01 -1.53144741e+00 -1.32453747e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.44064033e+00  1.05307625e+02  3.59099426e+02  1.04014513e-03]",45,1.0,"[0, 0, 0, 0, 0, 0, 0.534106, 1, 0.491318, 0, 0, 0]",False
1,"[-44.30437088  -1.30896211 -11.62970161   0.           0.
   0.          12.          -1.           1.26193237 101.51284027
 358.78878784   2.94762073]",36,0.179,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.106145, 0.17871]",False
1,"[-39.82756424  -1.42454255 -12.70755672   0.           0.
   0.          12.           1.           1.44705749 102.95810699
 358.63189697   2.26821104]",38,1.0,"[0.32283, 0.403767, 0.255772, 0.474245, 1, 0.1375, 0.137044, 0.137072, 0.137443, 0.137544, 0.137598, 0.137657]",False
1,"[-2.99192619e+01 -1.68716264e+00 -1.51030216e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.62320495e+00  1.06605766e+02  3.59251892e+02  6.15197439e-03]",19,1.0,"[0.137701, 0.137746, 0.243068, 0.360801, 1, 0.999968, 0, 0, 0.184543, 0.643034, 1]",False
1,"[-37.00682831  -1.50172317 -13.57837105   0.           0.
   0.          12.           1.           0.89366722  99.38462067
 358.39343262   3.77353441]",24,1.0,"[0.999927, 0.99992, 0.999917, 0, 0, 0.229003, 0.759029, 0.826046, 0.494611, 0.576425, 0.627073, 0.628726]",False
1,"[-24.35157013  -1.79488015 -15.70916462   0.           0.
   0.          12.          -1.           0.98741603 102.23604584
   0.13544807   5.51060146]",8,1.0,"[0.615559, 0.335057, 0.105347, 0.999845, 0.999875, 0.999843, 0.999813, 0.999796, 0.999791, 0.999779, 0.999757, 0.999724]",False
1,"[ 15.10046196  -2.3880496  -23.08163261   0.           1.
   0.          12.          -1.           0.87310666 100.41604614
 359.89385986  10.97791273]",6,1.0,"[0.999682, 0.999633, 0, 0.999554, 0.999526, 0, 0.999497, 0, 0, 0, 0, 0]",False
1,"[ 4.18989639e+01 -2.84195924e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06656957e+00  1.00905327e+02  3.66743982e-01  4.42573889e-05]",1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.18989639e+01 -2.84195924e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06656945e+00  1.00905327e+02  3.66743803e-01  4.35737301e-05]",22,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.18989639e+01 -2.84195900e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.06656981e+00  1.00905327e+02  3.66743505e-01  4.36519642e-05]",0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.18989639e+01 -2.84195924e+00 -2.82157879e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.06656933e+00  1.00905327e+02  3.66743654e-01  4.48324629e-05]",47,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
