Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-4.02761154e+01 -1.39728999e+00 -1.18079739e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47677934e+00  1.05003838e+02  3.59155518e+02  8.92495429e-04]",43,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-31.60590744  -1.62485909 -14.18770409   0.           0.
   0.          12.          -1.           1.61722243 105.42456818
 359.20272827   3.7312889 ]",31,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.94402161e+01 -1.86977172e+00 -1.76095581e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.81069046e-01  1.05654785e+02  3.59719421e+02  5.53582775e+00]",11,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 16.09986305  -2.42232442 -26.66662216   0.           0.
   1.          12.           1.           0.5045144   99.68850708
 359.83862305  12.37129652]",27,0.999,"[0, 0, 0, 0, 0, 0, 0.999377, 0.999326, 0.999272, 0.999223, 0.999175, 0.999128]",False
0,"[ 80.59217072  -3.50574207 -33.27271271   0.           0.
   1.          12.           1.           1.1463058  109.06244659
 357.57565308   9.44819736]",8,0.999,"[0.999083, 0.999039, 0.998999, 0.998962, 0.998928, 0.998897, 0.998868, 0.998834, 0.998796, 0.998759, 0.998724, 0.99869]",False
0,"[121.46437073  -4.01044273 -49.0124855    0.           1.
   0.          12.           1.           0.51184201 109.05031586
   0.73122388   6.57140037]",44,1.0,"[0.998658, 1, 0.998648, 0.999925, 0.999924, 0.99992, 0.999917, 0, 0.999915, 0.99991, 0.999905, 0.999904]",False
0,"[ 1.23478340e+02 -4.02797937e+00 -4.96737328e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.14978892e-01  1.08843208e+02  6.60982251e-01  4.92518386e-02]",46,1.0,"[0.998669, 0.998665, 0.998657, 0.998644, 1, 0.99993, 0, 0, 0, 0.99993, 0, 0]",False
0,"[ 1.25983871e+02 -4.05239677e+00 -5.05152550e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.24709880e-01  1.08885574e+02  5.04205823e-01  1.46694687e-03]",16,1.0,"[0.99993, 0, 0, 0, 0, 0, 0, 0, 0, 0.99993, 0.99993, 0.99993]",False
0,"[ 1.25986221e+02 -4.05319643e+00 -5.05094490e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.29333240e-01  1.08927940e+02  5.09495914e-01  5.27760885e-04]",29,1.0,"[0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993]",False
0,"[ 1.25987228e+02 -4.05770493e+00 -5.05097961e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.44433001e-01  1.08944748e+02  5.09757936e-01  8.43067756e-04]",34,1.0,"[0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0.99993]",False
0,"[ 1.25987389e+02 -4.06862736e+00 -5.05093307e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59880280e+02  1.08985680e+02  5.21363139e-01  1.94905532e-03]",20,1.0,"[0.99993, 0.99993, 0.99993, 0.99993, 0.99993, 0, 0.998643, 0, 0, 0, 0, 0]",False
