Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-34.45787811  -1.546314   -13.38584709   0.           0.
   0.          12.          -1.           1.26980746 105.23955536
 359.12817383   6.17476488]",33,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-5.96707058e+00 -1.96955991e+00 -2.14087696e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.03904772e-01  1.05821808e+02  1.44924119e-01  1.16482596e-03]",38,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-5.96684170e+00 -1.96960044e+00 -2.14088402e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.39314407e-01  1.05821655e+02  1.44348964e-01  1.26431451e-05]",33,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -5.77263498  -1.9705925  -21.46338654   0.           0.
   0.          12.          -1.           0.11544741 105.81905365
   0.14256589   0.84829956]",44,1.0,"[0.999898, 0, 0.999887, 0, 0, 0, 0, 0, 0.999821, 0.999821, 0, 0]",False
0,"[ 4.26207989e-01 -2.07930636e+00 -2.31522808e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.17746687e+00  1.05233650e+02  3.74548957e-02  1.34781048e-04]",0,0.695,"[0, 0, 0, 0, 0, 0.263733, 0.694678, 0.556176, 0.030322, 0, 0, 0]",False
0,"[ 33.11368561  -2.75125217 -31.911026     0.           0.
   0.          12.           1.           1.04330015 106.32263947
 358.59286499   4.12724551]",29,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 59.02120209  -3.15505791 -30.85481834   0.           0.
   0.          12.          -1.           1.23193443  77.51983643
   0.66576713   3.35612236]",22,1.0,"[0, 0.999827, 0.999831, 0.999844, 0.999858, 0, 0.010642, 0.107831, 0, 1, 0, 0.999798]",False
0,"[ 8.49677124e+01 -3.53048801e+00 -4.88128166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.54126556e+02  1.52255722e+02  3.66835332e+00  7.58693772e-03]",41,1.0,"[0.999771, 0, 0, 0, 0, 0, 0, 0, 0, 0.999525, 0, 0]",False
0,"[ 8.50147476e+01 -3.53298640e+00 -4.88082695e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.54251648e+02  1.52710266e+02  3.66582656e+00  6.91236314e-03]",1,0.999,"[0, 0, 0, 0, 0, 0.999302, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.50686722e+01 -3.53529406e+00 -4.88049088e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.54292114e+02  1.53551834e+02  3.70026445e+00  6.31737427e-03]",37,0.999,"[0, 0, 0.99926, 0, 0, 0, 0.99926, 0, 0, 0, 0, 0.99926]",False
0,"[ 8.51164856e+01 -3.53758168e+00 -4.88090782e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.54416565e+02  1.53338425e+02  3.59850144e+00  1.11218705e-02]",15,1.0,"[0, 0.99926, 0, 0, 0.999259, 1, 0, 0.999258, 0.999258, 0.999258, 0.999258, 0.999309]",False
