Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.60181808  -1.44113171 -12.24719906   0.           0.
   0.          12.          -1.           1.39159071 104.75728607
 359.05224609   1.70926135]",45,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-25.60247421  -1.7800231  -15.81107521   0.           0.
   0.          12.          -1.           1.11311841 105.53907776
 359.57247925   1.39496661]",5,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.57797680e+01 -1.89349282e+00 -1.85346947e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  8.69645298e-01  1.05094322e+02  4.39423864e-04  1.46871265e+00]",14,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -3.55013537  -1.99890101 -21.90141678   1.           0.
   1.          10.          -1.           0.65673482 105.77279663
   0.11625852   8.55798594]",9,0.999,No collision,"[0, 0, 0, 0, 0, 0, 0.999495, 0.999444, 0, 0, 0.999323, 0.99928]",False
0,"[ 63.73014069  -3.22414374 -33.45084763   0.           0.
   0.2         10.           1.           0.9381851   99.47672272
   1.01654124   9.2865482 ]",39,0.999,No collision,"[0.999236, 0.999192, 0.999151, 0.999113, 0.999077, 0.999039, 0.999, 0.998961, 0.998917, 0.998872, 0.998827, 0.998783]",False
0,"[ 1.08339333e+02 -3.81453681e+00 -5.55354424e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  3.58095581e+02  1.09131935e+02  5.30180740e+00  9.01473017e+00]",19,0.999,No collision,"[0.99874, 0.998701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.19538002e+02 -4.11209917e+00 -5.92911720e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  1.87239289e+00  1.07942497e+02  3.59754333e+02  1.89965671e-04]",19,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.19533073e+02 -4.11289406e+00 -5.93091278e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  1.86209011e+00  1.07926559e+02  3.59845062e+02  5.77684308e-03]",11,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.19529449e+02 -4.11306381e+00 -5.93210106e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  1.86886811e+00  1.07841141e+02  3.59887421e+02  1.58827024e-04]",44,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.19529449e+02 -4.11306381e+00 -5.93210106e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  1.86887002e+00  1.07841141e+02  3.59887421e+02  1.58178489e-04]",47,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-39.09853745  -1.42646158 -11.99039841   0.           0.
   0.          12.          -1.           1.28949523 101.73848724
 359.19180298   1.90953585]",30,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-11.19436073  -1.94225538 -19.2250843    0.           0.
   0.          12.           1.           0.53514731 106.61910248
   0.25023496   2.34070708]",17,1.0,No collision,"[0.999802, 0.999794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.07315283e+01 -1.94458818e+00 -1.93635941e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.46779138e-01  1.06647552e+02  2.44544834e-01  2.02042331e-05]",20,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.07315283e+01 -1.94458795e+00 -1.93635941e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.46779883e-01  1.06647552e+02  2.44544014e-01  2.05975674e-05]",44,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.07315283e+01 -1.94458795e+00 -1.93635941e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.46779853e-01  1.06647552e+02  2.44545102e-01  2.03283649e-05]",44,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.46671855e+00 -2.03710556e+00 -2.21822376e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.57406771e+00  1.06636833e+02  1.39699712e-01  5.95717543e-04]",38,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.46035254e+00 -2.03750682e+00 -2.21837292e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.21173358e+00  1.06630440e+02  1.37038335e-01  3.41706800e-05]",23,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.46020949e+00 -2.03750992e+00 -2.21837292e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.21173131e+00  1.06630440e+02  1.37034282e-01  3.44781968e-05]",42,1.0,No collision,"[0, 0, 0, 0, 0, 0.001918, 0.033387, 0, 0, 0, 0.999677, 0.999609]",False
1,"[ 51.96578979  -3.04721284 -35.63977051   0.           0.
   0.          12.          -1.           0.78442687  97.86526489
 358.51992798  14.76979466]",8,1.0,No collision,"[0.999541, 0.999479, 0, 0, 0, 0.999299, 0.999299, 0.999299, 0.999299, 0.999299, 0.999298, 0]",False
1,"[ 8.54165497e+01 -3.57764745e+00 -3.49241524e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.74606955e-01  7.99247437e+01  3.58403870e+02  6.64245396e-03]",19,0.999,No collision,"[0, 0, 0, 0.999298, 0.999298, 0.999297, 0.999297, 0.999297, 0.999296, 0.999296, 0.999296, 0]",False
1,"[ 8.56563950e+01 -3.58140755e+00 -3.49584274e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.14379978e-01  8.07570114e+01  3.58438629e+02  7.11138130e-03]",12,0.999,No collision,"[0.999296, 0.999296, 0.999295, 0, 0, 0.999295, 0.999294, 0.999294, 0.999294, 0.999293, 0.999293, 0.999292]",False
1,"[ 8.60300140e+01 -3.58656883e+00 -3.50046234e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  3.88954043e-01  8.26630859e+01  3.58424438e+02  1.57241417e-01]",9,0.999,No collision,"[0.999292, 0.999292, 0.999291, 0.999291, 0, 0.999291, 0.999291, 0, 0.99929, 0.99929, 0, 0]",False
1,"[ 8.63089676e+01 -3.59422088e+00 -3.50474281e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  5.97086310e-01  8.40239563e+01  3.58173187e+02  1.46519010e-02]",16,0.999,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.999289, 0]",False
1,"[ 8.64471436e+01 -3.60636997e+00 -3.51212883e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  1.03936434e+00  8.61655579e+01  3.57253143e+02  9.45720541e-03]",12,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.64475479e+01 -3.60513020e+00 -3.51213646e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  9.61593211e-01  8.61720581e+01  3.57399658e+02  5.95771004e-05]",32,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.64475479e+01 -3.60513020e+00 -3.51213646e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  9.61592972e-01  8.61720581e+01  3.57399658e+02  6.00392536e-05]",19,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.64475479e+01 -3.60513020e+00 -3.51213646e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  9.61593628e-01  8.61720581e+01  3.57399658e+02  5.99192691e-05]",26,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.64475479e+01 -3.60513020e+00 -3.51213646e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  9.61593449e-01  8.61720581e+01  3.57399658e+02  6.00142801e-05]",35,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.64475479e+01 -3.60513020e+00 -3.51213646e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  9.61593628e-01  8.61720581e+01  3.57399658e+02  5.99152622e-05]",12,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.64475479e+01 -3.60513020e+00 -3.51213646e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  0.00000000e+00
  9.61594045e-01  8.61720581e+01  3.57399658e+02  6.00633601e-05]",30,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-38.683918    -1.43988085 -12.27769852   0.           0.
   0.          12.          -1.           1.23191142 105.74998474
 359.02416992   3.0711303 ]",33,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
