Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.39142761e+01 -1.56167495e+00 -1.35482635e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.24287748e+00  1.05384521e+02  3.59132111e+02  7.34005769e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  6.34936967e+00  1.30328445e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.42309729e+01  0.00000000e+00  1.00000000e+02
 -4.15974938e-01  1.18007998e+00  1.00000000e+00]",0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.79711914e+01 -2.67644310e+00 -3.09662075e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01 -1.00000000e+00
  8.41822982e-01  1.04144112e+02  3.58607178e+02  1.58715336e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  5.89130608e+00  1.31303121e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.31230831e+00  3.41681919e-01  1.00000000e+00]",152,0.258,No collision,"[0.138972, 0.141846, 0.10381, 0.257579, 0.098012, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.12930763e+02 -3.93550777e+00 -5.12318878e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  2.00000000e+01 -1.00000000e+00
  7.20459878e-01  1.29372253e+02  3.59764832e+02  1.42880108e+01
  1.00000000e+00  1.00000000e+00  1.24070753e+02  1.96070485e+01
  1.22538790e+02  1.24070753e+02  3.79606384e+01  1.26000692e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.77272213e+01  0.00000000e+00  1.00000000e+02
 -3.29313353e-01  6.22813777e-01  1.00000000e+00]",7,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759674e+02 -3.54230785e+00 -6.96304626e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  2.00000000e+01  1.00000000e+00
  5.84457457e-01  9.79632416e+01  8.92030525e+00  7.40685206e-04
  2.00000000e+00  2.00000000e+00  1.18860434e+02  1.85760302e+01
  1.36019500e+01  1.62478772e+02  4.50602336e+00  1.42244203e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.90847911e+01  1.00000000e+02
  1.42944225e+00 -8.25437341e-02  1.00000000e+00]",108,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759857e+02 -3.54298210e+00 -6.96258545e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  2.00000000e+01  1.00000000e+00
  5.57128966e-01  9.79594345e+01  8.91094875e+00  6.46918460e-04
  3.00000000e+00  3.00000000e+00  1.37744142e+02  1.56614634e+01
  1.15001036e+01  1.62476977e+02  4.50552566e+00  1.42345958e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.17142367e+01  1.00000000e+02
  2.79857475e-03 -1.30570840e-01  1.00000000e+00]",121,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759857e+02 -3.54366851e+00 -6.96212540e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  2.00000000e+01  1.00000000e+00
  5.57096958e-01  9.79596481e+01  8.90732574e+00  6.46114306e-04
  4.00000000e+00  4.00000000e+00  6.97257700e+01  9.99663892e+00
  1.53275663e+02  1.62475020e+02  4.50486767e+00  1.42447025e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.24940607e+01  1.00000000e+02
 -2.64683383e-04 -1.74996040e-01  1.00000000e+00]",112,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759857e+02 -3.54435515e+00 -6.96166534e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  2.00000000e+01 -1.00000000e+00
  5.57070851e-01  9.79599075e+01  8.90377140e+00  6.47038867e-04
  5.00000000e+00  5.00000000e+00  8.68374044e+01  1.99899466e+01
  1.52016275e+02  8.68374044e+01  4.50418410e+00  1.42548023e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.77042018e+01  1.00000000e+02
 -2.64683383e-04 -2.43413495e-01  1.00000000e+00]",154,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759857e+02 -3.54504180e+00 -6.96120529e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  5.57025194e-01  9.79601822e+01  8.90020084e+00  6.44627543e-04
  5.00000000e+00  5.00000000e+00  1.49955105e+02  7.81760523e+00
  1.52346228e+02  1.62471108e+02  4.50352022e+00  1.42649100e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.72064885e+01  1.00000000e+02
 -1.86363111e-01 -2.75832903e-01  1.00000000e+00]",3,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759872e+02 -3.54572821e+00 -6.96074524e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  5.56985080e-01  9.79604492e+01  8.89658737e+00  6.44331190e-04
  6.00000000e+00  6.00000000e+00  1.03723829e+02  9.99594205e+00
  1.24346096e+01  1.62469166e+02  4.50289115e+00  1.42750304e+00
  3.30588677e+01  3.07724971e+00  9.99594333e+00  4.86571047e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.93809524e+01  1.00000000e+02
 -1.86363111e-01 -3.00000000e-01  1.00000000e+00]",38,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.46759872e+02 -3.54641509e+00 -6.96028519e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  5.56945801e-01  9.79607162e+01  8.89303112e+00  6.45341578e-04
  7.00000000e+00  7.00000000e+00  1.12508714e+02  2.99889214e+01
  1.28800468e+01  1.12508714e+02  4.50222137e+00  1.42851391e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.93809524e+01  1.00000000e+02
 -1.86363111e-01 -3.00000000e-01  1.00000000e+00]",143,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-4.01139565e+01 -1.40179169e+00 -1.18629189e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47442079e+00  1.05444237e+02  3.59166168e+02  5.53385237e-04
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  4.62149151e-02 -1.54959068e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.29763587e+01  0.00000000e+00  1.00000000e+02
 -4.15636790e-01  9.24362499e-01  1.00000000e+00]",109,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.88880463e+01 -1.43423927e+00 -1.22127304e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.41079211e+00  1.05634018e+02  3.59045349e+02  4.89366791e-05
  1.00000000e+00  1.00000000e+00  4.67347244e+01  9.99540211e+00
  1.53462190e+02  4.67347244e+01  5.49687479e+00  1.31347537e+00
  3.51369258e+00  6.68575517e+00  3.85029820e+00  2.31739357e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.79467270e+01  1.00000000e+02
 -4.47841050e-01 -3.00000000e+00  1.00000000e+00]",16,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.88374786e+01 -1.43559003e+00 -1.22280464e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.40840483e+00  1.05636711e+02  3.59039307e+02  4.86823986e-05
  2.00000000e+00  2.00000000e+00  3.86056261e+01  1.00041497e+01
  1.53397308e+02  4.07423095e+01  5.45056274e+00  1.31382141e+00
  2.74875997e+00  2.51880975e-02  9.61241211e-01  1.92086762e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99985272e+01  1.00000000e+02
 -3.18498029e-01 -3.00000000e+00  1.00000000e+00]",83,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.87524147e+01 -1.43787420e+00 -1.22521791e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.28577971e+00  1.05645164e+02  3.59033997e+02  7.65359392e-01
  4.00000000e+00  4.00000000e+00  4.06685754e+01  1.00067990e+01
  1.79052511e+02  4.06685754e+01  9.73216864e-01  1.30364617e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.34339732e+01  0.00000000e+00  1.00000000e+02
 -2.05807194e-02  9.28315500e-01  1.00000000e+00]",17,0.987,No collision,"[0.408532, 0, 0.354444, 0.807814, 0.986831, 0.954119, 0.673957, 0.171825, 0, 0.027582, 0.130817, 0.058975]",False
1,"[-1.61707134e+01 -1.89014673e+00 -1.86115494e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.87091756e-01  1.05506271e+02  3.59983490e+02  6.36548557e+00
  6.00000000e+00  6.00000000e+00  1.28936833e+01  4.97047913e+00
  1.28662312e+01  2.47276040e+01  3.01736052e+01  1.29606523e+00
  5.78049232e+01  6.52590928e+00  5.49988112e+01  1.01920096e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
  6.08459408e-01 -1.40880720e-01  1.00000000e+00]",122,0.948,No collision,"[0.199564, 0.180286, 0.234632, 0.407802, 0.556402, 0.600933, 0.740781, 0.831725, 0.947508, 0.888767, 0.683768, 0.508914]",False
1,"[ 28.70353889  -2.65057659 -29.67782402   0.           0.
   0.          12.           1.           1.08682656 124.91003418
 359.6725769   11.06159679   7.           7.          31.2637679
   9.95857151  18.38206208  41.3725989   50.8973187    1.38604397
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          28.53693833   0.         100.
  -0.42801269   1.14783194   1.        ]",47,1.0,OBSTACLE,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.62959213e+01 -2.93736744e+00 -3.83730125e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.56255758e-01  1.09737366e+02  8.22142506e+00  1.98797803e-04
  8.00000000e+00  8.00000000e+00  6.02032271e+01  1.00067990e+01
  1.79052511e+02  6.02032271e+01  8.38712411e+00  1.23945136e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",119,0.149,No collision,"[0, 0, 0.148534, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.62959213e+01 -2.93736625e+00 -3.83730125e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.56249976e-01  1.09737366e+02  8.22131920e+00  2.00377605e-04
  1.00000000e+01  1.00000000e+01  5.95665685e+01  1.56445537e+01
  1.53042111e+02  1.56121889e+02  8.38712411e+00  1.23945136e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",66,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.62959213e+01 -2.93736625e+00 -3.83730125e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.56249976e-01  1.09737366e+02  8.22131920e+00  2.00362792e-04
  1.00000000e+01  1.00000000e+01  6.02032270e+01  1.00067990e+01
  1.79052511e+02  6.02032270e+01  8.38712411e+00  1.23945136e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",20,0.195,No collision,"[0, 0, 0.194716, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.62959213e+01 -2.93736625e+00 -3.83730125e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.56250215e-01  1.09737366e+02  8.22131920e+00  2.00323566e-04
  1.20000000e+01  1.20000000e+01  5.49364838e+01  1.52994656e+01
  1.84830522e+01  6.02032270e+01  8.38712411e+00  1.23945136e+00
  5.87651890e+01  6.52816166e+00  5.50001287e+01  1.04567918e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",23,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
