Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.96871872e+01 -1.41289854e+00 -1.19670916e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.35880613e+00  1.05025566e+02  3.59134064e+02  1.04382832e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  6.70868373e-01  1.30132876e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.19607257e+01  0.00000000e+00  1.00000000e+02
 -3.66020250e-01  8.74341620e-03  1.00000000e+00]",84,0.847,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.747057, 0.761545, 0.847211, 0.652816]",False
0,"[-3.06248779e+01 -1.65606904e+00 -1.44601994e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75255644e+00  1.05469589e+02  3.59243988e+02  3.19349891e+00
  1.00000000e+00  1.00000000e+00  7.37221774e+00  2.93444152e+00
  1.85028458e+01  7.37221774e+00  3.97549997e+00  1.30042736e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -2.61574868e-01 -1.76179080e-01  1.00000000e+00]",149,0.894,No collision,"[0.206759, 0.244336, 0.39063, 0.647778, 0.876014, 0.893887, 0.865472, 0.86305, 0.854881, 0.854882, 0.854884, 0.854886]",False
0,"[-2.03661366e+01 -1.86119759e+00 -1.73420677e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.53120536e-01  1.05638847e+02  3.59780334e+02  2.74932858e-05
  1.00000000e+00  1.00000000e+00  1.19736796e+01  1.90734863e-04
  1.83136065e+01  1.19736796e+01  8.97951425e+00  1.29742023e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.73264658e+01  1.00000000e+02
 -2.04932368e-02 -2.97939725e-02  1.00000000e+00]",70,0.502,No collision,"[0, 0.278725, 0.349793, 0.314242, 0.303318, 0.19037, 0.356137, 0.43245, 0.467794, 0.480181, 0.501844, 0.500755]",False
0,"[ 18.17108727  -2.46312475 -28.08149147   0.           1.
   0.          12.           1.           1.15993404 104.53607941
 359.34320068  10.9490599    2.           2.          51.98124674
   0.          18.31359233  56.98950263  15.60811455   1.31369093
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          38.24194252 100.
   3.42898585  -3.14076813   1.        ]",33,0.958,No collision,"[0, 0, 0, 0, 0, 0, 0.230333, 0.562223, 0.957545, 0.617115, 0.161854, 0]",False
0,"[ 65.36759949  -3.28694797 -39.5307312    0.           1.
   0.          12.           1.           1.04824638 106.65813446
 358.7416687    9.80484308   2.           2.          18.24269816
  15.64040284  18.29004108  18.24269816   1.63597174   1.28291882
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
   6.78806164   0.87901143   1.        ]",39,0.604,No collision,"[0.122279, 0.347744, 0.603703, 0.524639, 0.206266, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.27417717e+02 -4.07369328e+00 -5.45570259e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.79482460e-01  1.02654541e+02  3.59688904e+02  1.14300028e+01
  3.00000000e+00  3.00000000e+00  8.56827281e+00  1.10849779e+01
  1.82915099e+01  1.43017336e+02  3.30659856e+01  1.33808372e+00
  5.24979022e+01  8.13623951e+00  5.34373675e+01  1.01319103e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.56382433e-01  2.56418071e-01  1.00000000e+00]",68,0.999,No collision,"[0.292974, 0.450127, 0.811185, 0.960841, 0.998542, 0.943878, 0.875957, 0.935273, 0.605079, 0.521176, 0.375975, 0.119328]",False
0,"[ 2.13890900e+02 -5.23588419e+00 -7.62995377e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.38265431e+00  1.03635704e+02  3.59910919e+02  1.78261737e+01
  4.00000000e+00  4.00000000e+00  2.16117360e+01  1.56405444e+01
  1.84296491e+01  2.27152704e+02  1.33974287e+00  1.33321246e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.43775828e+01  0.00000000e+00  1.00000000e+02
 -1.83796149e-01  8.14777794e-01  1.00000000e+00]",99,1.0,Hatchback(Clone)ecae76de-c8b2-44e3-82b7-dbb9b5a342b4,"[0.885079, 0.982313, 0.99605, 0.963691, 0.867679, 0.559981, 0.306895, 0.115984, 1, 0, 0, 0]",False
0,"[ 2.84105011e+02 -6.56541538e+00 -9.48205643e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.01410198e+00  1.05430450e+02  3.59824707e+02  3.84013895e-05
  5.00000000e+00  5.00000000e+00  6.48249036e+00  5.95995941e-01
  1.18229519e+01  1.60428393e+02  3.34733674e+01  1.30658266e+00
  1.00796336e+00  6.21148687e+00  9.16969242e-02  1.24204525e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.58570042e+01  1.00000000e+02
 -1.99335772e+00 -4.01453731e+00  1.00000000e+00]",137,0.832,No collision,"[0, 0, 0.760254, 0.771647, 0.784252, 0, 0.812653, 0.565108, 0.710487, 0.778381, 0.832454, 0.804801]",False
0,"[ 2.86299408e+02 -6.60151529e+00 -9.51279831e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.79734635e-01  9.97696915e+01  3.59604553e+02  6.07912899e-01
  5.00000000e+00  5.00000000e+00  8.95330101e+00  5.59748319e-01
  1.81602128e+01  3.01761933e+02  2.04549569e+00  1.40021362e+00
  2.39958803e+00  6.28941146e+00  2.21296804e-01  3.57499449e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.15356124e-05  4.53205990e-02  1.00000000e+00]",95,0.314,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.025634, 0.314148]",False
0,"[ 2.88974152e+02 -6.64634275e+00 -9.56098251e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02411771e+00  1.00243446e+02  3.59777740e+02  5.32539106e-01
  5.00000000e+00  5.00000000e+00  9.00913090e+00  6.61089349e-01
  1.81921194e+01  3.04452743e+02  3.76954202e+00  1.39683658e+00
  5.13591106e+01  8.29312716e+00  5.03805728e+01  1.18695568e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.94007139e+01  0.00000000e+00  1.00000000e+02
 -3.80712639e+00  3.24312911e-01  1.00000000e+00]",50,0.997,No collision,"[0.694177, 0.928681, 0.939676, 0.523738, 0.313124, 0.592661, 0.86037, 0.996576, 0.957201, 0.797071, 0.917919, 0.980226]",False
