Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.61906128e+01 -1.50196898e+00 -1.29183311e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.25517273e+00  1.05214890e+02  3.59058380e+02  4.61610168e+00
  1.57000000e+01  0.00000000e+00  1.00000000e+02 -3.10167922e-01
  2.18487196e-01  1.00000000e+00]",43,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.70314579e+01 -1.88293791e+00 -1.83138275e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.09697878e-01  1.05971680e+02  3.59884491e+02  5.53744748e-04
  0.00000000e+00  5.88811828e+01  1.00000000e+02 -1.54859141e-01
 -3.00000000e+00  1.00000000e+00]",51,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.70306931e+01 -1.88307357e+00 -1.83140659e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.95688415e-01  1.05972267e+02  3.59886261e+02  1.62378531e-05
  0.00000000e+00  4.97695238e+01  1.00000000e+02 -1.54859141e-01
 -2.98800000e-01  1.00000000e+00]",59,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.70301094e+01 -1.88308084e+00 -1.83144588e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.95871162e-01  1.05972954e+02  3.59886169e+02  3.06987542e-04
  0.00000000e+00  4.93809524e+01  1.00000000e+02 -1.54859141e-01
 -3.00000000e-01  1.00000000e+00]",32,0.097,No collision,"[0, 0, 0, 0.096561, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.69286404e+01 -1.88386488e+00 -1.83441143e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.04972583e-01  1.05953781e+02  3.59903229e+02  1.58590125e-05
  0.00000000e+00  7.00000000e+01  1.00000000e+02 -2.43482295e-02
 -3.00000000e+00  1.00000000e+00]",68,0.709,No collision,"[0.212593, 0, 0.709215, 0.577243, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -9.14498138  -1.95321274 -20.48547745   0.           0.
   0.          12.          -1.           0.30723858 105.34899902
   0.23173642   3.55662339  57.12089771   0.         100.
  -0.12093525   1.15742501   1.        ]",138,1.0,SchoolBus(Clone)71c584e6-e604-4738-8aa9-2f8f97bc6568,"[0, 0, 0, 0, 0.289136, 1, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.35100579e+00 -2.11723018e+00 -2.35467148e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.05112875e+00  1.03820633e+02  3.59963196e+02  2.92821340e-05
  0.00000000e+00  6.99848942e+01  1.00000000e+02  4.66048699e+00
 -3.00000000e+00  1.00000000e+00]",126,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.36372423e+00 -2.11775517e+00 -2.35508041e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.86878455e-01  1.03840775e+02  3.59943054e+02  9.03133357e-04
  0.00000000e+00  1.90020021e+01  1.00000000e+02 -9.21370216e-01
 -8.11987399e-01  1.00000000e+00]",140,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.36868334e+00 -2.11864519e+00 -2.35570526e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.09366906e+00  1.03935776e+02  3.59961151e+02  4.34213007e-03
  1.57000000e+01  0.00000000e+00  1.00000000e+02 -1.67658059e+00
  9.30859365e-04  1.00000000e+00]",66,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.38080692e+00 -2.11954904e+00 -2.35658836e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03058875e+00  1.04154709e+02  3.59938660e+02  1.53758683e-03
  0.00000000e+00  3.23004145e+01  1.00000000e+02 -5.71936499e-01
 -2.08445306e+00  1.00000000e+00]",132,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
