Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.02300034e+01 -1.39853251e+00 -1.18204145e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47719240e+00  1.05039665e+02  3.59157837e+02  7.72538052e-04
  0.00000000e+00  1.45000000e+01  1.00000000e+02 -4.43071552e-01
 -2.60821583e-01  1.00000000e+00]",120,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.84992619e+01 -1.71443009e+00 -1.50602102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.60514677e+00  1.05605843e+02  3.59293854e+02  3.56075299e+00
  0.00000000e+00  1.45000000e+01  1.00000000e+02 -3.39993788e-01
 -3.38689484e-01  1.00000000e+00]",121,0.286,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.084347, 0.270883, 0.28569, 0.236403]",False
0,"[ 14.28573132  -2.40288973 -27.22338867   0.           0.
   0.          12.          -1.           0.68984282 105.51107788
 359.84460449  14.54598279  30.04635639   0.         100.
   0.37738197   1.72856851   1.        ]",63,0.138,No collision,"[0.137585, 0.045245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.10498657e+01 -3.49890733e+00 -4.05874214e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.77282047e-01  1.11016495e+02  3.59820587e+02  5.41810966e+00
  0.00000000e+00  1.45000000e+01  1.00000000e+02  2.87339470e-01
 -1.79867359e-01  1.00000000e+00]",35,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.34883331e+02 -4.16296959e+00 -5.52143478e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.81584680e-01  1.04396049e+02  3.59938751e+02  9.99725125e+00
  0.00000000e+00  2.40249184e+01  1.00000000e+02 -1.97075598e-01
 -1.64194155e+00  1.00000000e+00]",52,0.797,No collision,"[0, 0.065761, 0.414486, 0.630767, 0.797092, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.87180237e+02 -4.79734755e+00 -6.88684616e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.29057670e-01  1.05523605e+02  8.30008760e-02  1.29358077e+01
  2.41645524e+01  0.00000000e+00  1.00000000e+02 -3.33145521e-01
  8.13746309e-01  1.00000000e+00]",80,0.841,No collision,"[0, 0.693983, 0.793007, 0.814852, 0.825167, 0.841256, 0.693617, 0.544727, 0.568777, 0.595039, 0.525846, 0]",False
0,"[ 2.41161850e+02 -5.78655195e+00 -8.26490021e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.79302526e-01  1.04229744e+02  3.59358368e+02  8.67452484e+00
  7.32789398e+01  0.00000000e+00  1.00000000e+02 -6.32865168e-02
  1.65578491e+00  1.00000000e+00]",126,0.644,No collision,"[0.203097, 0.284424, 0.320965, 0.172326, 0.141111, 0.171138, 0.22533, 0.266943, 0.352383, 0.409583, 0.54096, 0.644379]",False
0,"[ 3.00156342e+02 -6.85125637e+00 -9.87608948e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.04762840e-01  1.05635834e+02  1.70282394e-01  9.54224004e+00
  1.57000000e+01  0.00000000e+00  1.00000000e+02  7.97134317e-02
  4.35678405e-01  1.00000000e+00]",98,0.958,No collision,"[0.763076, 0.77414, 0.957606, 0.95111, 0.927785, 0.840317, 0.703083, 0.62869, 0.660718, 0, 0, 0]",False
0,"[ 3.29317383e+02 -7.25581932e+00 -1.02316338e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.06351840e-01  6.56148376e+01  3.59522797e+02  1.99220373e+00
  1.57000000e+01  0.00000000e+00  1.00000000e+02  3.19471652e+01
  5.20850904e-02  1.00000000e+00]",55,0.625,No collision,"[0, 0, 0, 0, 0, 0.093289, 0.146797, 0.287168, 0.377389, 0.471737, 0.549897, 0.624668]",False
0,"[ 3.38973267e+02 -7.40743780e+00 -8.86682205e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.13514200e-01  2.28042984e+01  3.58866302e+02  4.17785561e+00
  0.00000000e+00  1.45000000e+01  1.00000000e+02  1.42551227e-01
 -2.48430407e-01  1.00000000e+00]",45,0.491,No collision,"[0.490989, 0.380722, 0.329439, 0.149284, 0.041981, 0.024555, 0, 0, 0, 0, 0, 0]",False
