Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-34.45833588  -1.54617548 -13.37467003   0.           0.
   0.          12.          -1.           1.27559412 105.08673096
 359.13760376   6.16363073   5.33102328   1.3071334 ]",92,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[  4.86413622  -2.17320323 -24.51283264   0.           0.
   0.          12.          -1.           1.24559903 106.24181366
 359.90606689   6.13610927  35.79217578   1.29332565]",138,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",False
0,"[ 6.18702240e+01 -3.21957564e+00 -3.83865891e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.28526109e-01  9.11440582e+01  3.57710663e+02  1.73324997e-01
  7.02737611e+01  1.32442233e+00]",18,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0.623517, 0.840552, 0.299146]",False
0,"[ 60.70381927  -3.20457029 -38.38792801   0.           0.
   0.          12.           1.           0.8094303   90.69525146
 358.57666016   2.07932003   1.30217462   1.565242  ]",133,0.74,No collision,"[0, 0, 0.327586, 0.604423, 0.235332, 0.258874, 0.271222, 0.739752, 0.672844, 0.326356, 0.283263, 0.327104]",False
0,"[ 52.91497803  -3.12597585 -38.33407974   0.           0.
   0.          12.           1.           0.50607508  90.67134857
 358.27972412   1.99715092   7.73862399   1.56429683]",14,0.676,No collision,"[0.55326, 0.422831, 0.222851, 0.40112, 0.403732, 0.399726, 0.406302, 0.424216, 0.472286, 0.550729, 0.567872, 0.676406]",False
0,"[ 45.72589111  -2.93658805 -38.10414886   0.           0.
   0.          12.           1.           1.5332638   92.05171204
   6.93962193   3.88180222  14.9301814    1.55202576]",89,1.0,OBSTACLE,"[0.483439, 0.367659, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.91319122e+01 -2.73281884e+00 -3.77974472e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.35761046e+00  9.03772202e+01  2.24028444e+00  3.23119277e-02
  2.15295321e+01  1.54353118e+00]",14,1.0,OBSTACLE,"[0.064712, 0.065615, 0.127155, 0.127124, 0.065714, 0.127168, 1, 0.065682, 0.127045, 0.131554, 0.153496, 0.066203]",False
0,"[ 39.83006668  -2.79976177 -37.76123428   0.           0.
   0.          12.          -1.           4.36688709  90.0303421
   5.6993165    0.1337918   20.83269753   1.54087994]",95,0.058,No collision,"[0.028734, 0.029205, 0.028704, 0.0287, 0.028682, 0.028688, 0.028714, 0.057669, 0.056417, 0.028614, 0.028611, 0.056428]",False
0,"[ 3.97741127e+01 -2.79524183e+00 -3.77260857e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.72017193e+00  9.03484421e+01  4.97986126e+00  2.72186133e-02
  2.08897123e+01  1.53927824e+00]",106,0.07,No collision,"[0.068942, 0.070113, 0.068919, 0.068847, 0.034717, 0.068201, 0.070139, 0.068992, 0.068654, 0.068692, 0.034702, 0.034758]",False
0,"[ 3.95193672e+01 -2.79216719e+00 -3.76739731e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.95755076e+00  8.99357986e+01  5.31593657e+00  4.51379536e-02
  2.11460155e+01  1.53719468e+00]",104,0.883,No collision,"[0.0539, 0.104875, 0.105247, 0.118814, 0.158904, 0.35494, 0.426026, 0.752426, 0.828982, 0.856439, 0.883417, 0.818223]",False
0,"[ 6.06815147e+01 -3.19685149e+00 -3.80304718e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.77713525e-01  9.12463455e+01  3.58694733e+02  7.15038381e+00
  3.55016051e-01  6.20403996e+00]",17,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[1, 0.742341, 0.45763, 0.794509, 0.796469, 0.797165, 0.796536, 0.263548, 0.796546, 0.45779, 0.263548, 0.45764]",False
0,"[ 6.17278671e+01 -3.21204209e+00 -3.80605125e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.30103874e-01  9.14740982e+01  3.58949677e+02  6.92933905e-03
  1.32006060e+00  1.54824828e+00]",33,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[0.578491, 0.715773, 0.778875, 0.246045, 0.786598, 0.786734, 0.786883, 0.788565, 0.789005, 1, 0.598871, 0.598664]",False
0,"[ 6.19934921e+01 -3.21599507e+00 -3.80783920e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.20671439e-01  9.14911194e+01  3.58990204e+02  1.07691781e-01
  1.34348945e+00  1.54938849e+00]",72,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[1, 0.211669, 0.211668, 0.211668, 0.766696, 0.766865, 0.766936, 0.211668, 0.766892, 0.406594, 0.392396, 0.211668]",False
0,"[ 6.15828438e+01 -3.21020651e+00 -3.80780296e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.91159093e-01  9.14901581e+01  3.58900970e+02  2.70544504e-03
  9.09952731e-01  1.54160194e+00]",80,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[0.418731, 0.416325, 0.774586, 0.782071, 0.783476, 1, 0.415927, 0.41599, 0.415962, 0.235731, 0.235725, 0.415891]",False
0,"[ 6.19701996e+01 -3.21595359e+00 -3.80992966e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.43091011e-01  9.15310898e+01  3.58968292e+02  1.60890259e-02
  1.34317869e+00  1.54879267e+00]",18,0.918,No collision,"[0.740338, 0.875431, 0.21143, 0.916236, 0.918388, 0.378175, 0.378158, 0.211429, 0.211425, 0.211421, 0.855374, 0.382992]",False
0,"[ 61.93220901  -3.21560192 -38.10877991   0.           0.
   0.          12.          -1.           0.81463385  91.55878448
 358.95245361   0.39900427   1.54077227   1.54599583]",79,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[1, 0.403661, 0.690494, 0.702695, 0.704276, 0.704781, 0.408363, 0.403442, 0.403526, 0.40543, 1, 0.403623]",False
0,"[ 6.19862976e+01 -3.21649361e+00 -3.81213875e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.49847019e-01  9.16486130e+01  3.58955505e+02  8.24756052e-02
  1.50759882e+00  1.54234164e+00]",109,0.567,No collision,"[0.388002, 0.3888, 0.387628, 0.387693, 0.217283, 0.217284, 0.387491, 0.419595, 0.495973, 0.542971, 0.564802, 0.566954]",False
0,"[ 6.16626816e+01 -3.21202397e+00 -3.81232033e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.04915488e-01  9.16654282e+01  3.58882355e+02  2.69262304e-01
  1.42857195e+00  1.54616845e+00]",62,1.0,SchoolBus(Clone)495976e0-02ad-4200-836d-c9fd72a52e83,"[0.75088, 1, 0.909763, 0.921184, 0.925159, 0.604015, 0.607171, 0.606916, 0.880426, 0.888536, 0.889678, 0.848402]",False
0,"[ 5.94529991e+01 -3.18298841e+00 -3.80740242e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.08013654e-01  9.16475296e+01  3.58520782e+02  8.15861989e-01
  1.51139138e-01  1.55456652e+00]",1,1.0,No collision,"[0.999981, 0.999981, 0.999982, 0.999982, 0.999982, 0.999982, 0.999982, 0.999982, 0.999983, 0.999983, 0.999983, 0.999982]",False
0,"[ 51.53009415  -3.10050988 -37.88863373   0.           0.
   0.          12.           0.           0.5388732   91.62696838
 358.28897095   1.57605467   1.34532057   1.55021176]",23,1.0,OBSTACLE,"[0.999953, 0.999953, 0.999953, 0.999957, 0.99996, 0.999961, 0.999962, 0.999957, 0.999952, 0.999951, 1, 0]",False
0,"[ 3.91989632e+01 -2.78600311e+00 -3.74649925e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.67433906e+00  9.25746689e+01  5.16398048e+00  3.17055174e-03
  2.01120737e+01  1.54063163e+00]",110,0.338,No collision,"[0.186463, 0.186463, 0.186463, 0.186463, 0.186465, 0.186463, 0.186464, 0.338158, 0.186465, 0.338163, 0.186463, 0.338158]",False
0,"[ 3.92049065e+01 -2.78465652e+00 -3.74476738e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.55060959e+00  9.31553802e+01  5.21415043e+00  7.44419568e-03
  2.01066555e+01  1.53976175e+00]",112,0.34,No collision,"[0.187712, 0.187712, 0.187712, 0.187712, 0.187712, 0.187712, 0.34019, 0.187712, 0.187712, 0.187712, 0.187713, 0.340192]",False
0,"[ 3.92025032e+01 -2.78505421e+00 -3.74350853e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.52770233e+00  9.33722992e+01  5.21012449e+00  1.15518098e-02
  2.01094597e+01  1.53913977e+00]",64,1.0,No collision,"[0.342179, 0.342184, 0.342185, 0.188936, 0.188936, 0.342177, 0.342177, 0.188936, 0.342177, 0.999967, 0.188936, 0.342176]",False
