Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.02742920e+01 -1.39732862e+00 -1.18082857e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47585726e+00  1.05000298e+02  3.59155487e+02  5.63557839e-05
  1.33914110e+00  1.31286448e+00]",9,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.99952240e+01 -1.40477848e+00 -1.18856535e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46006739e+00  1.05023949e+02  3.59156860e+02  8.90811241e-04
  6.65435544e+00  1.30547692e+00]",141,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.99564552e+01 -1.40581000e+00 -1.18978729e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.45725918e+00  1.05024361e+02  3.59150940e+02  4.91567310e-05
  1.33900044e+00  1.31246722e+00]",102,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.98908272e+01 -1.40754938e+00 -1.19167299e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.45412517e+00  1.05028305e+02  3.59144226e+02  4.91913214e-05
  6.54855398e+00  1.30587526e+00]",108,0.94,No collision,"[0, 0, 0, 0, 0.456376, 0.940336, 0.624064, 0.434656, 0.071302, 0, 0, 0]",False
0,"[  6.43259954  -2.21054673 -24.99034309   0.           0.
   0.          12.           1.           1.38729572 105.74010468
 359.83776855  13.98910644   1.33973233   1.29682143]",3,0.647,No collision,"[0.269032, 0.647068, 0.589243, 0.435779, 0.18472, 0, 0.07293, 0.116999, 0.136913, 0.15384, 0.153272, 0.159108]",False
0,"[ 68.18849182  -3.29833078 -36.44366837   0.           0.
   0.          12.           1.           0.92819315 106.57180023
 359.94195557   7.20191523   8.44134791   1.21283572]",118,0.867,No collision,"[0.335532, 0.112357, 0.498413, 0.867238, 0.20848, 0, 0, 0, 0, 0, 0, 0]",False
0,"[117.73630524  -3.97107577 -50.60144043   0.           0.
   0.          12.          -1.           0.56554455 105.21492004
 359.98208618  10.07600957   1.64728925   1.30525758]",74,0.855,No collision,"[0, 0.855459, 0.195479, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[165.10919189  -4.52892733 -62.98912811   0.           0.
   0.          12.          -1.           0.37365338 104.67063904
 359.70098877   8.48636195  24.12887652   1.31099756]",123,0.897,No collision,"[0, 0, 0, 0.423161, 0.897342, 0.597978, 0.388733, 0.723691, 0.121594, 0, 0, 0]",False
0,"[239.0703125   -5.74785805 -82.57780457   0.           0.
   0.          12.          -1.           1.43643761 109.6635437
 359.42092896  13.83738994   1.81472495   1.22583052]",139,0.862,No collision,"[0.618063, 0.861643, 0.509752, 0.783506, 0.814259, 0.4462, 0.318477, 0.107388, 0.024843, 0.002389, 0, 0]",False
0,"[ 316.23947144   -7.07080603 -103.25719452    0.            0.
    0.           12.           -1.            0.79787308  103.14137268
  359.9418335     5.81953931    4.89610146    1.30680339]",31,0.984,No collision,"[0.807322, 0.86232, 0.874402, 0.927726, 0.983966, 0.976213, 0.945709, 0.845942, 0.036507, 0.314448, 0.312472, 0]",False
0,"[ 333.4777832    -7.3242135  -101.14277649    0.            0.
    0.           12.            1.            0.90159458   43.83416748
  359.1758728     3.92226351    3.27410758    5.67973262]",44,0.936,No collision,"[0.287696, 0.613953, 0.936027, 0.740601, 0.411254, 0.098579, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.36770325e+02 -7.42421055e+00 -7.72552567e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.59694624e-01  2.75008035e+00  1.54855812e+00  2.19106947e+00
  2.35567348e+00 -1.93850287e-01]",79,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.38247406e+02 -7.43487978e+00 -6.87886810e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59991058e+02  1.34203777e+01  9.05345201e-01  1.16584664e+00
  1.26233304e+00 -2.20583958e-01]",122,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
