Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.81598396e+01 -1.45247400e+00 -1.23814335e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.35600698e+00  1.05125137e+02  3.59048401e+02  2.44749682e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05]",55,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.94183292e+01 -1.69311321e+00 -1.48060951e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.83489084e+00  1.05627159e+02  3.59218933e+02  6.18911534e-05
  1.00000000e+00  1.00000000e+00  5.62185463e+01  1.00020147e+01
  1.36890828e+01  5.62185463e+01]",37,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-27.83701515  -1.73093581 -15.25703049   0.           0.
   0.          12.          -1.           1.21776068 105.70048523
 359.39465332   1.21810147   2.           2.          31.79107627
  10.00202959  17.2782106   56.39307907]",123,0.166,No collision,"[0, 0.165706, 0, 0, 0, 0, 0, 0, 0, 0, 0.093495, 0]",False
0,"[-2.40908222e+01 -1.80489123e+00 -1.63166714e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.00113535e+00  1.05638184e+02  3.59775726e+02  3.99178483e-05
  3.00000000e+00  3.00000000e+00  8.03441924e+00  9.90020407e+00
  1.19170351e+01  2.91523432e+01]",64,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.65264606e+01 -1.88717449e+00 -1.84609070e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.52913713e-01  1.05937721e+02  3.59957275e+02  6.62319450e+00
  4.00000000e+00  4.00000000e+00  2.48493544e+01  1.00020296e+01
  1.72782106e+01  2.48493544e+01]",62,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 17.80284119  -2.45203686 -27.75851059   0.           0.
   0.          12.           1.           0.93923503 105.03833008
 359.49981689   7.24627896   5.           5.          33.06793839
  10.00202959  17.2782106   33.06793839]",76,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 53.46375275  -3.05041718 -33.63505936   0.           0.
   0.          12.          -1.           1.17472732  85.5515213
 359.87097168   6.67859841   6.           6.          63.23760844
  10.00202959  17.2782106   63.23760844]",9,0.005,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.004649]",False
0,"[129.8432312   -4.09404898 -52.23175049   0.           0.
   0.          12.          -1.           0.62311286  99.26766205
 359.94415283  16.30392809   7.           7.          48.93051338
   9.99905514 150.83444007 140.01493379]",154,0.209,No collision,"[0.067022, 0.062715, 0, 0, 0, 0, 0, 0, 0.019683, 0.131222, 0.20889, 0.159323]",False
0,"[ 2.09036957e+02 -5.14031315e+00 -7.42414856e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.07485998e+00  1.05942215e+02  1.94406688e-01  1.26708714e+01
  7.00000000e+00  7.00000000e+00  2.66943273e+01  9.99573388e+00
  1.51288017e+02  2.21888869e+02]",53,1.0,BoxTruck(Clone)57a57fb7-c06f-4415-a0ae-daa5887861e3,"[0.160213, 0.169586, 0.049958, 0, 0, 0.116874, 0.435335, 0.73211, 0.87268, 1, 0.411464, 1]",False
0,"[266.2272644   -6.22881079 -89.61872864   0.           0.
   0.          14.          -1.           0.8571952  107.17499542
 359.74688721   1.89441966   8.           8.           7.59568269
   1.85740135 150.73746231 280.97556997]",42,0.902,No collision,"[0.656111, 0.85979, 0.895209, 0.902436, 0, 0, 0.04812, 0.202718, 0.297911, 0.314979, 0.557666, 0]",False
