Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.67861176  -1.49044812 -12.84248734   0.           0.
   0.          12.          -1.           1.2808696  105.76356506
 359.00131226   3.76250613   0.           0.           0.
   0.           0.        ]",78,0.724,No collision,"[0, 0, 0, 0, 0.169581, 0.429941, 0.580096, 0.724234, 0.69436, 0.595215, 0.485389, 0.391947]",False
0,"[ 54.43523026  -3.15398502 -38.54239273   0.           0.
   0.          12.          -1.           0.84302801 105.58260345
 358.4786377   24.22242698   0.           0.           0.
   0.           0.        ]",31,0.578,No collision,"[0.425645, 0.578369, 0.123455, 0.069736, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[211.31506348  -5.32937908 -80.02441406   0.           0.
   0.          12.          -1.           0.82936847 101.42516327
 357.15866089  28.47398468   0.           0.           0.
   0.           0.        ]",147,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.97179626e+02 -9.86749840e+00 -1.25713287e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.18566628e+01  1.06735023e+02  2.84614801e+00  3.40269781e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",75,0.399,No collision,"[0.399351, 0.267762, 0.236867, 0, 0, 0, 0, 0, 0, 0.003612, 0.059817, 0.103554]",False
0,"[ 5.50958313e+02 -2.26292450e+02 -1.75933319e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.58160133e+01  2.61522034e+02  1.70348297e+02  6.25209451e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",92,0.635,No collision,"[0.52516, 0.523232, 0.528695, 0.536149, 0.536907, 0.547015, 0.563764, 0.572197, 0.587838, 0.604095, 0.618659, 0.635061]",True
1,"[-33.43704605  -1.57434642 -13.65147209   0.           0.
   0.          12.          -1.           1.28612781 105.14648438
 359.15045166   7.70798485   0.           0.           0.
   0.           0.        ]",86,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 28.28113937  -2.67826414 -31.10961914   0.           0.
   0.          12.          -1.           0.78004432 105.41932678
 358.75799561  10.43856985   0.           0.           0.
   0.           0.        ]",42,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.24354675e+02 -4.07595491e+00 -4.54858131e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.14847362e-01  8.85435104e+01  3.56232849e+02  1.47833049e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",113,0.83,No collision,"[0, 0, 0.255993, 0, 0.008715, 0.604234, 0.830061, 0.523665, 0, 0, 0.019236, 0]",False
1,"[175.78086853  -4.54675198 -77.40462494   0.           0.
   0.          12.           1.           2.32047796 116.38002014
 354.06729126  12.37134727   0.           0.           0.
   0.           0.        ]",130,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.99695068e+02 -5.07692719e+00 -8.57230072e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.21528375e-01  1.06648689e+02  3.58263794e+02  7.85443592e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",108,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.99695068e+02 -5.07692719e+00 -8.57230072e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.21531296e-01  1.06648689e+02  3.58263794e+02  7.87150838e-05
  1.06010791e+02  2.44269830e+00  1.56424638e+01  3.48739154e+00
  3.00000000e+00]",81,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.99695068e+02 -5.07692719e+00 -8.57230072e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.21532249e-01  1.06648689e+02  3.58263794e+02  7.84379057e-05
  2.54765638e+02  2.24528108e+01  2.05102906e+02  4.40089729e+01
  2.30000000e+01]",153,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.99695068e+02 -5.07692719e+00 -8.57230072e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  8.21530759e-01  1.06648689e+02  3.58263794e+02  7.87164444e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",54,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
