Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-34.37014389  -1.54867268 -13.41085434   0.           0.
   0.          12.          -1.           1.38775885 105.24287415
 359.13104248   5.39854608   0.           0.           0.
   0.        ]",79,0.528,No collision,"[0, 0.508013, 0.527547, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.92481956e+01 -1.86875606e+00 -1.76856480e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.03358465e-01  1.06083778e+02  3.59718994e+02  2.20324200e-05
  2.05836110e+00  6.01542976e+00  9.42312976e+00  3.51865410e-01]",92,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.92402420e+01 -1.86880374e+00 -1.76886406e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.03361893e-01  1.06082664e+02  3.59718628e+02  1.94742492e-05
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01]",124,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.91901226e+01 -1.86908603e+00 -1.77045631e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.03377181e-01  1.06087082e+02  3.59719025e+02  2.20538154e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",6,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.91382771e+01 -1.86937737e+00 -1.77209892e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.03340435e-01  1.06080002e+02  3.59718994e+02  2.18691541e-05
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01]",31,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-36.30945587  -1.49906003 -12.88818169   0.           0.
   0.          12.          -1.           1.29377937 105.24554443
 359.05706787   4.79303444   0.           0.           0.
   0.        ]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 13.79042912  -2.39210892 -27.09123993   0.           0.
   0.          12.          -1.           0.84033841 105.28144836
 359.84738159  13.23785736   0.           0.           0.
   0.        ]",88,1.0,BoxTruck(Clone)5dafaa84-0ce0-4187-b231-088c5a40e745,"[0.999681, 1, 1, 0, 0, 0, 0, 0, 0.999634, 0.999622, 0.999601, 1]",False
1,"[ 31.97300911  -2.73257732 -31.62041473   0.           0.
   0.          12.          -1.           0.75147897  98.11448669
 358.35971069   3.96176703 100.          10.         100.
  20.        ]",43,1.0,No collision,"[0.999556, 0.999535, 0.999512, 0.999489, 0.999464, 0.999439, 0.999411, 0.999531, 0, 0.14571, 0.999268, 0.999232]",False
1,"[ 66.04714966  -3.26055002 -34.729496     0.           0.
   0.          12.           1.           0.74424922  95.31663513
   0.24690528   7.80720767 100.          10.         100.
  20.        ]",24,0.999,No collision,"[0.999188, 0.999141, 0.999091, 0.999187, 0.999282, 0.999212, 0.99912, 0.998991, 0.998772, 0.998718, 0.998663, 0.99861]",False
1,"[125.12895966  -4.0695734  -55.41670227   0.           0.
   0.          12.           1.           0.49216172 101.14351654
 358.46716309  10.83363496 100.          10.         100.
  20.        ]",127,0.999,No collision,"[0.998556, 0.998504, 0.998454, 0.998407, 0.998361, 0.998317, 0.998274, 0.998233, 0.998191, 0.998149, 0.998107, 0.998063]",False
1,"[178.43719482  -4.68205976 -67.47644806   0.           0.
   0.          12.           1.           0.65259278 103.63757324
 359.91607666   8.79228054   2.81878747   6.27225063   4.38665588
   2.17870316]",90,0.998,No collision,"[0.998019, 0.997974, 0.997928, 0.997881, 0.997834, 0.997786, 0.99774, 0.997692, 0.99764, 0.99758, 0.997522, 0.997466]",False
1,"[236.61447144  -5.68459797 -81.1528244    0.           0.
   0.          12.          -1.           0.98114002 102.92333221
 359.59243774  11.90995439 100.          10.         100.
  20.        ]",18,1.0,Sedan(Clone)cc93db3c-2444-4552-bdce-88c7cd809ef0,"[0.997402, 1, 0.997385, 0, 0.997382, 0.998586, 1, 0.997362, 0.997352, 0.997338, 0.99732, 0.997299]",False
1,"[ 2.52784454e+02 -5.98459291e+00 -8.54645233e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.36960340e-01  1.05256531e+02  1.43697068e-01  4.50692710e+00
  2.80629999e+00  6.29255831e+00  4.13063053e-01  1.03177399e+00]",31,1.0,Sedan(Clone)cc93db3c-2444-4552-bdce-88c7cd809ef0,"[0.997276, 0.997252, 0.998417, 0.997205, 0.998087, 0.99716, 0.997134, 1, 0.997077, 0.997061, 0.997047, 0.997041]",False
1,"[ 2.77662872e+02 -6.43516397e+00 -9.21093597e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06079173e+00  1.05875542e+02  5.74472696e-02  1.34519288e+00
  2.02317494e+00  6.22319098e+00  5.40870089e+00  2.44592393e+00]",88,0.998,No collision,"[0.656661, 0.997037, 0.997028, 0.997014, 0.996996, 0.996976, 0.996954, 0.997154, 0.997416, 0.997518, 0.997478, 0.997078]",False
1,"[ 3.00736877e+02 -6.85921240e+00 -9.88757324e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.37497950e-01  1.05929382e+02  1.48860276e-01  5.66813905e+00
  5.20005308e+01  8.01951666e+00  5.38650503e+01  1.13742133e+01]",151,0.997,No collision,"[0.603888, 0.611802, 0.669247, 0.267586, 0.258877, 0, 0.583778, 0, 0.996636, 0.146438, 0, 0]",False
1,"[322.565979    -7.221982   -94.44557953   0.           0.
   0.5         12.           1.           0.79355013  77.02144623
   0.43665099   1.8914765    3.24601342   6.48653597   3.3477827
   5.17339452]",87,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
