Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-37.02297974  -1.48093867 -12.69065952   0.           0.
   0.          12.          -1.           1.35751557 105.16504669
 359.05474854   3.28616527   4.49832029   0.85         0.45      ]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.49543495e+01 -1.53316033e+00 -1.32584381e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.42049038e+00  1.05269745e+02  3.59103912e+02  5.31680279e-05
  1.31301488e+00  8.50000000e-01  4.50000000e-01]",14,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.42359734e+01 -1.55280101e+00 -1.34572430e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.48594356e+00  1.05288170e+02  3.59113251e+02  5.32109616e-05
  6.88024327e-01  8.50000000e-01  4.50000000e-01]",0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.42359734e+01 -1.55280101e+00 -1.34572430e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  1.48594379e+00  1.05288170e+02  3.59113251e+02  5.31683033e-05
  6.88215772e-01  8.50000000e-01  4.50000000e-01]",24,1.0,"[0, 0, 0, 0.020288, 0.517695, 1, 0.019763, 0, 0, 0, 0, 0]",False
0,"[-3.44779243e+01 -1.54989314e+00 -1.36432381e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  1.40997303e+00  1.01715790e+02  3.58738556e+02  2.51447118e-01
  1.30341070e+00  8.50000000e-01  4.50000000e-01]",42,0.63,"[0, 0.161862, 0.450494, 0.629856, 0.283451, 0.057966, 0, 0, 0, 0, 0, 0]",False
0,"[-8.20991707e+00 -1.96045637e+00 -1.97093296e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  2.87455052e-01  9.88162308e+01  1.95741262e-02  5.56386441e+00
  7.49681116e+01  8.50000000e-01  4.50000000e-01]",33,0.63,"[0, 0.161862, 0.450494, 0.629856, 0.283451, 0.057966, 0, 0, 0, 0, 0, 0]",False
0,"[-8.20991707e+00 -1.96045637e+00 -1.97093296e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  2.87455052e-01  9.88162308e+01  1.95741262e-02  5.56386441e+00
  8.22502211e+01  8.50000000e-01  4.50000000e-01]",20,0.63,"[0, 0.161862, 0.450494, 0.629856, 0.283451, 0.057966, 0, 0, 0, 0, 0, 0]",False
0,"[-8.20991707e+00 -1.96045637e+00 -1.97093296e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  2.87455052e-01  9.88162308e+01  1.95741262e-02  5.56386441e+00
  8.40970822e+01  8.50000000e-01  4.50000000e-01]",34,0.353,"[0.112882, 0.343849, 0.352709, 0.152019, 0, 0, 0.033825, 0.206795, 0, 0, 0, 0]",False
0,"[ 1.10269289e+01 -2.28973651e+00 -2.18175144e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.38564360e+00  9.61103287e+01  3.59640472e+02  4.31473648e-05
  4.50183252e+00  8.50000000e-01  4.50000000e-01]",46,0.353,"[0.112882, 0.343849, 0.352709, 0.152019, 0, 0, 0.033825, 0.206795, 0, 0, 0, 0]",False
0,"[ 1.10269289e+01 -2.28973651e+00 -2.18175144e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.38564360e+00  9.61103287e+01  3.59640472e+02  4.31473648e-05
  4.50183252e+00  8.50000000e-01  4.50000000e-01]",40,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.10269299e+01 -2.28973532e+00 -2.18175144e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.38548136e+00  9.61103287e+01  3.59640472e+02  4.55482382e-05
  4.50183252e+00  9.71359762e-01  4.50000000e-01]",12,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.10269299e+01 -2.28973532e+00 -2.18175144e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.38548100e+00  9.61103287e+01  3.59640472e+02  4.54582754e-05
  4.50183252e+00  9.71353632e-01  4.50000000e-01]",28,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.10269299e+01 -2.28973532e+00 -2.18175144e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.38548100e+00  9.61103287e+01  3.59640472e+02  4.55059881e-05
  4.50183252e+00  9.70995575e-01  4.50000000e-01]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
