Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-39.10174179  -1.42832029 -12.12500286   0.           0.
   0.          12.          -1.           1.22674322 105.06204987
 359.08837891   1.98241661]",28,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.01712379e+01 -1.67018533e+00 -1.45903959e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.76345289e+00  1.05517159e+02  3.59272125e+02  6.41493881e-05]",97,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.01712379e+01 -1.67019534e+00 -1.45909653e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.76349688e+00  1.05517159e+02  3.59271759e+02  6.40235616e-05]",103,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.01712379e+01 -1.67020571e+00 -1.45915356e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.76352549e+00  1.05517159e+02  3.59271362e+02  6.39066145e-05]",151,0.051,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.051056, 0.031388, 0]",False
0,"[  7.03606653  -2.22549224 -25.15016365   0.           0.
   0.5         12.           1.           1.46732795 105.67301941
 359.84402466  10.9811688 ]",68,0.327,No collision,"[0, 0, 0, 0, 0.187959, 0.250615, 0.199858, 0.326558, 0.112287, 0, 0, 0]",False
0,"[ 65.92969513  -3.25928283 -33.97089005   0.           0.
   0.5         12.           1.           1.02953637 105.32647705
   1.31990004   5.84621102]",73,0.202,No collision,"[0, 0.201583, 0.169541, 0.190285, 0.081092, 0, 0, 0, 0, 0, 0, 0]",False
0,"[100.51420593  -3.78118157 -46.5525589    0.           0.
   0.5         12.          -1.           0.6706062   99.77970123
 359.77258301   4.45462618]",133,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[119.56057739  -3.9862628  -50.67389679   0.           0.
   0.5         12.          -1.           0.50317752 103.22288513
 359.98574829   2.30814519]",19,0.657,No collision,"[0.04541, 0.560616, 0.657129, 0.022258, 0, 0, 0, 0.17879, 0.420024, 0.515614, 0.546092, 0.52423]",False
0,"[154.53025818  -4.40569878 -60.03738403   0.           0.
   0.5         12.          -1.           0.67205578 105.90009308
 359.71014404  12.84873951]",36,0.537,No collision,"[0.537475, 0.483882, 0.465103, 0.460171, 0.469149, 0.4718, 0.349905, 0.126739, 0, 0, 0.000418, 0.077772]",False
0,"[208.09436035  -5.12244892 -74.87604523   0.           0.
   0.5         12.          -1.           1.14155877 104.87893677
   0.21652678   0.91690409]",134,0.268,No collision,"[0.115014, 0.117086, 0.048161, 0, 0, 0.011302, 0.112452, 0.158695, 0.20236, 0.193433, 0.221357, 0.268396]",False
0,"[240.88638306  -5.787467   -83.01463318   0.           0.
   0.5         12.           1.           1.21887326 104.30571747
 359.40603638   9.37992673]",29,0.221,No collision,"[0.221405, 0.177935, 0.11711, 0, 0, 0, 0, 0, 0, 0, 0, 0.165797]",False
0,"[278.50030518  -6.47534752 -94.92281342   0.           0.
   0.5         12.           1.           0.94685358 117.59771729
 359.4022522    8.72524457]",51,0.937,No collision,"[0.357542, 0.666489, 0.799901, 0.929915, 0.936891, 0.842753, 0.760415, 0.801699, 0.616754, 0.38534, 0.499884, 0.054102]",False
0,"[ 3.11034119e+02 -7.05451632e+00 -1.05674767e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  6.81158006e-01  1.04047752e+02  3.59210022e+02  6.29286025e-05]",55,0.239,No collision,"[0.23941, 0.066324, 0, 0, 0, 0, 0.179111, 0.219726, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.80053473e-01  1.04047737e+02  3.59210022e+02  6.57624786e-05]",25,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.80056334e-01  1.04047737e+02  3.59209991e+02  6.48756940e-05]",148,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.80057764e-01  1.04047737e+02  3.59209991e+02  6.48367627e-05]",137,0.24,No collision,"[0, 0, 0, 0.239553, 0.098659, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.80055976e-01  1.04047737e+02  3.59209991e+02  6.55844391e-05]",142,0.25,No collision,"[0, 0, 0, 0.250358, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.80051625e-01  1.04047745e+02  3.59210022e+02  6.69139618e-05]",55,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.80057645e-01  1.04047737e+02  3.59209991e+02  6.57841469e-05]",85,0.273,No collision,"[0, 0, 0, 0.272617, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.11034119e+02 -7.05451107e+00 -1.05674767e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  0.00000000e+00
  6.80054843e-01  1.04047737e+02  3.59210022e+02  6.74034474e-05]",109,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
