Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.62124634  -1.49108469 -12.80178165   0.           0.
   0.          12.          -1.           1.31469333 105.21112061
 359.05575562   3.75337699]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.81954193e+01 -1.72181237e+00 -1.51502028e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.41266739e+00  1.05692123e+02  3.59346069e+02  6.49790174e-05]",20,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.81954174e+01 -1.72182298e+00 -1.51507721e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.41266298e+00  1.05692123e+02  3.59345703e+02  6.52898398e-05]",23,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.81954174e+01 -1.72183359e+00 -1.51513424e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.41265464e+00  1.05692139e+02  3.59345367e+02  6.52550256e-05]",68,0.576,No collision,"[0, 0.136695, 0.575836, 0, 0.180034, 0.276051, 0.144271, 0, 0, 0, 0, 0]",False
0,"[  7.13682318  -2.22795057 -25.15932465   0.           0.
   0.5         12.           1.           1.39787257 105.525177
 359.83355713  10.21438224]",53,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 54.65560913  -3.07220006 -34.0417099    0.           0.
   0.5         12.           1.           1.02334487  94.46908569
   0.36676553   6.4835538 ]",83,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[102.20063782  -3.80207229 -46.90479279   0.           0.
   0.5         12.          -1.           0.7052021  104.30553436
 359.78485107   8.34667353]",27,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[134.72654724  -4.16000414 -55.26332092   0.           0.
   0.5         12.          -1.           0.72782737 104.4542923
 359.92227173   3.02261505]",78,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.58202179e+02 -4.44899321e+00 -6.13319283e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.59810662e-01  1.04516106e+02  3.59645691e+02  4.67141234e-05]",39,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.58202194e+02 -4.44898701e+00 -6.13319321e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.57739520e-01  1.04516106e+02  3.59645691e+02  3.44753604e-05]",98,0.101,No collision,"[0, 0, 0.101331, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.58202194e+02 -4.44898701e+00 -6.13319321e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  6.57739222e-01  1.04516106e+02  3.59645691e+02  3.78374312e-05]",93,0.708,No collision,"[0.707549, 0.264415, 0.292796, 0.448828, 0.508561, 0.524098, 0.523339, 0.12337, 0.352073, 0.454115, 0.489109, 0.495588]",False
0,"[164.15097046  -4.51873875 -62.88016129   0.           0.
   0.5         12.           1.           0.54244721 104.52220917
 359.68835449   1.96425638]",83,0.507,No collision,"[0.507261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733469e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  4.94554907e-01  1.04511528e+02  3.59689880e+02  3.27194227e-05]",57,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733469e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  4.94561046e-01  1.04511528e+02  3.59689850e+02  2.99252573e-05]",67,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733469e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  4.94555801e-01  1.04511528e+02  3.59689880e+02  2.76849744e-05]",19,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733469e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  4.94554043e-01  1.04511528e+02  3.59689880e+02  2.78415093e-05]",134,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733517e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  4.94558007e-01  1.04511528e+02  3.59689880e+02  3.57712888e-05]",108,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733517e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  4.94557410e-01  1.04511528e+02  3.59689880e+02  2.90818781e-05]",84,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733517e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  4.94555920e-01  1.04511528e+02  3.59689880e+02  2.76697376e-05]",0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64959244e+02 -4.52733517e+00 -6.30905762e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  2.00000000e+01  0.00000000e+00
  4.94553566e-01  1.04511528e+02  3.59689880e+02  2.86893937e-05]",55,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
