Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.96299591e+01 -1.41439736e+00 -1.19828138e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.34063482e+00  1.05051910e+02  3.59129852e+02  1.32644920e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.86044584e+00  1.31140876e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.09209615e-01  1.05985402e-01  1.00000000e+00]",64,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.43039703e+01 -1.55103457e+00 -1.34448166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48033810e+00  1.05351601e+02  3.59107178e+02  5.29628579e-05
  1.00000000e+00  1.00000000e+00  1.92157799e+01  9.99840992e+00
  1.84236994e+01  1.92157799e+01  7.56923662e-01  1.34773311e+00
  1.95459578e+00  2.55092270e-02  9.82287556e+00  1.38939052e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923504e+01  1.00000000e+02
 -4.08199889e-01 -3.00000000e+00  1.00000000e+00]",38,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.43039703e+01 -1.55103457e+00 -1.34448166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48033571e+00  1.05351601e+02  3.59107178e+02  5.29972044e-05
  2.00000000e+00  2.00000000e+00  3.68772448e+01  6.70012388e+00
  1.81365026e+01  3.68772448e+01  7.57145615e-01  1.34772082e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99983204e+01  1.00000000e+02
 -4.08199889e-01 -3.00000000e+00  1.00000000e+00]",34,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.43039703e+01 -1.55103457e+00 -1.34448166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.48033631e+00  1.05351601e+02  3.59107178e+02  5.29441091e-05
  3.00000000e+00  3.00000000e+00  3.68772448e+01  6.70012388e+00
  1.81365026e+01  5.94772134e+01  7.57195938e-01  1.34771822e+00
  4.65570922e+01  6.31792095e+00  1.00019696e+01  9.22880934e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99993677e+01  1.00000000e+02
 -4.08199889e-01 -3.00000000e+00  1.00000000e+00]",138,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[  4.95503569  -2.17451596 -24.32624435   0.           0.
   0.          12.           1.           1.16825819 104.91711426
 359.86233521  12.07074585   4.           4.          24.92081585
   6.70012388  18.13650261  24.92081585  23.27902      1.2991071
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          25.95647778 100.
  -3.25718925  -1.23183386   1.        ]",121,1.0,OBSTACLE,"[0.295563, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",False
0,"[ 4.58397789e+01 -2.89077568e+00 -3.89057198e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.42639935e+00  1.07645584e+02  1.26058435e+01  1.45040708e-01
  5.00000000e+00  5.00000000e+00  2.39285770e+01  9.75595098e+00
  1.53362913e+02  6.01938281e+01  2.69132529e+01  1.35004406e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.03681950e+00  5.89157477e-01  1.00000000e+00]",104,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.58599854e+01 -2.90770650e+00 -3.88740921e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.58534324e-01  1.07282532e+02  1.12348394e+01  2.19582874e-04
  6.00000000e+00  6.00000000e+00  6.01896008e+01  6.70012388e+00
  1.81365026e+01  6.01896008e+01  1.34679402e+00  1.23095538e+00
  7.68795770e+01  6.23936706e+00  9.99741609e+00  6.27954764e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.77176639e+01  0.00000000e+00  1.00000000e+02
 -1.94054261e+00  2.85341148e-01  1.00000000e+00]",32,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.58718376e+01 -2.90938020e+00 -3.88518333e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.33657670e-01  1.07512711e+02  1.11215153e+01  5.89829820e-03
  7.00000000e+00  7.00000000e+00  6.01843413e+01  6.70012388e+00
  1.81365026e+01  1.04381532e+02  1.35077894e+00  1.24941728e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",121,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.58794403e+01 -2.90959215e+00 -3.88342896e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.51802874e-01  1.07630798e+02  1.10041189e+01  1.94952634e-04
  8.00000000e+00  8.00000000e+00  6.01788236e+01  6.70012388e+00
  1.81365026e+01  2.02933524e+02  1.35257757e+00  1.26349801e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",53,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.58794441e+01 -2.90957975e+00 -3.88342781e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.51723897e-01  1.07630852e+02  1.10019407e+01  1.99235501e-04
  9.00000000e+00  9.00000000e+00  6.01788186e+01  6.70012388e+00
  1.81365026e+01  1.02706403e+02  1.35258503e+00  1.26350864e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",55,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
