Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.94402351e+01 -1.41934299e+00 -1.20336981e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.42758453e+00  1.05041161e+02  3.59111908e+02  9.17991093e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  3.01098798e+00  1.31005253e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.36793848e-01 -3.36458788e-01  1.00000000e+00]",105,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.41579628e+01 -1.55497837e+00 -1.34818726e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.49607790e+00  1.05298950e+02  3.59115509e+02  3.10432989e+00
  1.00000000e+00  1.00000000e+00  3.00722504e+01  1.20365456e+01
  1.22609332e+01  3.00722504e+01  1.56740757e+00  1.30396628e+00
  3.09357548e+00  2.25370277e-01  1.17241105e+01  1.05062384e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -3.35279428e-01 -2.67640946e-01  1.00000000e+00]",104,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.92406235e+01 -1.69696784e+00 -1.48510256e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.77942836e+00  1.05547005e+02  3.59235748e+02  5.88841746e-05
  2.00000000e+00  2.00000000e+00  3.28397126e+01  1.70919628e+01
  1.40834794e+01  3.28397126e+01  1.34046339e+00  1.30173817e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.78416804e+01  1.00000000e+02
 -2.99554442e-01 -4.52741760e-02  1.00000000e+00]",14,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.92406235e+01 -1.69697773e+00 -1.48515959e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.77943301e+00  1.05547005e+02  3.59235413e+02  5.93184424e-05
  3.00000000e+00  3.00000000e+00  6.11505349e+00  0.00000000e+00
  1.17965010e+01  3.28399710e+01  1.34066005e+00  1.30132807e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.78477178e+01  1.00000000e+02
 -2.99554442e-01 -4.54315351e-02  1.00000000e+00]",148,0.986,No collision,"[0, 0, 0.101188, 0.230504, 0.527413, 0.813614, 0.834895, 0.850768, 0.986235, 0.343649, 0, 0]",False
0,"[  6.39528131  -2.2074666  -24.80196381   0.           0.5
   0.          12.           1.           1.44897413 104.93225861
 359.83294678   9.50187815   3.           3.          24.24233225
  10.00216885  11.97719731  25.70816875   1.33931866   1.31094525
   0.           0.           0.           0.           0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
   0.74123547   0.64366571   1.        ]",137,0.133,No collision,"[0, 0, 0.038689, 0.132763, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.03458214e+01 -3.03450465e+00 -3.59697876e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.48310828e-01  1.02996536e+02  3.58291077e+02  8.17457433e+00
  3.00000000e+00  3.00000000e+00  6.19494598e+01  1.70919628e+01
  1.40834794e+01  6.19494598e+01  1.34332769e+00  1.35177840e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  7.86499981e-02  5.80464556e-01  1.00000000e+00]",92,1.0,Jeep(Clone)871032bc-875c-4edd-940c-ac17965165fc,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",False
0,"[106.32073975  -3.84576273 -46.49737549   0.           0.5
   0.          12.          -1.           0.62875605 109.05856323
   0.48467296   6.85166517   4.           4.           4.48010815
   6.99144932  12.95185721 116.10725868  11.61300857   1.39213493
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  -1.69918937   1.56877823   1.        ]",28,1.0,Jeep(Clone)871032bc-875c-4edd-940c-ac17965165fc,"[0, 0.185644, 0.339307, 0, 0, 1, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.21037148e+02 -3.99917793e+00 -5.05833855e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.01283562e-01  1.09586411e+02  3.59958252e+02  7.49730720e-03
  5.00000000e+00  5.00000000e+00  4.29736927e+00  5.48922212e-03
  1.29518602e+01  1.31242765e+02  1.21759520e-01  1.33896228e+00
  9.24445427e-01  2.93689283e+00  4.76837158e-05  1.24454996e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.58282594e+01  0.00000000e+00  1.00000000e+02
  1.81680430e+00  2.99939113e-01  1.00000000e+00]",76,1.0,Jeep(Clone)871032bc-875c-4edd-940c-ac17965165fc,"[0.152468, 0.597452, 0.152586, 0.152702, 0.152657, 1, 0.730815, 0.152753, 0.731028, 0.731256, 1, 0.152466]",False
0,"[ 1.21041069e+02 -3.99865103e+00 -5.06199875e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.88741463e-01  1.09851250e+02  3.59989471e+02  4.88088058e-03
  6.00000000e+00  6.00000000e+00  4.29354129e+00  1.37871097e-03
  1.29518619e+01  1.31260477e+02  6.01217023e+01  1.29514802e+00
  3.66466555e+01  5.93316593e+00  9.99577450e+00  9.98842396e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  6.13133308e-04  3.43208874e-01  1.00000000e+00]",20,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.21049652e+02 -3.99954057e+00 -5.06584167e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.60864085e-01  1.09894196e+02  3.59724304e+02  5.73634523e-03
  7.00000000e+00  7.00000000e+00  4.28255356e+00  1.88878082e-03
  1.29518641e+01  1.31283243e+02  3.95688951e+00  1.24446913e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.16434166e+01  0.00000000e+00  1.00000000e+02
  1.76887016e+00  3.70314228e-01  1.00000000e+00]",53,0.904,No collision,"[0.904176, 0.493957, 0.744069, 0.903941, 0.493936, 0.493928, 0.49393, 0.903909, 0.493949, 0.903934, 0.903915, 0.810182]",False
