Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-37.78638458  -1.46162331 -12.4773159    0.           0.
   0.          12.          -1.           1.3973906  105.01509857
 359.05496216   1.9173736 ]",106,0.504,No collision,"[0.504048, 0.127933, 0.197785, 0.234352, 0.207689, 0.066541, 0, 0, 0, 0, 0, 0]",False
0,"[-1.77122326e+01 -1.87760377e+00 -1.80803871e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.41499370e-01  1.05899414e+02  3.59757141e+02  3.73299566e+00]",96,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-10.50709724  -1.94460487 -20.05661392   0.           0.
   0.          12.           1.           0.35390419 104.24320221
   0.24449652   0.95266394]",123,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 22.48998642  -2.54835057 -28.77709198   0.           0.
   0.          12.           1.           1.45368445 107.97368622
 358.81851196   7.4471875 ]",15,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 71.37167358  -3.35371184 -34.42842484   0.           0.
   0.          12.           1.           1.12213731  88.00862885
   0.56296408   7.34415202]",143,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[113.12198639  -3.96428537 -52.92012024   0.           0.
   0.          12.           1.           0.692518   111.44295502
 358.8421936    9.89269116]",16,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[149.68037415  -4.3585062  -59.99089813   0.           0.
   0.          12.          -1.           0.66904199  96.9076004
 359.70355225   1.21671086]",86,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[161.46296692  -4.48641157 -61.90078354   0.           0.
   0.          12.          -1.           0.64066756 100.93894196
 359.64865112   6.44264983]",140,0.664,No collision,"[0, 0.11598, 0.663943, 0.451551, 0.457046, 0.450716, 0.466571, 0.484793, 0.53334, 0.574055, 0.605246, 0.636229]",False
0,"[ 1.99290833e+02 -4.97489071e+00 -7.14822922e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02030766e+00  1.04980461e+02  1.07391022e-01  1.31508493e+00]",63,0.659,No collision,"[0.658538, 0.486978, 0.168651, 0.315855, 0, 0, 0, 0.328549, 0.153842, 0.162835, 0.336999, 0]",False
0,"[ 2.08704285e+02 -5.13223648e+00 -7.40578995e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.80384648e-01  1.05475433e+02  2.24241406e-01  6.36313806e-04]",93,0.16,No collision,"[0, 0, 0.153514, 0.160223, 0, 0.142823, 0.147038, 0.075374, 0, 0.019063, 0.130722, 0.064791]",False
0,"[221.37704468  -5.38782692 -77.5127182    0.           0.
   0.          12.           1.           1.00755632 105.02609253
 359.9319458    9.10478376]",4,0.169,No collision,"[0, 0, 0.169215, 0.164448, 0.146446, 0.110729, 0, 0, 0, 0, 0, 0]",False
0,"[286.43890381  -6.64505196 -97.75543976   0.           0.
   0.          12.           1.           1.28839004 114.94998169
 359.36801147   8.63203434]",97,0.051,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.05131, 0, 0, 0]",False
0,"[ 3.04676544e+02 -7.01205540e+00 -1.04626434e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.99115515e-01  1.04261246e+02  3.58605713e+02  1.10119325e-04]",14,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.04676544e+02 -7.01205492e+00 -1.04626434e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.99110806e-01  1.04261246e+02  3.58605713e+02  1.08121282e-04]",134,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.04676544e+02 -7.01205492e+00 -1.04626434e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.99110270e-01  1.04261246e+02  3.58605713e+02  1.08883306e-04]",116,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
