Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-39.02383041  -1.43036699 -12.14678192   0.           0.
   0.          12.          -1.           1.33167636 105.07861328
 359.07946777   2.09922244]",148,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.61675739e+01 -1.89011502e+00 -1.85078316e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.80680239e-01  1.05766319e+02  7.81599083e-04  7.98719280e+00]",65,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 53.18880081  -3.06071472 -35.53078461   0.           0.5
   0.          12.          -1.           0.9269684   94.52661133
 358.79730225  12.74491589]",89,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 93.14779663  -3.68984795 -43.9236908    0.           0.5
   0.          12.           1.           0.66382098 104.22270203
 359.95028687   9.25902111]",60,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[153.06051636  -4.39037561 -59.72418976   0.           0.5
   0.          12.           1.           0.54952568 104.89859009
 359.69320679  11.41844782]",75,0.394,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.086628, 0.394042, 0.262456]",False
0,"[ 2.15642532e+02 -5.26877546e+00 -7.63093338e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.30754554e+00  1.04825302e+02  3.53111923e-02  6.97489801e+00]",143,0.325,No collision,"[0.090503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.109855, 0.324869]",False
0,"[ 2.76642548e+02 -6.41944408e+00 -9.22993393e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02519596e+00  1.05041336e+02  1.06830262e-01  1.31341579e+01]",76,0.781,No collision,"[0.574874, 0.724218, 0.780761, 0.600221, 0.401501, 0.110466, 0, 0, 0, 0, 0, 0.174138]",False
0,"[ 333.54165649   -7.32087088 -102.61405182    0.            0.
    0.           12.           -1.            0.85361552   54.84490204
  359.21524048    3.44111398]",25,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[339.20248413  -7.44158411 -95.59144592   0.           0.
   0.          12.          -1.           0.64054847  33.68941116
 359.07556152   1.40040661]",14,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[342.40222168  -7.51033735 -90.59031677   0.           0.
   0.          12.          -1.           0.63155299  32.54008484
 358.06573486   3.85710858]",125,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[352.47406006  -7.60574436 -50.67940903   0.           0.
   0.          12.           1.           0.7490564   28.57164764
 357.76797485   6.19466361]",20,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.61002106e+02 -7.25985956e+00 -3.86859703e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57668762e+02  4.08496094e+01  4.52264166e+00  3.27006884e-04]",65,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.61002106e+02 -7.25986528e+00 -3.86859665e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57667969e+02  4.08600464e+01  4.52150726e+00  3.28761716e-04]",47,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.61002106e+02 -7.25986862e+00 -3.86859665e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.57667358e+02  4.08703613e+01  4.52060127e+00  3.25573907e-04]",153,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.61002106e+02 -7.25987864e+00 -3.86859627e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.57666412e+02  4.08807716e+01  4.51934671e+00  3.28844938e-04]",26,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.95611954  -1.45754802 -12.42508125   0.           0.
   0.          12.          -1.           1.27947843 104.96368408
 359.05886841   3.4475125 ]",45,0.452,No collision,"[0, 0.288541, 0.452371, 0, 0, 0, 0, 0, 0, 0, 0.173124, 0]",False
1,"[-2.85131626e+01 -1.71285367e+00 -1.50226612e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.54923618e+00  1.05528244e+02  3.59327515e+02  6.84249892e-05]",146,0.112,No collision,"[0.112398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.85131626e+01 -1.71286440e+00 -1.50232306e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.54924119e+00  1.05528244e+02  3.59327148e+02  6.82052594e-05]",110,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.85131626e+01 -1.71287537e+00 -1.50238008e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.54924369e+00  1.05528259e+02  3.59326782e+02  6.81902432e-05]",2,0.514,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.184438, 0.513781, 0.370163, 0.343702]",False
1,"[ 10.7563839   -2.32398224 -26.1260128    1.           0.
   1.          12.           1.           1.41361737 105.51738739
 359.80673218  12.18819879]",32,1.0,OBSTACLE,"[0.999823, 0.999771, 0.999727, 0.999695, 0.999671, 0.99965, 0.999622, 0.999583, 0, 1, 0, 0]",False
1,"[ 4.73460579e+01 -3.00308871e+00 -3.76849747e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59221313e+02  1.31217560e+02  3.10641527e+00  4.53284941e-03]",31,0.999,No collision,"[0, 0, 0, 0, 0.999497, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.72450714e+01 -3.00437713e+00 -3.75656242e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59506897e+02  1.30542114e+02  2.67513871e+00  2.24830048e-01]",30,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 4.64462433e+01 -2.98041034e+00 -3.68681526e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.80571759e+00  1.29247391e+02  3.58378662e+02  2.35750861e-01]",32,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 42.2786293   -2.89189029 -33.48371887   1.           0.
   1.          12.          -1.           1.38997936 129.29963684
 359.23379517   1.63720967]",118,1.0,OBSTACLE,"[0, 0.547822, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",False
1,"[ 4.74138832e+01 -3.00682688e+00 -3.76987267e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59388123e+02  1.30298248e+02  2.88865685e+00  1.13475020e-01]",104,1.0,OBSTACLE,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",False
1,"[ 4.76869965e+01 -3.01125097e+00 -3.78635330e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59263184e+02  1.29575302e+02  3.08684778e+00  1.83871098e-01]",67,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 45.41888046  -2.99094033 -36.01715088   1.           0.
   1.          12.           1.           1.44883144 128.68035889
 358.9803772    0.76457255]",137,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 41.9514389   -2.88325882 -33.26366043   1.           0.
   1.          12.           1.           1.30561531 128.72149658
 359.27191162   0.93829386]",153,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 36.36831284  -2.7502358  -28.78918839   1.           0.
   1.          10.          -1.           0.93876952 128.74862671
   0.24479918   1.21546979]",65,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 31.4273777   -2.65278316 -24.80658531   1.           0.
   1.          10.          -1.           0.67630756 128.82987976
   0.94561398   1.00033125]",68,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 28.21296501  -2.61331344 -22.19128799   1.           0.
   1.          10.          -1.           0.46019083 128.86445618
   1.13678861   1.4738036 ]",135,0.425,No collision,"[0, 0.425356, 0, 0, 0, 0, 0.162291, 0, 0.233401, 0.145316, 0.155888, 0.171662]",False
1,"[ 21.98708153  -2.50121355 -17.25392151   1.           0.
   1.          10.          -1.           0.39031288 128.53752136
 358.98446655   1.05218917]",95,0.151,No collision,"[0.15115, 0.088465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 27.98581696  -2.61115336 -22.01104164   1.           0.
   1.          10.           1.           0.51922607 128.11253357
   1.11525285   2.55678039]",73,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.61835442e+01 -2.74469328e+00 -2.84299641e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01  1.00000000e+00
  9.62206662e-01  1.28227524e+02  2.11348385e-01  4.41939908e-05]",136,1.0,No collision,"[0, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0, 0.999614, 0.999614, 0.999614, 0]",False
1,"[ 3.61835632e+01 -2.74468899e+00 -2.84299755e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01  0.00000000e+00
  9.58803058e-01  1.28225967e+02  2.11107999e-01  3.13755670e-05]",151,1.0,No collision,"[0.999614, 0, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614]",False
1,"[ 3.61835632e+01 -2.74468899e+00 -2.84299755e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  9.58803713e-01  1.28224518e+02  2.11092159e-01  3.09923840e-05]",79,1.0,No collision,"[0, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0.999614, 0, 0.999614, 0.999614, 0, 0.999614]",False
