Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-38.48096085  -1.4444412  -12.29480457   0.           0.
   0.          12.          -1.           1.31592798 105.12091064
 359.04666138   2.31708436   5.09079947]",46,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.67067604e+01 -1.48875272e+00 -1.27825842e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.39111578e+00  1.05187325e+02  3.59048065e+02  2.92000416e-01
  2.90886758e+00]",40,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.14670238e+01 -1.62898910e+00 -1.42303829e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.74930251e+00  1.05425018e+02  3.59186768e+02  2.52206355e-03
  2.18861429e+00]",22,1.0,"[0.999655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.14665127e+01 -1.62918782e+00 -1.42307930e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59068322e+00  1.05427284e+02  3.59192383e+02  6.00790606e-05
  2.18760265e+00]",33,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-9.75612879e-01 -2.04788041e+00 -2.27775898e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.23838103e+00  1.05231819e+02  6.54864162e-02  8.69293865e+00
  2.98521971e+01]",1,1.0,"[0, 0, 0, 0, 0, 0.037287, 0.484849, 0.999451, 1, 0.449035, 0.449025, 0.449172]",False
0,"[ 4.45057945e+01 -2.97914863e+00 -3.57762833e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.82927847e-01  9.84711304e+01  3.58372314e+02  1.04165730e-02
  1.33839050e+01]",35,0.449,"[0.449157, 0.449151, 0.449076, 0.449022, 0.449017, 0.449005, 0.448979, 0.448948, 0.448922, 0.448999, 0.449055, 0.449074]",False
0,"[ 4.45043068e+01 -2.97872448e+00 -3.57986717e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.99589789e-01  9.81976776e+01  3.58367157e+02  3.35087017e-03
  9.73653201e+01]",44,0.449,"[0.449082, 0.449095, 0.449079, 0.44908, 0.449083, 0.449169, 0.449148, 0.449103, 0.449073, 0.448993, 0.448971, 0.448999]",False
0,"[ 4.45030518e+01 -2.97744250e+00 -3.58228607e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.33126640e-01  9.77344818e+01  3.58361389e+02  2.73544622e-03
  4.48804303e+01]",3,0.449,"[0.449006, 0.449126, 0.449127, 0.449041, 0.448977, 0.449079, 0.449122, 0.449161, 0.449131, 0.44907, 0.449054, 0.448997]",False
0,"[ 4.45023575e+01 -2.97836781e+00 -3.58477821e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.15179145e-01  9.72648087e+01  3.58360291e+02  5.10467119e-03
  6.29597220e+01]",2,0.449,"[0.44895, 0.448926, 0.448926, 0.448926, 0.448926, 0.448926, 0.449027, 0.449058, 0.44905, 0.449069, 0.448992, 0.449162]",False
0,"[ 4.45028763e+01 -2.98247838e+00 -3.58628998e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.21106863e-01  9.70074615e+01  3.58372040e+02  7.42756753e-03
  1.62929315e+00]",14,0.449,"[0.449156, 0.449103, 0.449144, 0.449081, 0.449037, 0.449034, 0.449018, 0.448971, 0.44895, 0.44895, 0.44895, 0.449035]",True
1,"[-36.0810585   -1.51455188 -13.51880836   0.           0.
   0.          12.          -1.           1.38890886 109.08209229
 358.431427     4.52062365   3.26238715]",25,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.61099873e+01 -1.78940701e+00 -1.69134865e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.11256433e-01  1.08334679e+02  3.59141907e+02  5.30551430e-05
  6.85732641e+00]",2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.38901603e+00 -2.04469514e+00 -2.39052181e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.37291253e+00  1.04278214e+02  5.10688834e-02  5.07060687e+00
  3.88881454e+01]",5,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 30.34919357  -2.70465589 -31.27097702   1.           0.
   1.          12.           1.           0.87004238 100.94532776
 358.74511719   8.66766297  11.23566713]",33,0.999,"[0, 0, 0, 0, 0, 0, 0, 0.999193, 0.999124, 0, 0, 0]",False
