Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-38.38752365  -1.44674695 -12.3203907    0.           0.
   0.          12.          -1.           1.34265578 105.13041687
 359.04647827   2.26898669   3.99136734   1.30975428]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-29.77309608  -1.6831733  -14.70296001   0.           0.
   0.5         12.          -1.           1.83639014 105.51139069
 359.29086304   3.87373075   3.95269089   1.30050393]",0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.80844841e+01 -1.72453380e+00 -1.51797819e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.34632587e+00  1.05590927e+02  3.59358978e+02  1.47587921e-01
  1.75759533e+00  1.29973900e+00]",47,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.79026642e+01 -1.72924161e+00 -1.52355146e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.27606142e+00  1.05614716e+02  3.59388977e+02  6.67362029e-05
  1.83338815e+00  1.29706669e+00]",51,0.687,"[0, 0.008264, 0.176068, 0.168424, 0.429134, 0.550068, 0.634121, 0.671949, 0.687205, 0.655214, 0.592863, 0.508448]",False
0,"[-1.60906200e+01 -1.89064968e+00 -1.85244579e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  5.54692149e-01  1.05317184e+02 -1.51314482e-03  3.51532288e+00
  3.09539511e+01  1.29604360e+00]",35,1.0,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]",False
0,"[-2.05912647e+01 -1.86544538e+00 -1.94543095e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.68518513e-01  8.84242554e+01  3.55460388e+02  5.18416787e-02
  1.34799646e+00  4.75744919e+00]",26,1.0,"[0.696335, 0.566291, 1, 0.655318, 0.450308, 0.751241, 0.777756, 0.783355, 0.491249, 0.435149, 0.36121, 0.274869]",False
0,"[-2.21968651e+01 -1.85851574e+00 -1.94137115e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  5.02709091e-01  7.67433090e+01  3.59420044e+02  3.39030243e-05
  2.78086310e-01  1.19787082e+00]",43,0.218,"[0.217513, 0.118098, 0.023047, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.21968651e+01 -1.85851574e+00 -1.94137115e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  5.02708137e-01  7.67433090e+01  3.59420044e+02  3.43057721e-05
  2.78086310e-01  1.19787082e+00]",51,1.0,"[0, 0, 0, 0, 0, 0, 0.057585, 0.16979, 0.284594, 0.634158, 1, 0.84943]",False
0,"[-24.08377457  -1.8536092  -19.92291832   0.           0.
   0.5         12.          -1.         359.9475708   75.47399902
 359.07025146   1.30652892   2.18430485  -1.38295854]",10,1.0,"[0.765129, 0.849738, 0.905922, 1, 0.737945, 0.686507, 0.607234, 0.509596, 0.410969, 0.304542, 0.270503, 0.279467]",False
0,"[-2.53227272e+01 -1.86065638e+00 -2.03291874e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59488739e+02  7.37554626e+01  3.59144623e+02  7.01993745e-05
  3.48137407e+00 -1.33475001e+00]",47,0.17,"[0.170442, 0.156023, 0.126734, 0.081531, 0.028867, 0, 0, 0, 0.058103, 0.109226, 0.146466, 0.169304]",False
0,"[-2.53227272e+01 -1.86065626e+00 -2.03291874e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  3.59488739e+02  7.37554626e+01  3.59144623e+02  7.00460634e-05
  3.48137407e+00 -1.33475001e+00]",37,0.176,"[0.175828, 0.175828, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.53227272e+01 -1.86065626e+00 -2.03291874e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  3.59488739e+02  7.37554626e+01  3.59144623e+02  7.01606783e-05
  3.48137407e+00 -1.33475001e+00]",7,1.0,"[0.191264, 0.37619, 0.552355, 0.702631, 1, 0.999993, 0.999995, 0.999996, 0.999996, 0.645457, 0.561958, 0.464413]",False
0,"[-2.76679153e+01 -1.86949658e+00 -2.11940289e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59692505e+02  7.18206406e+01  3.58575317e+02  9.93148117e-05
  5.97094716e+00 -1.28575780e+00]",48,0.522,"[0.522464, 0.432186, 0.332483, 0.230579, 0.126953, 0.126953, 0, 0, 0, 0, 0, 0]",False
0,"[-2.76679134e+01 -1.86949420e+00 -2.11940327e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59692444e+02  7.18206177e+01  3.58575867e+02  1.04959511e-04
  5.97094640e+00 -1.28575710e+00]",37,0.081,"[0, 0.024503, 0.064642, 0.080697, 0.080697, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.76679134e+01 -1.86949420e+00 -2.11940327e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59692444e+02  7.18206177e+01  3.58575867e+02  1.04900594e-04
  5.97094640e+00 -1.28575710e+00]",37,0.813,"[0, 0, 0, 0, 0.029178, 0.282874, 0.248993, 0.584227, 0.710554, 0.813448, 0.608433, 0.650352]",False
0,"[-2.57085400e+01 -1.86484599e+00 -2.05664845e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59310730e+02  7.17271957e+01  3.59313721e+02  2.12363910e-03
  3.91450459e+00 -1.29885257e+00]",51,0.678,"[0.60964, 0.524082, 0.678043, 0.326321, 0.218966, 0.129363, 0.117725, 0.090228, 0.049914, 0, 0, 0]",False
0,"[-2.56270733e+01 -1.86453605e+00 -2.05457554e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59327057e+02  7.17305145e+01  3.59321564e+02  8.92534897e-05
  3.83046433e+00 -1.29835263e+00]",49,0.175,"[0, 0.040702, 0.095445, 0.138016, 0.163015, 0.175413, 0.175413, 0, 0, 0, 0, 0]",False
0,"[-2.55724106e+01 -1.86458778e+00 -2.05291557e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59361603e+02  7.17185440e+01  3.59314911e+02  2.70545267e-03
  3.77335128e+00 -1.29869144e+00]",36,1.0,"[0.098993, 0.17797, 0.262229, 0.328312, 0.380978, 0.413858, 0.551337, 0.617108, 1, 1, 1, 0.68217]",False
0,"[-2.91075287e+01 -1.82448626e+00 -2.24325447e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.13716602e+00  6.42522964e+01  3.59101105e+02  1.17147023e-02
  7.74051587e+00 -1.18433345e+00]",12,0.739,"[0.422048, 0.738718, 0.538243, 0.550368, 0.536927, 0.494606, 0.429734, 0.35478, 0.265541, 0.21228, 0.21228, 0]",False
0,"[-2.91074753e+01 -1.82306445e+00 -2.24323406e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01  0.00000000e+00
  3.15067577e+00  6.42591705e+01  3.59006104e+02  6.05272770e-05
  7.74038948e+00 -1.18435527e+00]",1,0.032,"[0, 0, 0, 0, 0, 0, 0, 0.031604, 0.031604, 0, 0, 0]",False
0,"[-2.91074753e+01 -1.82306445e+00 -2.24323406e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.15067577e+00  6.42591705e+01  3.59006104e+02  6.05266962e-05
  7.74038948e+00 -1.18435527e+00]",14,0.339,"[0, 0, 0, 0, 0, 0, 0.061286, 0.263223, 0.212464, 0.271832, 0.330737, 0.338983]",False
0,"[-2.84293671e+01 -1.83867812e+00 -2.21120663e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  2.21597934e+00  6.44086685e+01  3.59449280e+02  3.87027180e-03
  6.99169861e+00 -1.19023098e+00]",17,0.82,"[0.535623, 0.626974, 0.740624, 0.516566, 0.56035, 0.820497, 0.810967, 0.784264, 0.437988, 0.353098, 0.258447, 0.165892]",False
0,"[-2.55470562e+01 -1.86947143e+00 -2.07507439e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.59163055e+02  6.45223083e+01  3.59374054e+02  4.53802871e-05
  3.81484700e+00 -1.24092448e+00]",42,0.197,"[0.059977, 0.009853, 0, 0, 0, 0.017621, 0.081583, 0.132807, 0.170803, 0.19214, 0.196537, 0.196537]",False
0,"[-2.55470562e+01 -1.86947191e+00 -2.07507439e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  3.59163086e+02  6.45260010e+01  3.59373993e+02  4.51690951e-05
  3.81484700e+00 -1.24092448e+00]",11,0.694,"[0, 0, 0, 0, 0.020691, 0.115146, 0.21277, 0.285821, 0.350258, 0.401988, 0.435057, 0.694083]",False
0,"[-24.83914566  -1.85756707 -20.42743492   0.           0.
   1.          10.           1.         359.55044556  64.82066345
 359.28259277   0.6171631    3.04134148  -1.26610344]",43,1.0,"[0.686573, 1, 0.999995, 0.999995, 1, 0.899482, 0.623186, 0.53929, 0.447122, 0.342668, 0.233652, 0.193453]",False
0,"[-2.87937431e+01 -1.82966506e+00 -2.27979202e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01  1.00000000e+00
  3.05034924e+00  6.02154617e+01  3.59107361e+02  8.74139816e-05
  7.60131994e+00 -1.12421574e+00]",8,0.289,"[0.288863, 0.19754, 0.167061, 0.167061, 0, 0, 0, 0, 0, 0, 0, 0.029975]",False
0,"[-2.87937431e+01 -1.82966506e+00 -2.27979202e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.05034685e+00  6.02154617e+01  3.59107361e+02  8.73326874e-05
  7.60131994e+00 -1.12421574e+00]",9,0.115,"[0.076557, 0.076557, 0, 0, 0, 0, 0, 0, 0, 0, 0.029265, 0.115205]",False
0,"[-2.87937431e+01 -1.82966506e+00 -2.27979202e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  3.05034685e+00  6.02154617e+01  3.59107361e+02  8.73326363e-05
  7.60131994e+00 -1.12421574e+00]",28,0.763,"[0.198078, 0.26834, 0.328065, 0.38847, 0.493312, 0.674556, 0.611748, 0.385398, 0.449644, 0.493205, 0.763374, 0.498881]",False
0,"[-2.64581680e+01 -1.88487840e+00 -2.14771862e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  3.58911438e+02  6.02971764e+01  3.58977020e+02  2.38390449e-03
  4.92777376e+00 -1.16126143e+00]",32,0.39,"[0.390098, 0.294404, 0.191025, 0.085407, 0.002935, 0.002935, 0, 0, 0, 0, 0, 0.038118]",False
0,"[-2.64362526e+01 -1.88474941e+00 -2.14681187e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  3.58901581e+02  6.03099556e+01  3.59005981e+02  8.27715925e-05
  4.90406008e+00 -1.16117811e+00]",47,0.191,"[0.101645, 0.15089, 0.185301, 0.190612, 0.190612, 0, 0, 0, 0, 0, 0.043481, 0.136962]",False
