Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.89788818  -1.48389792 -12.72198582   0.           0.
   0.          12.          -1.           1.41563714 105.13563538
 359.05718994   2.03715777]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.15638447e+01 -1.62608433e+00 -1.41943998e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.58760750e+00  1.05423752e+02  3.59188324e+02  5.50771547e-05]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.15638447e+01 -1.62608445e+00 -1.41943998e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.58760703e+00  1.05423752e+02  3.59188324e+02  5.46852789e-05]",16,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.15638447e+01 -1.62608445e+00 -1.41943998e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.58760786e+00  1.05423752e+02  3.59188324e+02  5.47089512e-05]",30,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-12.9917078   -1.92350996 -19.4266243    0.           0.
   0.          12.          -1.           0.65411848 105.86566925
   0.28555304   9.44670482]",33,1.0,fdb97960-e163-46d1-941a-9ce50efb024a,"[0.001721, 0.336865, 0.603678, 0.867962, 1, 0.999982, 0.647055, 1, 0.450317, 0.450266, 0.450251, 0.450304]",False
0,"[ 1.38873453e+01 -2.39136028e+00 -2.71652107e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.48687541e-01  1.05984261e+02  3.59819244e+02  1.72932202e-03]",4,1.0,No collision,"[0.450315, 0.450299, 0.45023, 0.450263, 0.450226, 0.450203, 0.450251, 0.450224, 0.450306, 0.450299, 0.450301, 0.999985]",False
0,"[ 1.38856773e+01 -2.39057708e+00 -2.71758595e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.20581949e-01  1.05781868e+02  3.59850433e+02  9.88444456e-04]",36,0.698,No collision,"[0.697809, 0.45025, 0.450332, 0.450368, 0.450364, 0.450318, 0.450334, 0.450263, 0.450273, 0.450285, 0.697755, 0.450242]",False
0,"[ 1.38834763e+01 -2.39354157e+00 -2.71969528e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.59866333e-01  1.05306252e+02  3.59835175e+02  6.21975305e-03]",10,0.698,No collision,"[0.450231, 0.450226, 0.45015, 0.450178, 0.45016, 0.450216, 0.450172, 0.450118, 0.450108, 0.450181, 0.450161, 0.697682]",False
0,"[ 1.38819542e+01 -2.39141035e+00 -2.72078476e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.39777505e-01  1.05096733e+02  3.59826843e+02  9.78578933e-03]",44,0.698,No collision,"[0.450164, 0.450178, 0.697668, 0.450198, 0.450326, 0.45026, 0.69776, 0.450353, 0.450219, 0.450179, 0.450263, 0.450207]",False
0,"[ 1.38808737e+01 -2.39099693e+00 -2.72207279e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.55387425e-01  1.04853630e+02  3.59840271e+02  1.14131705e-02]",13,0.698,No collision,"[0.450315, 0.450421, 0.450392, 0.450375, 0.450315, 0.450371, 0.45033, 0.450326, 0.450319, 0.697813, 0.450295, 0.450299]",True
1,"[-37.7117424   -1.46675742 -12.71966934   0.           0.
   0.          12.          -1.           1.36409283 108.29798126
 358.87875366   2.66621046]",32,1.0,Jeep(Clone)49be4b5d-f6b8-4e74-aba8-95bd8109cedf,"[0, 0.372819, 1, 0.099687, 0.097149, 0.096881, 0.096847, 0.09685, 0.096854, 0.096857, 0.09686, 0.096863]",False
1,"[-3.15885601e+01 -1.63411975e+00 -1.47147427e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.64236093e+00  1.07700966e+02  3.58830475e+02  5.75540413e-05]",35,0.097,No collision,"[0.096867, 0.09687, 0.096875, 0.096878, 0.096881, 0.096887, 0.09689, 0.096893, 0.096897, 0.0969, 0.096903, 0.096907]",False
1,"[-3.15885601e+01 -1.63411987e+00 -1.47147427e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.64235938e+00  1.07700966e+02  3.58830475e+02  5.76224860e-05]",45,0.186,No collision,"[0.09691, 0.096912, 0.096917, 0.096918, 0.096921, 0.096924, 0.096927, 0.09693, 0.096932, 0.096936, 0.09694, 0.185993]",False
1,"[-3.15847034e+01 -1.63420630e+00 -1.47160473e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.60928154e+00  1.07698387e+02  3.58838989e+02  4.60544526e-03]",43,0.098,No collision,"[0.09814, 0.098138, 0.09814, 0.098143, 0.098154, 0.098148, 0.098166, 0.098167, 0.098176, 0.098168, 0.09817, 0.098175]",False
1,"[-3.15832653e+01 -1.63436580e+00 -1.47180405e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.56001210e+00  1.07665031e+02  3.58863068e+02  9.93641061e-04]",48,0.187,No collision,"[0.098173, 0.098175, 0.098469, 0.099287, 0.099213, 0.099259, 0.187136, 0.098196, 0.098192, 0.098192, 0.186751, 0.098196]",True
2,"[-34.92873001  -1.53502154 -13.34029102   0.           0.
   0.          12.          -1.           1.14691329 106.19281006
 359.04904175   7.07818355]",24,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 15.56180286  -2.41799235 -27.71738434   0.           0.
   0.          12.          -1.           1.08812273 105.57975006
 359.77035522   5.42162351]",51,1.0,No collision,"[0, 0.999833, 0.999839, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.81510792e+01 -2.46845722e+00 -2.84488506e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.29397595e+00  1.05745346e+02  3.59277039e+02  5.37039046e-05]",46,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.81510792e+01 -2.46845722e+00 -2.84488506e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.29397607e+00  1.05745346e+02  3.59277039e+02  5.32128286e-05]",18,0.458,No collision,"[0.040989, 0.123298, 0.201054, 0.278114, 0.349046, 0.40397, 0.441073, 0.45802, 0.451706, 0.425737, 0.381178, 0.320984]",False
2,"[ 1.81510792e+01 -2.46845722e+00 -2.84488506e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.29397631e+00  1.05745346e+02  3.59277069e+02  5.31959685e-05]",30,0.248,No collision,"[0.248027, 0.170919, 0.086385, 0.037348, 0.037348, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.81510792e+01 -2.46845722e+00 -2.84488506e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.29397643e+00  1.05745346e+02  3.59277039e+02  5.37551197e-05]",7,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.81510792e+01 -2.46845722e+00 -2.84488506e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.29397666e+00  1.05745346e+02  3.59277069e+02  5.33104267e-05]",50,0.422,No collision,"[0, 0, 0, 0, 0, 0, 0.073733, 0.15594, 0.23567, 0.310183, 0.375447, 0.421737]",False
2,"[ 1.81510792e+01 -2.46845722e+00 -2.84488506e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.29397631e+00  1.05745346e+02  3.59277039e+02  5.32749725e-05]",8,0.503,No collision,"[0.449713, 0.458836, 0.448525, 0.419467, 0.373263, 0.316123, 0.503398, 0.29964, 0, 0, 0, 0.482738]",False
2,"[ 30.02638817  -2.70746994 -31.53750038   0.           1.
   0.          12.          -1.           0.81790811 103.46373749
 358.68710327   9.02204752]",51,1.0,No collision,"[0.918625, 0.652983, 0.999949, 0.999824, 0.36008, 0.060814, 0, 0, 0, 0, 0, 0]",False
2,"[ 7.94142914e+01 -3.48837662e+00 -3.35607033e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59744720e+02  7.24904480e+01  3.59365692e+02  6.47154097e-03]",17,1.0,No collision,"[0, 0, 0, 0, 0.999618, 0, 0, 0.999453, 0, 0, 0, 0]",False
2,"[ 7.95520630e+01 -3.49870920e+00 -3.35810280e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.49655391e-02  7.44051208e+01  3.58839569e+02  1.09535988e-02]",14,1.0,No collision,"[0, 0, 0.999566, 0.99956, 0, 0, 0.999545, 0, 0, 0.999528, 0, 0]",False
2,"[ 7.96426239e+01 -3.51224732e+00 -3.36318741e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.47258297e-01  7.55801620e+01  3.58814270e+02  2.67247282e-02]",2,1.0,No collision,"[0.999363, 0.999506, 0, 0.999348, 0.999348, 0.999559, 0, 0.999698, 0, 0, 0.999682, 0]",False
2,"[ 7.97829971e+01 -3.51858974e+00 -3.36693459e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  2.17657998e-01  7.55648880e+01  3.58696960e+02  2.05623891e-02]",7,1.0,No collision,"[0.999671, 0.999666, 0, 0, 0, 0, 0.999638, 0, 0, 0, 0, 0]",False
