Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-34.52199554  -1.54448986 -13.36324215   0.           0.
   0.          12.          -1.           1.22732365 105.1778717
 359.13061523   6.29191482]",82,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 32.38334656  -2.74889088 -32.01855469   0.           0.
   0.          12.          -1.           0.90301108 106.01298523
 358.71218872  15.83528153]",5,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.92427750e+01 -3.64115334e+00 -3.63628998e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59397430e+02  6.33363800e+01  3.59572205e+02  7.75478695e-05]",146,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.93194275e+01 -3.64251828e+00 -3.63678970e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59379395e+02  6.40194702e+01  3.59539215e+02  1.93850165e-03]",129,0.483,No collision,"[0, 0, 0, 0, 0.48349, 0.235933, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.96278534e+01 -3.64700150e+00 -3.63841515e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59265472e+02  6.67421036e+01  3.59452118e+02  2.38586464e-02]",10,0.52,No collision,"[0, 0, 0, 0, 0, 0.173016, 0.520366, 0, 0, 0, 0.104867, 0]",False
0,"[ 8.98317795e+01 -3.65104127e+00 -3.63935890e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59302307e+02  6.86883926e+01  3.59421326e+02  5.94850579e-02]",121,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.00367737e+01 -3.65517426e+00 -3.64071655e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59391357e+02  7.03832169e+01  3.59334686e+02  1.78448183e-02]",3,0.417,No collision,"[0, 0, 0, 0, 0.417379, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.05690613e+01 -3.67057848e+00 -3.64589996e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59021515e+02  7.38401413e+01  3.59775726e+02  4.90561162e-02]",117,0.902,No collision,"[0, 0, 0, 0.902138, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.06662674e+01 -3.67743802e+00 -3.65283089e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59928741e+02  7.44445724e+01  3.58419434e+02  8.22205548e-03]",98,0.911,No collision,"[0, 0.910871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.07556152e+01 -3.68570137e+00 -3.65513649e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59756073e+02  7.50030975e+01  3.58633789e+02  1.11349001e-03]",33,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
