Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.00407791e+01 -1.40350556e+00 -1.18715649e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.51095033e+00  1.05025856e+02  3.59163391e+02  1.14924669e-03]",51,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-37.32852936  -1.47346032 -12.61316967   0.           0.
   0.          12.          -1.           1.29036713 105.16422272
 359.04760742   3.59809946]",1,1.0,d324666a-6890-4b5d-ac19-8dfdff023cb4,"[0, 0, 0.283705, 1, 0.999942, 0.999919, 0.999902, 0.999888, 0.999878, 0.999872, 0.999874, 0]",False
0,"[-4.44021568e+01 -1.29070485e+00 -1.08641167e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.44898808e+00  1.05369881e+02  3.59089142e+02  1.12848725e-03]",1,0.826,No collision,"[0, 0, 0, 0, 0, 0.27361, 0.721745, 0.82596, 0.603875, 0.073098, 0, 0]",False
0,"[-29.87120056  -1.68363631 -14.88011551   0.           0.
   0.          12.           1.           1.82746196 105.46836853
 359.150177     3.26399339]",24,1.0,No collision,"[0, 0, 0.999851, 0.999851, 0, 0, 0, 0, 0.069932, 0.166821, 0.257225, 0.343595]",False
0,"[-2.61613941e+01 -1.77373600e+00 -1.59171553e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.57786560e-01  1.05557907e+02  3.59467316e+02  4.88650619e-05]",36,0.611,No collision,"[0.424117, 0.494698, 0.55785, 0.596482, 0.611383, 0.590109, 0.538708, 0.464389, 0.375693, 0.287984, 0.197079, 0.090222]",False
0,"[-2.61613941e+01 -1.77373600e+00 -1.59171553e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.57786858e-01  1.05557907e+02  3.59467316e+02  4.89221142e-05]",27,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61613941e+01 -1.77373600e+00 -1.59171553e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.57785726e-01  1.05557907e+02  3.59467316e+02  4.90006547e-05]",22,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61613941e+01 -1.77373600e+00 -1.59171553e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.57786262e-01  1.05557907e+02  3.59467316e+02  4.88826040e-05]",26,0.611,No collision,"[0.018782, 0.115108, 0.21939, 0.320827, 0.412208, 0.494698, 0.556892, 0.596482, 0.611498, 0.596044, 0.551194, 0.483264]",False
0,"[-2.61613941e+01 -1.77373600e+00 -1.59171553e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.57785726e-01  1.05557907e+02  3.59467316e+02  4.90310286e-05]",14,0.4,No collision,"[0.400409, 0.319509, 0.217994, 0.111862, 0.015462, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61613941e+01 -1.77373600e+00 -1.59171553e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  9.57785904e-01  1.05557907e+02  3.59467316e+02  4.88774332e-05]",20,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
