Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
6,"[-4.01487122e+01 -1.40073037e+00 -1.18423548e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46691132e+00  1.04993904e+02  3.59167297e+02  8.95587045e-04
  8.50000000e-01]",25,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[-40.00664902  -1.40451241 -11.88181782   0.           0.
   0.          12.          -1.           1.32109749 105.00750732
 359.16210938   0.9488932    0.85      ]",14,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[-1.94472790e+01 -1.87070847e+00 -1.76175957e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  2.06665918e-02  1.05871109e+02  3.59727509e+02  7.79073195e+00
  8.88754728e-01]",27,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[ 30.39650726  -2.67721152 -29.81433868   0.           0.
   0.          10.           1.           0.83724099 107.2645874
 359.67446899  13.46458107   0.51408016]",10,1.0,"[0.999511, 0.999446, 0.999381, 0.999313, 0.99925, 0.999196, 0.999149, 0.999095, 0.999033, 0.998966, 0.998895, 0.998821]",False
6,"[106.56835175  -3.88163543 -50.4201355    0.           0.
   0.5         10.           1.           0.59219158 112.14904785
 359.20617676  15.36244168   0.85      ]",51,1.0,"[0.998744, 0.999675, 0.999429, 0.998542, 0.998489, 0.99844, 0.998395, 0, 0, 0, 0, 0.99822]",False
6,"[ 1.66415665e+02 -4.53986120e+00 -6.31160660e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  2.47731745e-01  9.22851334e+01  3.59956787e+02  7.76372710e+00
  8.50000000e-01]",8,0.998,"[0.99818, 0.998145, 0.998123, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[ 1.77206253e+02 -4.66191387e+00 -6.42564011e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  7.06108809e-01  9.80665512e+01  9.94915590e-02  4.37827189e-05
  8.50000000e-01]",10,0.998,"[0, 0, 0, 0, 0.998115, 0.998109, 0.998095, 0.998074, 0.998047, 0.998014, 0.997977, 0.997937]",False
6,"[194.63104248  -4.9075737  -68.33271027   0.           0.
   0.5         10.          -1.           0.76191139 105.57289124
   0.51810181   8.11888079   0.85      ]",39,0.998,"[0.997894, 0.99785, 0.997805, 0.997762, 0.99772, 0.997681, 0.997643, 0.997606, 0.997573, 0.997544, 0.997518, 0.997493]",False
6,"[ 2.37852203e+02 -5.69462681e+00 -7.92935410e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  1.22527289e+00  9.71633759e+01  1.86445415e-01  4.88612063e+00
  8.50000000e-01]",2,0.997,"[0.997465, 0.997426, 0.997378, 0.997327, 0.997272, 0.997215, 0.997156, 0.9971, 0.997047, 0.996992, 0.996937, 0.996883]",False
6,"[ 295.0072937    -6.80794191 -100.53627014    0.            0.
    0.           10.           -1.            1.22888529  113.21907043
  358.86593628   10.67052937    0.85      ]",8,0.997,"[0.996831, 0.996781, 0.996734, 0.996688, 0.996644, 0.996608, 0.996582, 0.996565, 0.996558, 0, 0, 0]",False
6,"[ 3.26190796e+02 -7.25764799e+00 -1.09901649e+02  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  7.26741493e-01  1.03031174e+02  3.58994354e+02  7.77145599e-05
  8.50000000e-01]",50,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[ 3.26190796e+02 -7.25764656e+00 -1.09901649e+02  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  7.26721644e-01  1.03031174e+02  3.58994354e+02  7.60278469e-05
  8.50000000e-01]",43,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[ 3.26190796e+02 -7.25764656e+00 -1.09901649e+02  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  7.26718962e-01  1.03031174e+02  3.58994354e+02  7.50741775e-05
  8.50000000e-01]",29,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[ 3.26190796e+02 -7.25764656e+00 -1.09901649e+02  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  7.26719260e-01  1.03031174e+02  3.58994354e+02  7.53759921e-05
  8.50000000e-01]",11,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[ 3.26190796e+02 -7.25764656e+00 -1.09901649e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  7.26718605e-01  1.03031174e+02  3.58994354e+02  7.66703893e-05
  8.50000000e-01]",38,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
7,"[-38.81890869  -1.43573546 -12.20607471   0.           0.
   0.          12.          -1.           1.4096359  105.15447235
 359.05780029   1.58153156   0.85      ]",2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
7,"[-3.67274857e+01 -1.48836815e+00 -1.27850037e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.40047109e+00  1.05259422e+02  3.59040710e+02  1.06600247e-03
  8.50000000e-01]",38,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
7,"[-3.23216324e+01 -1.60413027e+00 -1.40056219e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59823906e+00  1.05403351e+02  3.59165222e+02  4.01408879e-05
  9.76719972e-01]",21,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
