Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.85821342e+01 -1.44197679e+00 -1.22666359e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.25172794e+00  1.05099297e+02  3.59048950e+02  3.00607040e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  4.55930593e-01  1.31461008e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.58452250e+01  0.00000000e+00  1.00000000e+02
 -3.63047687e-01  8.52385854e-02  1.00000000e+00]",138,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.17405586e+01 -1.62111366e+00 -1.41502352e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59615827e+00  1.05441002e+02  3.59195496e+02  5.69034534e-05
  1.00000000e+00  1.00000000e+00  3.47896569e+01  9.99625729e+00
  1.22732521e+02  3.47896569e+01  1.90269424e+00  1.29482459e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99873626e+01  1.00000000e+02
 -3.43089877e-01 -3.00000000e+00  1.00000000e+00]",43,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.17405586e+01 -1.62111366e+00 -1.41502352e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59615779e+00  1.05441002e+02  3.59195496e+02  5.68325272e-05
  2.00000000e+00  2.00000000e+00  3.20450955e+01  1.00043500e+01
  1.00482968e+02  3.20450955e+01  1.90240366e+00  1.29482325e+00
  2.87809475e+00  6.09914833e-02  9.36989974e+00  1.63076906e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99970616e+01  1.00000000e+02
 -3.43089877e-01 -3.00000000e+00  1.00000000e+00]",35,0.221,No collision,"[0, 0, 0, 0.220716, 0.216198, 0.211539, 0.211299, 0.211292, 0.211292, 0.195765, 0, 0]",False
0,"[-3.17327023e+01 -1.62136686e+00 -1.41536980e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59618187e+00  1.05438980e+02  3.59194458e+02  5.68121867e-05
  3.00000000e+00  3.00000000e+00  7.57236728e+00  8.66154683e+00
  1.17752920e+01  3.47839099e+01  1.91082383e+00  1.29419981e+00
  2.63928531e+00  6.23353966e+00  6.96755931e+00  6.18137134e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -3.43089877e-01  8.22633719e-02  1.00000000e+00]",134,0.818,No collision,"[0.376214, 0.818009, 0.293853, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.62897825e-01 -2.08427930e+00 -2.31669502e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.11784434e+00  1.04877029e+02 -3.17397388e-03  9.76315131e+00
  5.00000000e+00  5.00000000e+00  2.32699643e+01  9.99625729e+00
  1.22732521e+02  2.32699643e+01  2.42145783e+01  1.29697461e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.53169932e-01  2.33267936e-01  1.00000000e+00]",1,1.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.999821, 0.999822, 0.999822, 0.999822, 0.999822]",False
0,"[ 5.58841133e+01 -3.15126801e+00 -3.82253571e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.03015983e+00  1.10445976e+02  3.58557373e+02  1.03959109e+01
  7.00000000e+00  6.00000000e+00  2.73594156e+01  0.00000000e+00
  1.27808366e+00  6.77801043e+01  3.13448136e+01  1.43155207e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.24979913e-01  6.76164741e-01  1.00000000e+00]",2,1.0,No collision,"[0.999571, 0.999571, 0.999587, 0.999571, 0.999729, 0.999671, 0.999607, 0.999571, 0.999571, 0.999571, 0, 0]",False
0,"[ 9.42152481e+01 -3.78339744e+00 -4.98568268e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.84018731e-01  1.05512726e+02  3.58864838e+02  8.44832689e-05
  9.00000000e+00  7.00000000e+00  1.09792780e+01  0.00000000e+00
  9.14192564e-01  1.06660819e+02  2.80201668e+01  1.29511045e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",93,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.42152557e+01 -3.78339505e+00 -4.98568268e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.83477700e-01  1.05512741e+02  3.58864838e+02  8.52389942e-05
  9.00000000e+00  7.00000000e+00  1.09792835e+01  0.00000000e+00
  9.14192564e-01  1.06660825e+02  2.80201668e+01  1.29511045e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",73,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.42152557e+01 -3.78339505e+00 -4.98568268e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.83478773e-01  1.05512741e+02  3.58864807e+02  8.52361813e-05
  1.10000000e+01  9.00000000e+00  1.09792835e+01  0.00000000e+00
  9.14192564e-01  1.06660825e+02  2.80201668e+01  1.29511045e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",69,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.42152557e+01 -3.78339481e+00 -4.98568268e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.83477521e-01  1.05512741e+02  3.58864838e+02  8.54615841e-05
  1.20000000e+01  1.00000000e+01  1.09792835e+01  0.00000000e+00
  9.14192564e-01  1.06660825e+02  2.80201668e+01  1.29511045e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",24,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
