Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.51254654  -1.49290264 -12.76324177   0.           0.
   0.          12.          -1.           1.20820582 104.38365173
 359.11132812   4.36914998]",38,0.721,No collision,"[0.151768, 0.720552, 0, 0.129365, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[  8.33443737  -2.25474763 -24.96201134   0.           0.
   0.          12.          -1.           1.58936024 106.3718338
 359.88040161   5.10610847]",91,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.38613338e+01 -2.58845949e+00 -2.95689335e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.14524412e+00  1.05444916e+02  3.58712189e+02  9.83270195e-05]",111,0.069,No collision,"[0, 0, 0, 0.068965, 0.001102, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.38613338e+01 -2.58845949e+00 -2.95689335e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.14524472e+00  1.05444916e+02  3.58712189e+02  9.82321782e-05]",35,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.38613338e+01 -2.58845949e+00 -2.95689335e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.14524424e+00  1.05444916e+02  3.58712189e+02  9.81585990e-05]",87,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.38613338e+01 -2.58845949e+00 -2.95689335e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.14524460e+00  1.05444916e+02  3.58712189e+02  9.81973664e-05]",95,0.655,No collision,"[0.338509, 0.2505, 0.127548, 0.183541, 0.373631, 0.534973, 0.626826, 0.654759, 0.630482, 0.481164, 0.416434, 0.367589]",False
0,"[ 67.77224731  -3.3121624  -31.81276703   0.           0.
   0.          12.          -1.           1.15627766  75.56274414
 359.72177124   9.51619998]",25,0.253,No collision,"[0, 0, 0, 0, 0.198637, 0.252979, 0.252973, 0.253008, 0.253031, 0.253058, 0.253088, 0.253117]",False
0,"[ 7.08336182e+01 -3.33540773e+00 -3.12959595e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59380096e+02  7.24994965e+01  3.58239502e+02  3.84793721e-04]",40,0.253,No collision,"[0.253146, 0.253175, 0.253209, 0.25324, 0.253272, 0.253304, 0.253334, 0.253367, 0.253397, 0.253426, 0.253458, 0.253488]",False
0,"[ 7.08334503e+01 -3.33590102e+00 -3.12981014e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59400452e+02  7.25265427e+01  3.58207886e+02  3.80048219e-04]",87,0.254,No collision,"[0.253519, 0.253549, 0.25358, 0.253611, 0.253644, 0.253675, 0.253706, 0.253739, 0.253769, 0.2538, 0.253829, 0.253861]",False
0,"[ 7.08333206e+01 -3.33627772e+00 -3.13002872e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59416870e+02  7.25545120e+01  3.58185059e+02  3.79875419e-04]",25,0.254,No collision,"[0.25389, 0.253916, 0.253948, 0.253978, 0.254008, 0.254039, 0.25407, 0.254099, 0.254129, 0.25416, 0.254189, 0.254219]",False
0,"[ 7.08331909e+01 -3.33664727e+00 -3.13024750e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59433044e+02  7.25824509e+01  3.58162750e+02  3.77878661e-04]",137,0.255,No collision,"[0.25425, 0.254282, 0.254313, 0.254344, 0.254377, 0.254408, 0.254438, 0.25447, 0.254501, 0.254533, 0.254564, 0.254594]",False
0,"[ 7.08330612e+01 -3.33701658e+00 -3.13046646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59449188e+02  7.26101608e+01  3.58140503e+02  3.77144526e-04]",76,0.255,No collision,"[0.254624, 0.254657, 0.254685, 0.254715, 0.254746, 0.254774, 0.254802, 0.254834, 0.254865, 0.254897, 0.254924, 0.254956]",False
0,"[ 7.08329315e+01 -3.33738375e+00 -3.13068523e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59465271e+02  7.26376419e+01  3.58118347e+02  3.77480488e-04]",44,0.255,No collision,"[0.254982, 0.255015, 0.255047, 0.255078, 0.255109, 0.255141, 0.255174, 0.255206, 0.255233, 0.255263, 0.255295, 0.255325]",False
0,"[ 7.08328018e+01 -3.33775043e+00 -3.13090420e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59481323e+02  7.26649246e+01  3.58096222e+02  3.76820647e-04]",65,0.256,No collision,"[0.255357, 0.255386, 0.255418, 0.255449, 0.25548, 0.255511, 0.255542, 0.255571, 0.255603, 0.255636, 0.255668, 0.255698]",False
0,"[ 7.08326721e+01 -3.33811665e+00 -3.13112316e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59497345e+02  7.26921005e+01  3.58074127e+02  3.75449702e-04]",75,0.256,No collision,"[0.25573, 0.25575, 0.255781, 0.25581, 0.255841, 0.255873, 0.255903, 0.255935, 0.255963, 0.255994, 0.256025, 0.256057]",True
1,"[-4.02978058e+01 -1.39666748e+00 -1.18004446e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47768199e+00  1.05016441e+02  3.59155426e+02  4.79039420e-05]",145,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-4.02978058e+01 -1.39666700e+00 -1.18004446e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.47767556e+00  1.05016441e+02  3.59155396e+02  4.75293726e-05]",51,0.569,No collision,"[0.568516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-4.02978058e+01 -1.39666700e+00 -1.18004446e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.47767603e+00  1.05016441e+02  3.59155396e+02  4.75696410e-05]",40,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-4.02978058e+01 -1.39666700e+00 -1.18004446e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.47767532e+00  1.05016441e+02  3.59155396e+02  4.75252354e-05]",81,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-4.02978058e+01 -1.39666700e+00 -1.18004446e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.47767544e+00  1.05016441e+02  3.59155396e+02  4.75860698e-05]",36,0.219,No collision,"[0, 0.093702, 0.167408, 0.201042, 0.214146, 0.218325, 0.219464, 0, 0, 0, 0, 0]",True
2,"[-4.03016968e+01 -1.39657497e+00 -1.18002300e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47784770e+00  1.05001999e+02  3.59153900e+02  5.02049543e-05]",71,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-4.03016968e+01 -1.39657497e+00 -1.18002300e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47784579e+00  1.05001999e+02  3.59153900e+02  5.00421635e-05]",101,0.039,No collision,"[0, 0.039497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-4.03016968e+01 -1.39657497e+00 -1.18002300e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47784650e+00  1.05001999e+02  3.59153900e+02  4.99750819e-05]",102,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
