Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.55860901  -1.44254148 -12.27290821   0.           0.
   0.          12.          -1.           1.31062555 105.09803772
 359.04794312   2.62916284   0.52614974   1.32248981]",84,0.811,No collision,"[0, 0.680134, 0.553657, 0.665171, 0.733102, 0.799289, 0.810404, 0.810903, 0.810933, 0.810943, 0.810953, 0.810962]",False
0,"[-3.22129135e+01 -1.60712385e+00 -1.40210295e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59664917e+00  1.05440025e+02  3.59182404e+02  5.68033009e-05
  1.41337330e+00  1.27819841e+00]",152,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.22129135e+01 -1.60712385e+00 -1.40210295e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59664834e+00  1.05440025e+02  3.59182404e+02  5.67479237e-05
  1.41310272e+00  1.27819321e+00]",90,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.22129135e+01 -1.60712385e+00 -1.40210295e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59664869e+00  1.05440025e+02  3.59182404e+02  5.67286099e-05
  1.41299888e+00  1.27819115e+00]",23,1.0,Hatchback(Clone)4404c32c-4aac-47ba-9106-4dac868a50f7,"[0, 0.04202, 0, 0.216885, 0.426091, 0.672956, 0.941359, 0.889649, 0.892285, 0.895524, 1, 0]",False
0,"[-5.21223164e+00 -1.97632384e+00 -2.18083572e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.61714864e-01  1.00371017e+02  3.59972626e+02  1.49628514e-02
  1.02066824e+01  1.33892490e+00]",61,0.926,No collision,"[0.650374, 0.889401, 0.901544, 0.925636, 0.923719, 0.679447, 0.485698, 0.352992, 0.267855, 0.167715, 0.07431, 0]",False
0,"[-3.86779046e+00 -1.99556386e+00 -2.20689335e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.80635357e-01  1.00818588e+02  6.15888648e-02  9.81048371e-01
  4.40829385e+00  1.30527474e+00]",9,0.839,No collision,"[0.433938, 0.766567, 0.838819, 0.60095, 0.672348, 0.461066, 0.52546, 0.571585, 0.787105, 0.832402, 0.757503, 0.382478]",False
0,"[ 39.17209625  -2.83134389 -32.31638718   0.           0.
   1.          12.          -1.           0.82644916  93.95041656
 358.0847168    8.59814536  11.43122645   1.44186963]",26,0.249,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.248578, 0.008761, 0]",False
0,"[100.26357269  -3.77853513 -46.30897522   0.           0.
   1.          12.          -1.           0.67514902 105.12485504
 359.7850647   11.61804921   1.7476751    1.32259699]",53,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[169.88526917  -4.5772028  -64.43016815   0.           0.
   1.          12.          -1.           0.61060619 104.60480499
 359.96530151  12.26268202   1.65593656   1.32247702]",54,0.896,No collision,"[0, 0.242891, 0.641326, 0.868684, 0.896326, 0.6294, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.47464401e+02 -5.90420914e+00 -8.47960892e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.24598110e-01  1.04748375e+02  9.07625910e-03  1.18198922e+01
  3.53318687e+00  1.31480358e+00]",139,1.0,Jeep(Clone)490e419b-6a80-4050-88d3-a25e0193b533,"[0.037891, 0.72932, 0.529502, 0, 1, 1, 0, 0, 0, 0, 0, 0]",False
0,"[284.11965942  -6.5689621  -95.09400177   0.           0.
   1.          12.           1.           0.99385452 106.4160614
 359.83270264   6.14908959   1.3423335    1.28504703]",141,0.853,No collision,"[0.613472, 0.841868, 0.696938, 0.852554, 0.804376, 0.494681, 0.409665, 0.305634, 0.244751, 0.197557, 0.136617, 0.057809]",False
0,"[ 312.00897217   -7.01706123 -101.37274933    0.            0.
    1.           12.            1.            0.59288031   98.42456055
  359.86584473    4.41471243    5.12011215    1.31724751]",25,0.733,No collision,"[0.733444, 0.594535, 0.433555, 0.447555, 0.460733, 0.465425, 0.467685, 0.472094, 0.473823, 0.473812, 0.47348, 0.472941]",False
0,"[ 3.24666504e+02 -7.19438696e+00 -9.97013016e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.03803968e+00  7.85618439e+01  3.11019123e-01  6.92354334e-01
  1.74941073e+01 -1.15308334e+00]",102,1.0,Jeep(Clone)72c47a2c-02b8-45d1-8732-9f4ce7ce1c15,"[0.290647, 0.443745, 0.489085, 0.579984, 0.711396, 1, 0.666758, 0.662717, 0.662186, 0.662129, 0.662107, 0.66208]",False
0,"[ 3.30859070e+02 -7.30006647e+00 -9.80607376e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.74426067e-01  7.14590073e+01  1.29150867e-01  1.03922629e-04
  1.34311259e+00  5.03540233e+00]",70,0.691,No collision,"[0.177766, 0.609671, 0.177727, 0.177707, 0.691305, 0.177695, 0.17765, 0.177631, 0.17761, 0.177605, 0.177607, 0.17759]",False
0,"[ 3.30859070e+02 -7.30043983e+00 -9.80553589e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.00461853e-01  7.15562973e+01  1.12123363e-01  7.10471162e-05
  1.34370898e+00  5.03565494e+00]",136,0.747,No collision,"[0.691572, 0.691718, 0.324026, 0.746505, 0.177767, 0.17776, 0.691493, 0.177734, 0.177725, 0.177693, 0.177674, 0.177657]",False
0,"[ 3.30859161e+02 -7.30050611e+00 -9.80492096e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.98896873e-01  7.16847076e+01  1.02619469e-01  4.68142167e-03
  1.34392969e+00  5.03478581e+00]",18,0.746,No collision,"[0.17801, 0.177978, 0.177981, 0.177974, 0.324242, 0.746451, 0.177927, 0.324152, 0.177881, 0.746384, 0.746446, 0.177789]",False
0,"[ 3.30859406e+02 -7.30053234e+00 -9.80433502e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.96180570e-01  7.18168182e+01  1.13681413e-01  3.59884633e-03
  1.34338325e+00  5.03052970e+00]",42,0.747,No collision,"[0.178223, 0.178183, 0.178183, 0.74665, 0.178128, 0.178085, 0.178058, 0.178044, 0.324349, 0.177993, 0.177967, 0.746561]",False
0,"[ 3.30859772e+02 -7.30055046e+00 -9.80370026e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  8.95288706e-01  7.19454422e+01  1.08306378e-01  1.36762563e-03
  1.34295987e+00  5.02701097e+00]",103,0.747,No collision,"[0.178416, 0.178401, 0.17835, 0.178311, 0.178297, 0.178267, 0.178241, 0.746701, 0.746686, 0.178208, 0.178183, 0.178158]",False
0,"[ 3.30860107e+02 -7.30064487e+00 -9.80309753e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  8.99548531e-01  7.20669632e+01  1.01298206e-01  1.52715163e-03
  1.34358888e+00  5.02683473e+00]",17,0.84,No collision,"[0.178482, 0.178451, 0.178453, 0.839529, 0.178437, 0.178422, 0.74679, 0.178375, 0.746731, 0.178321, 0.178299, 0.178296]",False
0,"[ 3.30860382e+02 -7.30075788e+00 -9.80246811e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  0.00000000e+00
  9.03377771e-01  7.21900558e+01  1.10099100e-01  1.18079899e-03
  1.34478581e+00  5.02846669e+00]",71,0.867,No collision,"[0.867054, 0.523542, 0.178585, 0.178558, 0.178543, 0.86732, 0.178538, 0.178539, 0.32513, 0.178453, 0.867296, 0.178394]",True
1,"[-36.83687592  -1.48811269 -12.90598488   0.           0.
   0.          12.          -1.           1.25715899 106.95131683
 358.91061401   4.46022688   1.75798581   1.21031522]",81,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.23069119e+00 -2.02034521e+00 -2.29760513e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.15932870e+00  1.05003494e+02  7.35699609e-02  1.23211649e+01
  1.53757686e+01  1.30224386e+00]",109,0.719,No collision,"[0, 0, 0, 0, 0, 0.048067, 0.354632, 0.719167, 0.518518, 0.347188, 0.058585, 0]",False
