Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.80888443e+01 -1.45446801e+00 -1.24015532e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.20197153e+00  1.05144333e+02  3.59048279e+02  3.74046371e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  3.89496948e-01  1.28371033e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -4.34722466e-01  2.27186166e-01  1.00000000e+00]",50,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.84417095e+01 -1.71571529e+00 -1.50867929e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.52713120e+00  1.05728638e+02  3.59304108e+02  6.52977876e-05
  1.00000000e+00  1.00000000e+00  2.20656274e+01  9.99893069e+00
  1.40997240e+01  2.20656274e+01  5.33201885e+00  1.29079958e+00
  2.74412637e+00  1.79197811e-01  9.99893216e+00  1.08561076e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99925487e+01  1.00000000e+02
 -3.98361861e-01 -3.00000000e+00  1.00000000e+00]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.69099770e+01 -1.75580096e+00 -1.55260811e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  9.37844217e-01  1.05776276e+02  3.59565918e+02  4.51551793e-05
  1.00000000e+00  1.00000000e+00  3.11173407e+01  1.00008924e+01
  1.72032448e+01  3.11173407e+01  2.93219084e+00  1.29520077e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.69749943e+01  1.00000000e+02
 -4.07617529e-06 -1.92498295e-02  1.00000000e+00]",143,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.69099751e+01 -1.75580001e+00 -1.55260839e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.37211990e-01  1.05772552e+02  3.59566132e+02  5.64824717e-05
  1.00000000e+00  1.00000000e+00  3.11173404e+01  1.00008924e+01
  1.72032448e+01  3.11173404e+01  2.93221982e+00  1.29520006e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.81512934e+01  1.00000000e+02
 -4.07617529e-06 -5.45388013e-02  1.00000000e+00]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 10.12125778  -2.30652237 -25.9208107    0.           0.
   0.5         12.           1.           1.52241504 104.77785492
 359.74743652   9.92514542   1.           1.          27.92218351
  10.00089239  17.20324481  27.92218351  23.0419031    1.30957101
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          40.74960557 100.
   2.59369192  -3.44749578   1.        ]",138,0.527,No collision,"[0.527177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 47.59685516  -2.95660686 -33.50527191   0.           0.
   0.5         12.           1.           0.88887924  86.97959137
 359.43127441   1.15766841   2.           2.          23.49558439
   9.88272346  99.38000986  58.28211897   2.47509962   1.4190634
   7.99672865   6.24123803   0.87802891   9.12018965   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           1.
   0.           0.          50.63227871   0.         100.
  14.82083967   0.53296604   1.        ]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.38116837e+01 -3.69417214e+00 -4.30539627e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.61971807e-01  1.11728546e+02  8.45451131e-02  1.08012160e+01
  3.00000000e+00  3.00000000e+00  3.63229993e+01  9.99821742e+00
  9.91345194e+01  1.03285636e+02  1.96253018e+01  1.23294886e+00
  9.22036825e+00  6.40496188e+00  3.92037379e+00  9.25161457e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.51942793e+01  1.00000000e+02
 -1.34595229e+00 -2.67525631e+00  1.00000000e+00]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.50000793e+02 -4.37587166e+00 -6.09404945e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.88915992e-01  1.06101326e+02  3.59534393e+02  9.69407460e+00
  3.00000000e+00  3.00000000e+00  3.74332904e+01  9.99634962e+00
  1.00713141e+02  1.61966448e+02  1.03078231e+01  1.32198280e+00
  9.04863472e+00  6.23285434e+00  6.02329406e-01  9.39175356e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  3.08417873e+01  0.00000000e+00  1.00000000e+02
 -1.09014272e-01  1.30439334e+00  1.00000000e+00]",40,0.849,No collision,"[0, 0, 0, 0, 0, 0.848767, 0.65398, 0.30769, 0, 0, 0, 0]",False
0,"[ 2.01898254e+02 -5.01703358e+00 -7.23804779e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  8.36937428e-01  9.61377792e+01  1.20143935e-01  1.39005595e+01
  4.00000000e+00  4.00000000e+00  4.42740945e+01  1.00028387e+01
  1.00878751e+02  1.08477961e+02  2.32556289e+01  1.28717709e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.67877798e+01  0.00000000e+00  1.00000000e+02
  1.26897520e-01  8.64117732e-01  1.00000000e+00]",40,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.69482880e+02 -6.28040981e+00 -8.87144775e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  9.97073591e-01  1.03213295e+02  1.06966235e-01  7.63149853e+00
  4.00000000e+00  4.00000000e+00  1.45829569e+01  4.99784399e+00
  1.00037805e+02  2.83779359e+02  7.86710705e+00  1.25161132e+00
  4.84904774e+00  6.22422317e+00  2.14455466e+00  4.03584851e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.93217559e+01  0.00000000e+00  1.00000000e+02
  4.07570553e-03  2.13250183e+00  1.00000000e+00]",119,0.612,No collision,"[0, 0, 0, 0.382501, 0.612489, 0.056904, 0, 0, 0, 0, 0, 0]",False
