Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.85365524e+01 -1.44311821e+00 -1.22795534e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.24744928e+00  1.05114952e+02  3.59048096e+02  3.02627342e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  2.31454621e+00  1.31178144e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.36891392e-01 -2.68761633e-01  1.00000000e+00]",60,1.0,Sedan(Clone)0ed907c6-f8a6-48e6-b990-e0745fd9428c,"[0, 0.705582, 0.769576, 1, 0.768229, 0.768259, 0.768261, 0.768263, 0.768266, 0.768269, 0.768272, 0.768275]",False
0,"[-3.25201149e+01 -1.59862208e+00 -1.39374313e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59450197e+00  1.05428200e+02  3.59132599e+02  5.45385116e-05
  1.00000000e+00  1.00000000e+00  5.55231338e+00  0.00000000e+00
  1.41770417e+01  5.55231338e+00  1.09510380e+00  1.26975480e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99917896e+01  1.00000000e+02
 -4.00993012e-01 -3.00000000e+00  1.00000000e+00]",82,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.25201149e+01 -1.59862208e+00 -1.39374313e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59450185e+00  1.05428200e+02  3.59132599e+02  5.44545104e-05
  2.00000000e+00  2.00000000e+00  5.55218667e+00  0.00000000e+00
  1.41770269e+01  2.65934063e+01  1.09488301e+00  1.26974757e+00
  5.14418595e+01  5.07978998e+00  5.15598203e+01  1.09899651e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99981746e+01  1.00000000e+02
 -4.00993012e-01 -3.00000000e+00  1.00000000e+00]",82,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.25201149e+01 -1.59862208e+00 -1.39374313e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59450269e+00  1.05428200e+02  3.59132599e+02  5.45772477e-05
  3.00000000e+00  3.00000000e+00  5.55211331e+00  1.19209290e-05
  1.41770272e+01  3.54170221e+01  1.09475161e+00  1.26974322e+00
  2.11286532e+00  3.36445580e+00  1.30445729e+00  2.89311561e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99994419e+01  1.00000000e+02
 -4.00993012e-01 -3.00000000e+00  1.00000000e+00]",152,0.952,No collision,"[0, 0.035669, 0.337704, 0.677841, 0.636126, 0.874933, 0.914782, 0.9308, 0.940864, 0.820427, 0.949448, 0.952205]",False
0,"[ 9.72513485e+00 -2.29628563e+00 -2.58214531e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.45211101e+00  1.05860130e+02  3.59819092e+02  1.22514528e+01
  3.00000000e+00  3.00000000e+00  2.76875173e+01  1.00007439e+01
  2.22870735e+01  2.76875173e+01  1.33929504e+00  1.29481635e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.96226037e+01  0.00000000e+00  1.00000000e+02
  2.25841148e-01  1.24552072e+00  1.00000000e+00]",98,0.049,No collision,"[0.048797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.61654434e+01 -3.09911489e+00 -3.49243927e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  9.64809775e-01  1.01905571e+02  3.60231400e-01  5.92333088e+00
  4.00000000e+00  4.00000000e+00  6.62108356e+01  1.00007439e+01
  2.22870735e+01  7.42049778e+01  1.62826416e+00  8.08071065e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -7.26617981e+00  5.57424766e-02  1.00000000e+00]",44,0.148,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.147705, 0.112392]",False
0,"[ 1.08550507e+02 -3.87565470e+00 -4.85866737e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.75693309e-01  1.04591850e+02  3.59847260e+02  1.03593609e+01
  5.00000000e+00  5.00000000e+00  5.78679296e+01  9.99862153e+00
  1.27763541e+01  1.18991168e+02  2.46792749e+01  1.32055244e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.28219055e-01  9.21863443e-02  1.00000000e+00]",89,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.72931274e+02 -4.61251211e+00 -6.51761932e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.67659163e-01  1.04482140e+02  1.57429844e-01  1.17417373e+01
  6.00000000e+00  6.00000000e+00  1.55317052e+02  3.14025508e-01
  1.53425552e+02  1.84863293e+02  9.51048212e+00  1.31500546e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.90257468e-01  3.40185121e-01  1.00000000e+00]",8,0.911,No collision,"[0, 0, 0.720086, 0.911078, 0.581401, 0.850168, 0.565279, 0.214546, 0, 0, 0, 0]",False
0,"[ 2.42856644e+02 -5.82894468e+00 -8.35314484e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.11965799e+00  1.04854507e+02  3.59477203e+02  1.13215108e+01
  8.00000000e+00  8.00000000e+00  1.29335718e+01  1.09608090e+01
  1.51796704e+02  1.27892114e+02  1.91117605e+01  1.31225624e+00
  1.26814341e+00  6.26272879e+00  4.60491699e-01  8.45758546e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.12906477e-01  1.41936125e-01  1.00000000e+00]",140,0.994,No collision,"[0.385271, 0.66773, 0.807854, 0.993941, 0.79294, 0.660475, 0.50087, 0.345596, 0.182106, 0, 0, 0]",False
0,"[ 3.02682770e+02 -6.88514709e+00 -9.76083603e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.74893677e-01  1.04442276e+02  2.42686287e-01  9.77851914e+00
  9.00000000e+00  9.00000000e+00  9.42698988e+00  8.79588015e+00
  1.52879666e+02  1.46933732e+02  3.82671703e+00  1.21915515e+00
  4.87348556e+00  6.39007003e+00  6.49848368e+00  8.04966605e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -7.36609341e-01  1.56461912e-01  1.00000000e+00]",126,0.923,No collision,"[0.768968, 0.896029, 0.922889, 0.640944, 0.394993, 0.089229, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.32779388e+02 -7.33229160e+00 -8.70270462e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.43588799e-01  4.85625343e+01  2.20071226e-01  3.36744032e+00
  9.00000000e+00  9.00000000e+00  1.64212318e+01  5.58623253e+00
  1.53306563e+02  3.44048820e+02  1.38735688e+01 -9.60250999e-01
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.60955714e+01  1.00000000e+02
  8.74863399e-01 -6.56689998e-01  1.00000000e+00]",108,0.31,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.183765, 0.310477, 0, 0, 0]",False
0,"[ 3.38458435e+02 -7.37750149e+00 -8.24489212e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  8.99785101e-01  5.13030930e+01  3.59245300e+02  3.04550622e-02
  9.00000000e+00  9.00000000e+00  2.05657621e+01  1.10830446e+01
  1.51611647e+02  3.48434161e+02  1.54713122e+01 -5.66209003e-01
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.42130505e+01  1.00000000e+02
  1.70404665e-01 -1.60556606e-01  1.00000000e+00]",108,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
