Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.72773247e+01 -1.47458506e+00 -1.26227160e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.35635877e+00  1.05183243e+02  3.59053680e+02  3.18723972e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.38498097e+00  1.31700004e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.31326034e-01 -1.22624744e-01  1.00000000e+00]",118,0.285,No collision,"[0, 0.026324, 0, 0, 0, 0, 0, 0, 0, 0.068884, 0.258506, 0.284836]",False
0,"[-8.24508429e-01 -2.04898763e+00 -2.29640617e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.25171530e+00  1.05903030e+02  1.10488191e-01  1.41679422e+01
  1.00000000e+00  1.00000000e+00  2.12126736e+01  1.01441663e+01
  1.86383914e+01  2.12126736e+01  6.46139747e+00  1.29278304e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.34961473e+01  0.00000000e+00  1.00000000e+02
  9.78648085e-02  1.40876580e+00  1.00000000e+00]",56,0.625,No collision,"[0.483856, 0.421541, 0.333864, 0.206451, 0.624736, 0.470801, 0.334226, 0.24548, 0.290073, 0.281503, 0.159632, 0.037039]",False
0,"[ 81.295578    -3.49964571 -38.30027771   0.           0.
   0.          12.          -1.           0.94786835 108.05506134
   0.35351104  10.48406472   2.           2.          89.93403024
  16.96998796  22.28084713  89.93403024   6.48086922   1.13877217
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          26.58765263   0.         100.
   4.85746576   1.01803923   1.        ]",6,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[136.34298706  -4.17335224 -53.36991501   0.           0.
   0.          12.           1.           0.69854099 105.60662842
   0.17047396   7.81936326   3.           3.          46.69489439
   9.99426132  12.85195149 146.47585063   5.56276636   1.29821966
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          50.           0.
   0.           0.           1.        ]",144,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.43755402e+02 -4.26447678e+00 -5.54294510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  8.34862888e-01  1.05633743e+02  5.06287329e-02  6.83027803e-05
  3.00000000e+00  3.00000000e+00  9.89506946e+01  9.99438891e+00
  1.28918859e+01  1.54130546e+02  1.32559788e+01  1.29912687e+00
  2.25030461e+01  3.25703523e+00  9.99439020e+00  6.62285554e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",114,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.43755402e+02 -4.26447678e+00 -5.54294510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  8.34863842e-01  1.05633743e+02  5.06307073e-02  6.76600058e-05
  4.00000000e+00  4.00000000e+00  9.10448073e+00  4.76837158e-05
  1.52792708e+02  1.54130546e+02  1.34337713e+00  1.29770625e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",40,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.43755402e+02 -4.26447725e+00 -5.54294510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.34863842e-01  1.05633743e+02  5.06285727e-02  6.77244969e-05
  5.00000000e+00  5.00000000e+00  9.10448133e+00  0.00000000e+00
  1.52792733e+02  1.54130546e+02  1.34337713e+00  1.29770625e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",128,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.43755402e+02 -4.26447678e+00 -5.54294510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.34865510e-01  1.05633743e+02  5.06307855e-02  6.78195598e-05
  5.00000000e+00  5.00000000e+00  9.10448458e+00  0.00000000e+00
  1.52792752e+02  1.54130546e+02  1.34337713e+00  1.29770625e+00
  1.16725460e+01  3.42000370e+00  4.76837158e-05  7.32109999e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.05671077e+01  1.00000000e+02
  6.67733950e-11 -3.95745385e-03  1.00000000e+00]",88,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.43755402e+02 -4.26447678e+00 -5.54294510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.34864676e-01  1.05633743e+02  5.06375395e-02  6.86256761e-05
  5.00000000e+00  5.00000000e+00  9.10500517e+00  4.76837158e-05
  1.52792696e+02  1.54130546e+02  1.34337713e+00  1.29770625e+00
  1.16908156e+01  3.41889986e+00  0.00000000e+00  7.31987882e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.05706282e+01  1.00000000e+02
  6.67733950e-11 -3.95826891e-03  1.00000000e+00]",56,0.003,No collision,"[0, 0, 0, 0, 0.002737, 0.002891, 0.002842, 0.002837, 0.002837, 0.002837, 0.002837, 0.002838]",False
0,"[ 1.43755402e+02 -4.26447678e+00 -5.54294510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.34862351e-01  1.05633743e+02  5.06294258e-02  6.81227474e-05
  6.00000000e+00  6.00000000e+00  5.60161441e+00  3.84438407e-04
  1.82655543e+01  1.54130546e+02  1.34337713e+00  1.29770625e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",55,0.003,No collision,"[0.002835, 0.002835, 0.002835, 0.002835, 0.002836, 0.002836, 0.002836, 0.002836, 0.002836, 0.002836, 0.002836, 0.002836]",True
1,"[-3.70932426e+01 -1.47912514e+00 -1.26556120e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.20879591e+00  1.04986603e+02  3.59070282e+02  4.54230466e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.51044896e+00  1.31060808e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -4.33375888e-01  1.94450607e-01  1.00000000e+00]",42,0.859,No collision,"[0.225024, 0.85927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.37665920e+01 -1.81185794e+00 -1.63535309e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.01112068e+00  1.05746368e+02  3.59790680e+02  3.78346318e-05
  1.00000000e+00  1.00000000e+00  1.40435982e+01  9.93306830e+00
  1.22679900e+01  1.40435982e+01  1.01754457e+01  1.29813098e+00
  5.41052287e+01  3.56383247e+00  9.93306909e+00  3.79396789e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99937982e+01  1.00000000e+02
 -3.94365721e-01 -3.00000000e+00  1.00000000e+00]",132,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.13905306e+01 -1.94030344e+00 -1.98715725e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.69254035e-01  1.05888130e+02  2.74892479e-01  9.24621533e+00
  1.00000000e+00  1.00000000e+00  2.29866996e+01  1.67179671e+01
  1.42344978e+01  2.29866996e+01  1.67128361e+00  1.29235772e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.09202419e+01  0.00000000e+00  1.00000000e+02
 -2.24862778e-02  1.87496238e+00  1.00000000e+00]",93,0.907,No collision,"[0, 0, 0.016703, 0.053768, 0.13232, 0.357305, 0.906673, 0.471622, 0.094421, 0, 0, 0]",False
