Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.83076859  -1.43539    -12.19857597   0.           0.
   0.          12.          -1.           1.35581863 105.06967163
 359.06149292   1.78155617]",6,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.57617340e+01 -1.77958012e+00 -1.58211832e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.20958614e-01  1.05604225e+02  3.59555664e+02  4.37861480e+00]",9,0.667,No collision,"[0, 0, 0.125558, 0, 0.618925, 0.666621, 0.413049, 0, 0, 0, 0, 0]",False
0,"[ 2.34474812e+01 -2.59047079e+00 -2.97957420e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.33406365e+00  1.05607079e+02  3.58695709e+02  6.25160291e+00]",11,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 41.48710251  -2.91875029 -34.75428772   0.           0.
   1.          12.           1.           0.73775077 104.87872314
 358.45779419   2.08137513]",9,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 88.25397491  -3.61624622 -39.89590836   0.           0.
   0.2         12.           1.           0.82830334 110.4147644
   0.84484684   9.26957217]",26,1.0,SUV(Clone)70bc7ad9-192e-4f66-b655-86e12979eaa0,"[0.481704, 1, 1, 0.042647, 0.042616, 0.042637, 0.042677, 0.042687, 0.042697, 0.04272, 0.043714, 0.043661]",False
0,"[ 9.48140717e+01 -3.70545721e+00 -4.27275505e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  4.40124482e-01  1.14936539e+02  4.85522021e-03  3.17430135e-03]",37,1.0,SUV(Clone)70bc7ad9-192e-4f66-b655-86e12979eaa0,"[0.003254, 0.074421, 0.000301, 0.00033, 0, 1, 0.043665, 0.043776, 0.043705, 0.043596, 0.043687, 0.043358]",False
0,"[ 9.48170547e+01 -3.70225143e+00 -4.27210960e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.20454597e-01  1.14391655e+02  1.82426274e-02  5.31389747e-03]",37,0.043,No collision,"[0.042817, 0.043238, 0.043209, 0.043244, 0.043112, 0.042619, 0.042599, 0.042613, 0.042617, 0.042609, 0.042569, 0.042578]",False
0,"[ 9.48140640e+01 -3.70257878e+00 -4.27204628e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.34397185e-01  1.14413086e+02  6.64470121e-02  7.75980003e-05]",33,0.085,No collision,"[0.042584, 0.083396, 0.044102, 0.084867, 0.042606, 0.042599, 0.044102, 0.044128, 0.042605, 0.042596, 0.083387, 0.083396]",False
0,"[ 9.48142395e+01 -3.70266843e+00 -4.27203178e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.32628596e-01  1.14437454e+02  6.52638897e-02  1.34564497e-04]",37,0.085,No collision,"[0.042614, 0.044116, 0.084833, 0.042599, 0.08487, 0.083461, 0.083391, 0.042583, 0.042606, 0.083427, 0.042598, 0.042596]",False
0,"[ 9.48143005e+01 -3.70271564e+00 -4.27198486e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.39510310e-01  1.14449783e+02  6.40948117e-02  4.77788917e-05]",9,0.085,No collision,"[0.0426, 0.083376, 0.04259, 0.084846, 0.042604, 0.083423, 0.04259, 0.084804, 0.042588, 0.042588, 0.042591, 0.083371]",True
