Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.01271400e+01 -1.40125656e+00 -1.18482561e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.51972187e+00  1.05005531e+02  3.59168396e+02  9.79694327e-04
  3.25495604e+00  1.30975062e+00]",29,by model,0.214,No collision,"[0, 0, 0.214464, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.95267982e+01 -1.41710794e+00 -1.20139828e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.43828809e+00  1.05029343e+02  3.59115112e+02  8.91513613e-04
  6.12678365e+00  1.30538459e+00]",29,by model,0.175,No collision,"[0, 0, 0.17451, 0.065313, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-30.62246895  -1.65614104 -14.46083927   0.           0.
   0.          12.          -1.           1.74562025 105.46733093
 359.24465942   3.35912794   3.68758464   1.29945802]",29,by model,0.531,No collision,"[0, 0.509347, 0.530748, 0.144062, 0.226614, 0.229305, 0.229291, 0.224974, 0.035042, 0, 0, 0]",False
0,"[-2.80343533e+01 -1.72572434e+00 -1.51878939e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.33730304e+00  1.05627975e+02  3.59374908e+02  6.54559044e-05
  1.59202827e+00  1.30019272e+00]",29,by model,0.199,No collision,"[0, 0, 0, 0.199381, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.80343513e+01 -1.72573519e+00 -1.51884642e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.33729625e+00  1.05627983e+02  3.59374573e+02  6.54076911e-05
  1.34007263e+00  1.30090301e+00]",148,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.80343513e+01 -1.72574592e+00 -1.51890345e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.33729529e+00  1.05627983e+02  3.59374207e+02  6.55673127e-05
  1.59245419e+00  1.29950290e+00]",29,by model,0.212,No collision,"[0, 0, 0, 0.211894, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.80343513e+01 -1.72575641e+00 -1.51896038e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.33728564e+00  1.05627998e+02  3.59373840e+02  6.57004484e-05
  1.59266312e+00  1.29915854e+00]",29,by model,0.045,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.045177]",False
0,"[-2.80343494e+01 -1.72576725e+00 -1.51901741e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.33728325e+00  1.05627998e+02  3.59373505e+02  6.56701181e-05
  1.59287642e+00  1.29881402e+00]",29,by model,0.201,No collision,"[0.200742, 0, 0, 0, 0, 0, 0, 0, 0, 0.158398, 0.064316, 0]",False
0,"[-2.80343494e+01 -1.72577786e+00 -1.51907444e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.33727801e+00  1.05628006e+02  3.59373138e+02  6.54094614e-05
  1.59309016e+00  1.29846927e+00]",29,by model,0.152,No collision,"[0, 0, 0, 0, 0, 0.151721, 0.12626, 0, 0, 0, 0, 0]",False
0,"[-2.80343494e+01 -1.72578883e+00 -1.51913147e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.33727503e+00  1.05628014e+02  3.59372772e+02  6.57341553e-05
  1.59330407e+00  1.29812462e+00]",29,by model,0.165,No collision,"[0, 0, 0, 0, 0, 0.013625, 0.018829, 0.019503, 0.137108, 0.165194, 0, 0]",True
1,"[-36.7637291   -1.48755968 -12.76147556   0.           0.
   0.          12.          -1.           1.24704933 105.19022369
 359.05758667   4.44755244   1.40104268   1.29859287]",29,by model,0.764,No collision,"[0, 0.549673, 0.764476, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.48847008e+01 -1.79085875e+00 -1.60835743e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.04004443e+00  1.05803490e+02  3.59633942e+02  4.80736372e-05
  9.02576841e+00  1.29357890e+00]",29,by model,0.3,No collision,"[0, 0, 0, 0.116471, 0, 0.23257, 0.299519, 0.228257, 0.084013, 0, 0, 0]",False
1,"[ -1.84644783  -2.02777052 -22.61968231   0.           0.
   0.          12.           1.           1.2670958  105.75469208
   0.10690366   9.13610433   1.89752334   1.29240744]",139,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 41.38998032  -2.87226367 -33.10916138   0.           0.
   0.          12.           1.           0.76741844  95.73300171
 358.13284302   7.22470707   6.05346571   1.42272575]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 9.22573624e+01 -3.67733979e+00 -4.36703339e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.90355802e-01  1.07103775e+02  3.70286442e-02  9.78324055e+00
  3.96706119e+01  1.30733643e+00]",41,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[170.85339355  -4.59217644 -64.72431946   0.           0.
   0.          12.           1.           0.60248256 108.60575104
   0.32535505  19.77622178   1.34485483   1.2445716 ]",29,by model,1.0,SUV(Clone)995e3f2a-eb80-4f98-b2ea-79806ad4752d,"[0.051052, 0, 0, 0, 1, 0.982808, 0.753686, 1, 0.226042, 0, 0, 0]",False
1,"[216.33039856  -5.27803135 -75.30835724   0.           0.
   0.          12.          -1.           1.11030996  99.77366638
 359.93920898   2.82271549  47.95102735   1.30639896]",29,by model,0.681,No collision,"[0, 0.382038, 0, 0.633569, 0, 0, 0, 0, 0, 0.226132, 0.470496, 0.680946]",False
