Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.02221184e+01 -1.39873242e+00 -1.18226166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48445237e+00  1.05001144e+02  3.59160034e+02  8.73520910e-04]",18,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.13581352e+01 -1.63247764e+00 -1.42561512e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.66049600e+00  1.05440483e+02  3.59210510e+02  1.05257098e-03]",117,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.13579063e+01 -1.63257718e+00 -1.42562361e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.60023963e+00  1.05440979e+02  3.59212524e+02  6.12434200e-05]",117,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.13579063e+01 -1.63257718e+00 -1.42562361e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.60023963e+00  1.05440979e+02  3.59212524e+02  6.12325028e-05]",52,randomly,0.122,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.056647, 0.121897, 0.110365, 0.101465, 0]",False
0,"[ 11.97225857  -2.35470819 -26.3922081    0.           0.
   0.          12.           1.           1.46811533 105.01141357
 359.79553223  11.69194553]",70,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 67.42327881  -3.29861593 -37.96853638   0.           0.
   0.          12.           1.           0.9025141  107.83831024
 359.9196167    9.48448075]",117,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.29784485e+02 -4.09720802e+00 -5.42152672e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.87912762e-01  1.04276581e+02  4.38112132e-02  1.12493492e+01]",35,randomly,0.725,No collision,"[0, 0.539343, 0.690287, 0.724565, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.95202225e+02 -4.91848135e+00 -7.11007233e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.13948631e-01  1.04628517e+02  3.00442018e-02  9.51919695e+00]",117,by model,0.42,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.138994, 0.253098, 0.42049]",False
0,"[ 2.65137970e+02 -6.20912933e+00 -8.94096985e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.10354340e+00  1.05069275e+02  1.11939773e-01  1.41414985e+01]",135,randomly,0.929,No collision,"[0.649595, 0.92925, 0.903995, 0.633712, 0.542915, 0.387685, 0.227215, 0, 0, 0, 0, 0]",False
0,"[345.62442017  -7.56771183 -98.88037109   0.           0.
   0.          12.          -1.           0.97607523  49.3249321
 359.4211731    5.67628027]",117,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
