Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-37.45670319  -1.47013009 -12.57202244   0.           0.
   0.          12.          -1.           1.3058126  105.14122772
 359.05331421   3.37660244]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-29.34581947  -1.69476068 -14.82255268   0.           0.
   0.          12.          -1.           1.78381717 105.58566284
 359.2175293    0.42398404]",81,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 15.19272995  -2.41636658 -27.38306046   0.           0.
   0.          12.          -1.           0.6537562  105.25569916
 359.81124878  12.50368155]",16,by model,1.0,OBSTACLE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",False
0,"[ 6.77323456e+01 -3.05048108e+00 -4.58790207e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.84923172e-01  1.04528770e+02  7.04313040e+00  5.70700270e-02]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.77469101e+01 -3.06637073e+00 -4.58505821e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.90107363e-01  1.04662453e+02  7.40306902e+00  5.23612450e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.77469101e+01 -3.06664205e+00 -4.58482895e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.90696019e-01  1.04662529e+02  7.40224838e+00  5.23031153e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.77469101e+01 -3.06691360e+00 -4.58459930e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.91278118e-01  1.04662605e+02  7.40139389e+00  5.22930148e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.77469025e+01 -3.06718540e+00 -4.58437004e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.91863823e-01  1.04662666e+02  7.40055466e+00  5.22029761e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.77469025e+01 -3.06745720e+00 -4.58414040e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.92438859e-01  1.04662743e+02  7.39972353e+00  5.22300969e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.77469025e+01 -3.06772876e+00 -4.58391075e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.93026054e-01  1.04662811e+02  7.39887762e+00  5.22181513e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-38.54518509  -1.44293535 -12.27656555   0.           0.
   0.          12.          -1.           1.22847831 105.09976959
 359.04907227   3.23239702]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.72793121e+01 -1.74489868e+00 -1.54048395e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.05506504e+00  1.05739059e+02  3.59519043e+02  6.35491030e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.72793121e+01 -1.74490905e+00 -1.54054098e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.05503166e+00  1.05739067e+02  3.59518768e+02  6.33113071e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.72793121e+01 -1.74491978e+00 -1.54059811e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.05500031e+00  1.05739067e+02  3.59518524e+02  6.33438651e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.72793102e+01 -1.74492979e+00 -1.54065514e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.05496871e+00  1.05739082e+02  3.59518250e+02  6.35471765e-05]",13,randomly,0.078,No collision,"[0, 0, 0, 0, 0, 0.078464, 0, 0, 0, 0, 0, 0]",True
2,"[-37.67247772  -1.46487296 -12.5144558    0.           0.
   0.          12.          -1.           1.19888461 105.15704346
 359.05181885   4.17069589]",48,randomly,0.125,No collision,"[0, 0, 0, 0, 0, 0, 0.12472, 0, 0, 0, 0, 0]",False
2,"[-2.36079311e+01 -1.81606317e+00 -1.64606075e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.01740098e+00  1.05918243e+02  3.59794434e+02  3.80606363e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ -5.08847618  -1.977777   -21.73757553   0.           0.
   0.          12.           1.           0.26551616 105.84593201
   0.12745036   8.64030019]",16,by model,0.596,No collision,"[0, 0, 0, 0, 0, 0, 0.327747, 0.595511, 0.545148, 0.18644, 0.063392, 0.206689]",False
2,"[ 35.42816925  -2.80121326 -32.73147202   0.           0.
   0.          12.           1.           0.92135602  98.86940765
 357.95831299   7.93582354]",16,by model,1.0,BoxTruck(Clone)41ca79a4-00d5-49f6-88f4-7c9137f9b0be,"[0.517312, 0.193627, 0, 0.160019, 1, 0, 0, 0, 0, 1, 0, 0.071545]",False
2,"[ 7.18581314e+01 -3.36738324e+00 -3.20459023e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.26757720e-01  9.51879272e+01  3.59106445e+02  6.17589678e+00]",16,by model,0.727,No collision,"[0.354791, 0.373234, 0.637775, 0.726648, 0.32204, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.63503189e+01 -3.59461641e+00 -3.45061874e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.23567653e-01  1.02651840e+02  3.58124756e+02  7.69927250e-03]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.63488464e+01 -3.59958005e+00 -3.45119705e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.57563841e-01  1.02702682e+02  3.57864441e+02  5.83503001e-04]",5,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.63487854e+01 -3.60005283e+00 -3.45140419e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.76545537e-01  1.02759048e+02  3.57832062e+02  5.85432182e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.63487396e+01 -3.60046864e+00 -3.45161362e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.93410432e-01  1.02815598e+02  3.57803131e+02  5.84881094e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.63486938e+01 -3.60087848e+00 -3.45182304e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.10032618e-01  1.02872131e+02  3.57774628e+02  5.82316507e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.65785217e+01 -3.61328149e+00 -3.45963249e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.38921690e-01  1.03426132e+02  3.57158875e+02  8.93199139e-04]",139,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.65785980e+01 -3.61279392e+00 -3.46010513e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.25735891e-01  1.03524223e+02  3.57181427e+02  7.71560068e-04]",50,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.65785294e+01 -3.61347008e+00 -3.46052856e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.54144597e-01  1.03607430e+02  3.57130920e+02  7.53076352e-04]",3,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.65784302e+01 -3.61433673e+00 -3.46094475e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.89705086e-01  1.03687729e+02  3.57069244e+02  7.46647422e-04]",46,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 8.65783310e+01 -3.61523151e+00 -3.46135941e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02630401e+00  1.03765221e+02  3.57005981e+02  7.39402032e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
3,"[-37.47898865  -1.46975398 -12.56703949   0.           0.
   0.          12.          -1.           1.21710062 105.16508484
 359.05310059   4.34939592]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[-2.36760178e+01 -1.81438351e+00 -1.64259491e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.01841664e+00  1.05801567e+02  3.59794769e+02  1.12314046e-03]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[-2.03294659e+01 -1.86103570e+00 -1.73763924e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48898840e-01  1.05832809e+02  3.59781769e+02  5.11217465e+00]",16,by model,0.277,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.008043, 0.276583, 0.236504, 0.269147, 0.111933]",False
3,"[ 25.96512413  -2.60881424 -29.26506996   0.           0.
   0.          12.           1.           0.87613678  97.64042664
 358.79904175   6.23194775]",16,by model,0.476,No collision,"[0, 0, 0, 0, 0, 0, 0.476221, 0.055358, 0, 0, 0, 0]",False
3,"[ 69.98827362  -3.33493328 -37.81601334   0.           0.
   0.          12.           1.           0.87319577 105.47779083
 359.77426147   9.4771826 ]",16,by model,0.017,No collision,"[0, 0, 0, 0, 0, 0.016605, 0, 0, 0, 0, 0, 0]",False
3,"[130.65777588  -4.10814762 -54.23419952   0.           0.
   0.          12.           1.           0.69836998 104.03213501
 359.9934082   11.25961417]",16,by model,0.545,No collision,"[0, 0, 0, 0.469809, 0.255496, 0.54536, 0.151756, 0, 0, 0, 0, 0]",False
3,"[237.00823975  -5.70388556 -81.85818481   0.           0.
   0.          12.          -1.           1.1823312  104.10305786
 359.57214355  21.53341732]",16,by model,0.683,No collision,"[0.075959, 0.336908, 0.68259, 0, 0.235402, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 340.30685425   -7.41964912 -104.05429077    0.            0.
    0.           12.           -1.            0.94937569   44.1481781
  355.70709229   10.17282639]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[346.5430603   -7.47877789 -62.01286316   0.           0.
   0.          12.          -1.           0.62332362  17.22494507
 358.66967773   4.1961386 ]",135,randomly,0.05,No collision,"[0, 0, 0.050211, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[348.7593689   -7.5132432  -55.12750626   0.           0.
   0.          12.          -1.         359.78326416  17.59532547
 358.14944458   6.11215433]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 3.59367981e+02 -7.60696840e+00 -1.97528534e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.66892901e-02  1.59200993e+01  3.56537201e+02  3.93585196e+00]",83,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[366.89697266  -7.80497694   6.95168447   0.           0.
   0.          12.           1.         359.40719604  15.08113766
 359.67160034   2.92818048]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[373.38308716  -7.91401911  31.05632401   0.           0.
   0.          12.           1.           0.52609742  14.89657784
   1.3013581    4.40075275]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[381.82354736  -7.9367795   62.77869415   0.           0.
   0.          12.          -1.         359.77532959  14.84057236
   0.47965842   5.02203974]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[397.06625366  -9.9987812  119.63747406   0.           0.
   0.          12.           1.          23.35301208  14.61942387
 356.12820435  17.77845648]",53,by model,0.811,No collision,"[0, 0, 0.168292, 0.353176, 0.48398, 0.577229, 0.645383, 0.694437, 0.732006, 0.763276, 0.788772, 0.811078]",True
4,"[-37.35430527  -1.47151899 -12.5127964    0.           0.
   0.          12.          -1.           1.22405922 104.12120819
 359.13183594   4.15211566]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
4,"[-2.64480114e+01 -1.76250052e+00 -1.53839693e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.70694780e-01  1.04975777e+02  3.59539459e+02  4.93163712e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
4,"[-2.64480114e+01 -1.76250052e+00 -1.53839693e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.70694840e-01  1.04975777e+02  3.59539459e+02  4.91799894e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
4,"[-2.64480114e+01 -1.76250052e+00 -1.53839693e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.70694959e-01  1.04975777e+02  3.59539459e+02  4.90659143e-05]",54,randomly,0.063,No collision,"[0, 0, 0, 0, 0.062905, 0, 0, 0, 0, 0, 0, 0]",False
4,"[-2.64480114e+01 -1.76250052e+00 -1.53839693e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.70694244e-01  1.04975777e+02  3.59539459e+02  4.91118073e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
5,"[-37.60083008  -1.46666408 -12.5340662    0.           0.
   0.          12.          -1.           1.28207386 105.16313171
 359.05172729   3.92589703]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
5,"[-2.77480907e+01 -1.73280191e+00 -1.52795525e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.22839379e+00  1.05745155e+02  3.59391113e+02  6.75400674e-05]",66,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
5,"[-2.77480907e+01 -1.73281312e+00 -1.52801228e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.22837520e+00  1.05745155e+02  3.59390808e+02  6.79701451e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
5,"[-2.77480888e+01 -1.73282409e+00 -1.52806931e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.22835732e+00  1.05745171e+02  3.59390472e+02  6.75920266e-05]",62,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
5,"[-2.77480888e+01 -1.73283517e+00 -1.52812634e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.22834086e+00  1.05745171e+02  3.59390137e+02  6.75939018e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
6,"[-37.89328384  -1.45936477 -12.45381546   0.           0.
   0.          12.          -1.           1.21954679 105.13253784
 359.04956055   3.99117021]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[-2.61545219e+01 -1.77115595e+00 -1.57230778e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.89182353e-01  1.05724564e+02  3.59521362e+02  4.89253909e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[-2.61545219e+01 -1.77115595e+00 -1.57230778e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.89183664e-01  1.05724564e+02  3.59521362e+02  4.88901139e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[-2.61545219e+01 -1.77115595e+00 -1.57230778e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.89183962e-01  1.05724564e+02  3.59521362e+02  4.88915665e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
6,"[-2.61545219e+01 -1.77115595e+00 -1.57230778e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.89183843e-01  1.05724564e+02  3.59521362e+02  4.88922678e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
7,"[-36.98141861  -1.48210192 -12.70234776   0.           0.
   0.          12.          -1.           1.32968199 105.17916107
 359.05581665   4.00381681]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
7,"[-2.65146732e+01 -1.76477027e+00 -1.56239223e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.27585900e-01  1.05708374e+02  3.59485809e+02  4.87593825e-05]",124,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
7,"[-2.65146732e+01 -1.76477027e+00 -1.56239223e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.27585900e-01  1.05708374e+02  3.59485809e+02  4.85887041e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
7,"[-2.65146732e+01 -1.76477027e+00 -1.56239223e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.27585900e-01  1.05708374e+02  3.59485809e+02  4.85894730e-05]",73,randomly,0.044,No collision,"[0, 0, 0, 0, 0, 0, 0.044313, 0, 0, 0, 0, 0]",False
7,"[-2.65146732e+01 -1.76477027e+00 -1.56239223e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.27585483e-01  1.05708374e+02  3.59485809e+02  4.87138670e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
8,"[-37.6744957   -1.46490836 -12.51444912   0.           0.
   0.          12.          -1.           1.18325186 105.16653442
 359.05117798   4.30879346]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[-2.53377571e+01 -1.78441441e+00 -1.59643450e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03023803e+00  1.05825462e+02  3.59570953e+02  4.85992207e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[-2.53377571e+01 -1.78441429e+00 -1.59643450e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03023779e+00  1.05825462e+02  3.59570953e+02  4.83489669e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[-2.72537518e+00 -2.00991964e+00 -2.23886166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.17780268e+00  1.05847672e+02  1.01068340e-01  9.39743621e+00]",16,by model,0.663,No collision,"[0, 0, 0, 0, 0.230067, 0.662793, 0.537757, 0.298658, 0, 0, 0, 0]",False
8,"[ 30.58433151  -2.66915178 -34.31933212   0.           0.
   0.          12.           1.           0.83892941 118.86754608
   7.16157484   7.6945797 ]",16,by model,1.0,OBSTACLE,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[ 34.26499176  -2.68842506 -35.99386597   0.           0.
   0.          12.           1.         359.02606201 112.66040039
   6.30403137   0.44107404]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[ 3.40940895e+01 -2.69082212e+00 -3.59091263e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59201416e+02  1.12527740e+02  6.51893234e+00  2.20792812e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[ 3.40940895e+01 -2.69082522e+00 -3.59091301e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59201691e+02  1.12522202e+02  6.51914215e+00  2.21271218e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[ 3.40940933e+01 -2.69082808e+00 -3.59091301e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59201996e+02  1.12516678e+02  6.51936007e+00  2.21424395e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
8,"[ 3.40940933e+01 -2.69083166e+00 -3.59091339e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59202271e+02  1.12511108e+02  6.51956749e+00  2.21730895e-04]",60,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
9,"[-37.66156769  -1.46519196 -12.51729202   0.           0.
   0.          12.          -1.           1.2099191  105.15355682
 359.05154419   4.22561053]",16,by model,0.156,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.156333, 0, 0, 0]",False
9,"[-1.99305840e+01 -1.86511207e+00 -1.75014648e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.03255379e-01  1.06007233e+02  3.59718567e+02  2.46561454e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
9,"[-1.74997482e+01 -1.87949896e+00 -1.82007980e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.60479888e-01  1.06004433e+02  3.59781555e+02  4.13045364e+00]",16,by model,0.421,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.184175, 0.228356, 0.421399, 0.257712, 0]",False
9,"[ 30.17633629  -2.68902326 -30.69646835   0.           0.
   0.          12.           1.           0.9047721  103.42234039
 358.95776367   9.11093295]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
9,"[ 84.25214386  -3.59993434 -44.9577179    0.           0.
   0.          12.           1.           0.6423257  101.98057556
 358.43551636  10.74319683]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
9,"[151.56747437  -4.37959957 -60.07949829   0.           0.
   0.          12.           1.           0.55455905 102.83571625
 359.82080078  12.13064747]",16,by model,0.264,No collision,"[0, 0, 0, 0, 0.264149, 0, 0, 0, 0, 0, 0, 0]",False
9,"[226.05004883  -5.49120092 -79.06491089   0.           0.
   0.          12.          -1.           1.15019393 104.7650528
 359.82901001  13.53455173]",16,by model,0.243,No collision,"[0, 0, 0, 0.242503, 0.110466, 0, 0, 0, 0, 0, 0, 0]",False
9,"[298.60632324  -6.84898043 -93.90518188   0.           0.
   0.          12.          -1.           1.81169701  64.40233612
 358.96099854   8.75527481]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
9,"[ 3.16652039e+02 -7.13870382e+00 -8.08300705e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59513397e+02  6.47731018e+01  8.09131503e-01  7.19604007e-04]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
9,"[ 3.16652161e+02 -7.13834620e+00 -8.08301697e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59500946e+02  6.47680359e+01  8.32565963e-01  1.19792181e-04]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
9,"[ 3.16652161e+02 -7.13834620e+00 -8.08301697e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59500946e+02  6.47643509e+01  8.32488120e-01  1.18489251e-04]",53,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
