Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-39.28092575  -1.4236002  -12.0774498    0.           0.
   0.          12.          -1.           1.3453275  105.07736206
 359.1008606    1.81503378]",27,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-18.90246964  -1.87078285 -17.77796936   0.           0.
   0.          12.          -1.           0.56228083 105.95021057
 359.71615601   1.54393296]",16,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.87027702e+01 -1.87168598e+00 -1.78355389e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.02781075e-01  1.05962662e+02  3.59718353e+02  2.19869877e-05]",18,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 16.23243523  -2.43118167 -27.73941231   0.           0.
   0.          12.           1.           0.76310146 105.401474
 359.69381714  12.58363412]",19,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 71.31082153  -3.34317827 -36.6657753    0.           0.
   0.          12.           1.           1.07500315 110.84174347
 359.83892822   3.3338058 ]",30,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 72.50045013  -3.36135054 -37.11878967   0.           0.
   0.          12.           1.           0.93739158 110.92390442
 359.74066162   0.61009906]",46,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.93231125e+01 -3.31160760e+00 -3.58959999e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.46561551e-01  1.10988106e+02  2.92243119e-02  3.83442500e-05]",22,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.92951965e+01 -3.31117725e+00 -3.58831444e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.46922219e-01  1.10992493e+02  3.36786471e-02  3.97818811e-05]",6,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.92951965e+01 -3.31117702e+00 -3.58831406e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.46920311e-01  1.10992508e+02  3.36276516e-02  3.94450625e-05]",19,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.92951965e+01 -3.31117702e+00 -3.58831406e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.46920311e-01  1.10992508e+02  3.36276516e-02  3.96412968e-05]",17,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-39.03197861  -1.43018425 -12.14452267   0.           0.
   0.          12.          -1.           1.27404881 105.07839203
 359.08248901   2.64179008]",14,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.01062927e+01 -1.67236781e+00 -1.46108150e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  1.77273774e+00  1.05565903e+02  3.59276215e+02  6.37535454e-05]",15,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.01062927e+01 -1.67237806e+00 -1.46113844e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  1.77277923e+00  1.05565918e+02  3.59275848e+02  6.36333150e-05]",15,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.01062927e+01 -1.67238820e+00 -1.46119547e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.77281463e+00  1.05565910e+02  3.59275452e+02  6.39744387e-05]",0,randomly,1.0,No collision,"[0, 0, 0, 0, 0, 0.115533, 0.637052, 0.669287, 0.999913, 0.999861, 0.999805, 0.999745]",False
1,"[  7.67952585  -2.24186969 -25.26776505   0.           0.
   0.          10.           1.           1.4254334  105.62657928
 359.8427124   11.16989942]",32,randomly,1.0,No collision,"[0.999703, 0.999667, 0.999633, 0.999603, 0.999577, 0.99955, 0.999522, 0.999492, 0.999462, 0.999431, 0.999399, 0]",False
1,"[ 52.55895996  -3.04477239 -35.12681961   0.           0.
   0.          10.           1.           0.72089422  87.9847641
 359.00598145   7.78572127]",24,randomly,0.999,No collision,"[0, 0, 0, 0.999229, 0.99919, 0.999151, 0.999111, 0.99907, 0.999031, 0.999002, 0.999, 0.999]",False
1,"[ 9.36476898e+01 -3.68884563e+00 -4.23704262e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  8.69031072e-01  1.07223167e+02  5.65542281e-02  1.08551238e+00]",6,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 9.37656479e+01 -3.69013023e+00 -4.24067230e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.35602355e-01  1.07211082e+02  4.73357029e-02  3.84462529e-05]",20,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 9.37656479e+01 -3.69013023e+00 -4.24067230e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.35602355e-01  1.07211082e+02  4.73357029e-02  3.85703298e-05]",22,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 9.37656479e+01 -3.69013023e+00 -4.24067230e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.35602593e-01  1.07211082e+02  4.73360494e-02  3.90130231e-05]",6,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-37.89131165  -1.45939875 -12.45397663   0.           0.
   0.          12.          -1.           1.2408402  105.12909698
 359.05029297   3.82439633]",39,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-1.79629841e+01 -1.87586582e+00 -1.80417595e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.28230381e-01  1.05782143e+02  3.59729370e+02  3.64642388e-04]",24,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 15.58590221  -2.42224932 -27.53672028   0.           0.
   0.          12.          -1.           0.72499263 105.45543671
 359.78448486  12.31040711]",16,randomly,0.754,No collision,"[0.367985, 0.653516, 0.753991, 0.026712, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 66.41227722  -3.31712508 -40.29252625   0.           0.
   0.          12.           1.           1.01388001 109.10096741
 358.69308472   9.11208624]",2,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
