Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.02144318e+01 -1.39892864e+00 -1.18245220e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.49490011e+00  1.05011559e+02  3.59160706e+02  9.12570231e-04]",8,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.02146111e+01 -1.39894700e+00 -1.18253098e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47133303e+00  1.05011780e+02  3.59160950e+02  4.99478059e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.98836098e+01 -1.40771782e+00 -1.19170780e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.45372713e+00  1.05031288e+02  3.59145416e+02  4.95880736e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.76776295e+01 -1.88103962e+00 -1.81250916e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.24221385e-01  1.05801308e+02  3.59729065e+02  1.00209883e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 62.14471054  -3.21536016 -37.71269989   0.           0.
   0.2         12.           1.           1.12953305 102.99809265
   0.23812884  13.93310485]",3,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.25525826e+02 -4.04661369e+00 -5.34978905e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.44396305e-01  1.04012978e+02  9.32265669e-02  1.00302155e+01]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.69061691e+02 -4.56755447e+00 -6.44281464e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.22636557e-01  1.04343071e+02  3.59888580e+02  5.04011195e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.04057434e+02 -5.05254889e+00 -7.34461060e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.48450029e-01  1.04547211e+02  1.76016197e-01  7.31552185e+00]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.61705048e+02 -6.14649391e+00 -8.85466919e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.93480921e-01  1.04982544e+02  9.99230146e-02  1.11649404e+01]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.25687378e+02 -7.21403694e+00 -1.05741013e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.44040775e-01  1.02747925e+02  3.59865906e+02  9.97677382e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46622009e+02 -7.55870056e+00 -9.71206894e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.57577271e+02  4.07346916e+00  3.22268867e+00  3.66711485e+00]",29,by model,1.0,OBSTACLE,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46330597e+02 -7.37362194e+00 -9.07831039e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.59010040e+02  3.58343384e+02  1.66791077e+01  1.66660515e-03]",48,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46325653e+02 -7.35901356e+00 -9.07846527e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.59327789e+02  3.58290436e+02  1.72688408e+01  4.83496602e-02]",48,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46317139e+02 -7.35874987e+00 -9.07854462e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.59421387e+02  3.58218445e+02  1.72676029e+01  5.35253122e-02]",48,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46309235e+02 -7.36918116e+00 -9.07854843e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.59310852e+02  3.58125092e+02  1.68619213e+01  3.36142493e-02]",49,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.33665085  -1.47330892 -12.60408401   0.           0.
   0.          12.          -1.           1.19191718 105.15229034
 359.05599976   4.5112873 ]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.14998665e+01 -1.84469867e+00 -1.70354633e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.33980012e-01  1.05809685e+02  3.59742767e+02  2.62809595e+00]",36,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.55354691e+01 -2.80061030e+00 -3.26372147e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.12027276e+00  1.02558975e+02  3.58326538e+02  1.14848220e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.25798035e+01 -3.54112577e+00 -4.27866478e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  8.62707555e-01  1.08322502e+02  3.59627350e+02  8.44518705e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.38153259e+02 -4.20556688e+00 -5.69083443e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  5.72856903e-01  1.03629929e+02  3.59861206e+02  1.02896962e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 2.01536865e+02 -5.01219130e+00 -7.28820648e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  8.53850722e-01  1.04488815e+02  1.12801112e-01  1.15034398e+01]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 2.68188782e+02 -6.26439285e+00 -9.03649216e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.02958190e+00  1.05052322e+02  8.82005543e-02  1.16554166e+01]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.29053986e+02 -7.26386023e+00 -1.06129814e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.67989802e-01  9.37578201e+01  3.58945740e+02  7.42064609e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.38921875e+02 -7.42929029e+00 -9.80237198e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.32948065e-01  2.88531914e+01  3.59228058e+02  1.44618670e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.45052032e+02 -7.48121834e+00 -7.10190125e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.38202429e-01  1.58589325e+01  3.58504425e+02  6.26179456e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.49140472e+02 -7.55455732e+00 -5.83075981e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.93341866e-01  1.86272392e+01  3.57811615e+02  1.58815330e-04]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.49140472e+02 -7.55455828e+00 -5.83075981e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.93292394e-01  1.86262226e+01  3.57811615e+02  1.58698129e-04]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.49140472e+02 -7.55455780e+00 -5.83075981e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.93245292e-01  1.86252079e+01  3.57811584e+02  1.58233046e-04]",42,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.49140472e+02 -7.55455828e+00 -5.83075981e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.93218678e-01  1.86241856e+01  3.57811615e+02  1.58763619e-04]",9,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.49140472e+02 -7.55455780e+00 -5.83075981e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.93184108e-01  1.86231709e+01  3.57811615e+02  1.58915690e-04]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-38.2257309   -1.45295906 -12.50038242   0.           0.
   0.          12.          -1.           1.25077271 107.19221497
 358.9418335    3.52808972]",37,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-1.46649294e+01 -1.90683568e+00 -1.95185165e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.93207639e-01  1.05545769e+02  2.24583759e-03  9.48422982e+00]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 61.43899536  -3.18561745 -34.81933975   0.           0.
   0.          12.          -1.           1.06839013  90.46421814
   0.45073006   8.77803433]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[114.43595886  -3.93283844 -48.44459915   0.           0.
   0.          12.           1.           0.55083972 106.11872864
 359.96026611  10.18716669]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.65856445e+02 -4.53414726e+00 -6.28460922e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  4.50698793e-01  1.05215004e+02  3.59710358e+02  8.68620187e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.23488892e+02 -5.43537521e+00 -7.83210602e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.20580399e+00  1.04842644e+02  3.59849823e+02  1.12536443e+01]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.79660950e+02 -6.47825432e+00 -9.33855209e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.11725056e+00  1.05480217e+02  5.78514487e-02  9.05899235e+00]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.28628448e+02 -7.25404644e+00 -1.05236565e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.01923764e+00  9.07583466e+01  3.59717651e+02  5.27745614e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.37199371e+02 -7.38141203e+00 -1.01724411e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.14964259e-01  5.38428459e+01  3.59700317e+02  3.42961035e-02]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.40176270e+02 -7.40696573e+00 -7.68312912e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.59380463e+02  3.32983948e+02  3.58344757e+02  8.69181027e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.36066376e+02 -7.37622595e+00 -6.94867477e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.56808868e+02  3.30181366e+02  3.58973938e+02  6.27430828e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.36066376e+02 -7.37622833e+00 -6.94867477e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.56808899e+02  3.30185333e+02  3.58974152e+02  6.27456550e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.36066406e+02 -7.37622833e+00 -6.94867477e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.56808899e+02  3.30189301e+02  3.58974182e+02  6.25752576e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.36066406e+02 -7.37622976e+00 -6.94867477e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.56808899e+02  3.30193268e+02  3.58974304e+02  6.53293437e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.36066406e+02 -7.37623167e+00 -6.94867401e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.56808899e+02  3.30197235e+02  3.58974426e+02  6.22944542e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
3,"[-37.64556122  -1.46566606 -12.53637028   0.           0.
   0.          12.          -1.           1.3224951  105.34815216
 359.03961182   3.47685373]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[-2.89803429e+01 -1.70352030e+00 -1.49736509e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.70609140e+00  1.05813774e+02  3.59232513e+02  1.48617635e-03]",24,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[-2.89806156e+01 -1.70354891e+00 -1.49752779e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.70040524e+00  1.05814201e+02  3.59233063e+02  5.92814165e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[-2.89806156e+01 -1.70355844e+00 -1.49758482e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.70041192e+00  1.05814201e+02  3.59232727e+02  5.91945537e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 2.25865221e+00 -2.11825514e+00 -2.37980881e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.03892565e+00  1.05761398e+02  1.89648953e-03  8.74250900e+00]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 3.96699791e+01 -2.84679055e+00 -3.28625031e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  9.17723894e-01  1.04000130e+02  3.58441345e+02  8.87547271e-05]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 7.69825668e+01 -3.43339729e+00 -3.89351616e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.81303751e-01  1.20595108e+02  3.59676239e+02  1.04745747e+01]",18,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 1.41059296e+02 -4.23918676e+00 -5.75503273e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.52180219e-01  1.06278557e+02  3.59975525e+02  9.92877249e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 1.92370392e+02 -4.87528896e+00 -7.01805878e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.90629208e-01  1.05068329e+02  4.22204062e-02  9.37912403e+00]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
