Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[150.38897705  35.49644089  64.17331696   0.           0.
   0.          12.           1.         359.9269104   52.78394699
 359.93609619   6.23089003]",0,by model,0.659,No collision,"[0, 0, 0.353239, 0.63783, 0.658585, 0.431055, 0.152624, 0, 0, 0, 0, 0]",False
0,"[1.89777496e+02 3.56865578e+01 1.02017731e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59826111e+02 4.90369720e+01 6.66259751e-02 1.06706544e+01]",0,by model,0.78,No collision,"[0.171498, 0.50236, 0.780224, 0.731862, 0.443275, 0.126139, 0, 0, 0, 0, 0, 0]",False
0,"[2.37695496e+02 3.56360550e+01 1.42953918e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 1.13111669e-02 4.96717377e+01 5.10715472e-04 8.48759753e+00]",0,by model,0.551,No collision,"[0, 0, 0.000371, 0.246551, 0.462805, 0.550993, 0.403419, 0.159746, 0, 0, 0, 0]",False
0,"[ 2.53357513e+02  3.57233429e+01  1.56224136e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693573e+02  4.98538704e+01  4.34650341e-03  1.34362087e-04]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53357513e+02  3.57233429e+01  1.56224136e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693451e+02  4.98538742e+01  4.30797692e-03  1.15449693e-04]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53357513e+02  3.57233429e+01  1.56224136e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693451e+02  4.98538742e+01  4.32477193e-03  9.60309268e-05]",33,by model,0.221,No collision,"[0, 0, 0, 0, 0.205801, 0.220594, 0.218057, 0.199603, 0.163483, 0.11724, 0.061456, 0]",False
0,"[ 2.53357513e+02  3.57233429e+01  1.56224136e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693451e+02  4.98538742e+01  4.33507096e-03  1.08303035e-04]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[2.63713684e+02 3.57820702e+01 1.64922714e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59889252e+02 5.00251846e+01 9.37228440e-04 7.63480605e+00]",50,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[2.63713684e+02 3.57820702e+01 1.64922714e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59889252e+02 5.00251846e+01 9.37228440e-04 7.63480605e+00]",50,by model,1.0,BoxTruck(Clone)d4cac736-f5bf-4c69-9ceb-43a1ea040877,"[0.701614, 1, 0.269103, 0.245814, 0.236427, 0.23902, 0.239049, 0.239586, 0.241189, 0.241495, 0.241835, 0.241863]",False
0,"[2.69828522e+02 3.57343292e+01 1.70118240e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 5.71310878e-01 4.36306877e+01 3.28623712e-01 1.28190219e-02]",0,by model,0.426,No collision,"[0.242645, 0.242569, 0.241531, 0.426174, 0.241886, 0.240786, 0.240623, 0.240917, 0.241359, 0.241773, 0.244231, 0.244895]",False
0,"[ 2.69890869e+02  3.57322655e+01  1.70106430e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.02785492e-01  4.26036568e+01  4.90327328e-01  1.25867907e-02]",0,by model,0.43,No collision,"[0.242545, 0.428232, 0.245202, 0.24297, 0.429792, 0.244363, 0.242867, 0.429884, 0.24679, 0.24503, 0.247225, 0.245157]",False
0,"[2.69950714e+02 3.57302513e+01 1.70086365e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 1.07935178e+00 4.14860077e+01 5.51638603e-01 1.40421184e-02]",34,randomly,1.0,BoxTruck(Clone)d4cac736-f5bf-4c69-9ceb-43a1ea040877,"[0.244356, 0.245005, 0.247192, 0.586674, 1, 0.191522, 0.163686, 0.157822, 1, 0.171872, 0.312223, 0.331463]",False
0,"[ 2.68613586e+02  3.57434807e+01  1.68307037e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.16511810e-01  3.91454582e+01  3.59893188e+02  3.46376678e-01]",20,by model,1.0,BoxTruck(Clone)d4cac736-f5bf-4c69-9ceb-43a1ea040877,"[0.402536, 0.479411, 0.541236, 0.532122, 0.784543, 0.770749, 0.567311, 1, 0, 0.586547, 0.955174, 0.909923]",False
0,"[ 2.83720123e+02  3.54697037e+01  1.82731613e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.93143463e-01  4.92198982e+01  3.09172384e-02  7.25702011e+00]",0,by model,0.691,No collision,"[0.533078, 0, 0.295171, 0.621329, 0.690856, 0.412541, 0.036345, 0, 0, 0, 0, 0]",False
0,"[314.23989868  35.31336594 210.55357361   0.           0.
   0.          12.           1.           1.45046854  47.211483
 359.96844482   4.32293938]",20,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[3.23817963e+02 3.49678917e+01 2.19201309e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 7.23653138e-01 4.84036522e+01 9.25097428e-03 4.28804301e+00]",0,by model,0.667,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.162211, 0.269151, 0.393974, 0.558501, 0.666544]",False
0,"[3.33704132e+02 3.49369125e+01 2.27850815e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 9.69214141e-02 4.88599167e+01 8.58243729e-05 1.22560112e-03]",13,randomly,1.0,f2525238-4b47-433c-9351-f4b0a8f96ffb,"[1, 0.757715, 0.761432, 1, 0.757422, 0.759079, 1, 0.624858, 1, 1, 0.755744, 0.767314]",False
0,"[328.02957153  34.95814896 225.85952759   0.           0.
   0.          14.          -1.           1.52208543  38.52138519
   8.47026539   0.33042317]",30,randomly,1.0,f2525238-4b47-433c-9351-f4b0a8f96ffb,"[0.668243, 0.481213, 1, 0.414284, 0.367459, 0.308545, 0.234654, 0.147276, 0.067286, 0, 0, 0]",False
