Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.82996407e+01 -1.44866228e+00 -1.23435202e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.54821360e+00  1.05111252e+02  3.59049622e+02  2.30249912e-03]",27,randomly,0.321,No collision,"[0.321442, 0, 0.056406, 0, 0, 0.057909, 0.191416, 0.234675, 0.226987, 0.051195, 0, 0]",False
0,"[-2.86558514e+01 -1.70969355e+00 -1.50107288e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.60344493e+00  1.05543983e+02  3.59293884e+02  6.20384756e-05]",41,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.86558437e+01 -1.70969653e+00 -1.50112991e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.60187113e+00  1.05544014e+02  3.59293793e+02  6.32956329e-05]",38,randomly,0.3,No collision,"[0, 0.035074, 0.300492, 0.225412, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.86558418e+01 -1.70970702e+00 -1.50118694e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.60185862e+00  1.05544022e+02  3.59293488e+02  6.31253356e-05]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.86558418e+01 -1.70971727e+00 -1.50124397e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.60184538e+00  1.05544022e+02  3.59293152e+02  6.35247156e-05]",39,by model,0.35,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.256276, 0.350073, 0.3169, 0.218114, 0]",False
0,"[ 16.92538071  -2.44068837 -27.69244003   0.           0.
   0.          12.           1.           1.08597517 101.91782379
 359.14834595  12.21261516]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 93.35973358  -3.69407034 -41.11453247   0.           0.
   0.          12.          -1.           0.70676237 108.16086578
   1.06924188  13.50513832]",14,by model,1.0,SchoolBus(Clone)6c8c5c71-efd0-4d4a-ada1-f16fccee8151,"[0.416148, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",False
0,"[ 1.02509308e+02 -3.79601097e+00 -4.41254387e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.46508336e-01  1.07305824e+02  4.36905682e-01  4.41307917e-04]",7,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02510521e+02 -3.79603648e+00 -4.41224327e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.48852348e-01  1.07321396e+02  4.46372390e-01  6.48642864e-04]",7,by model,1.0,No collision,"[0, 0, 0, 0.999929, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02511429e+02 -3.79617286e+00 -4.41198387e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.56141579e-01  1.07312935e+02  4.34173852e-01  5.44394161e-04]",7,by model,1.0,No collision,"[0, 0, 0, 0, 0, 0.999929, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02512749e+02 -3.79614902e+00 -4.41166992e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.49359167e-01  1.07307060e+02  4.44653571e-01  4.24024438e-04]",7,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02514145e+02 -3.79618764e+00 -4.41136246e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.56762958e-01  1.07322998e+02  4.48039860e-01  5.09233148e-04]",7,by model,1.0,No collision,"[0, 0.999929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02515648e+02 -3.79621840e+00 -4.41102448e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.47640347e-01  1.07334328e+02  4.44824904e-01  9.76154668e-04]",44,randomly,1.0,No collision,"[0.999929, 0, 0, 0, 0, 0.999929, 0, 0.291287, 0.291315, 0.29126, 0.291231, 0.291186]",False
0,"[ 1.02516472e+02 -3.79607272e+00 -4.41070328e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.77582622e-01  1.07371368e+02  4.67812210e-01  9.68014361e-04]",7,by model,0.291,No collision,"[0.291089, 0.291034, 0.290985, 0.290967, 0.290897, 0.290825, 0.290778, 0.290751, 0.290703, 0.290673, 0.290639, 0.290627]",False
