Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.36558533  -1.44748557 -12.32588196   0.           0.
   0.          12.          -1.           1.22488725 105.12243652
 359.04669189   3.32411021]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.29614697e+01 -1.83005702e+00 -1.66186848e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.40721512e-01  1.05639671e+02  3.59795990e+02  4.56328257e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.62492180e+01 -3.10488176e+00 -3.55726547e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.67052972e-01  8.97369156e+01  3.58935181e+02  1.64909961e+01]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[134.07002258  -3.98701286 -62.78955078   0.2          0.
   0.2         12.           1.           1.54961002 103.40283203
   5.95656061   6.79232127]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[148.76968384  -4.16049099 -66.17717743   0.2          0.
   0.2         12.           1.           0.55152285 102.24201202
   9.25027943   2.18416739]",1,by model,1.0,OBSTACLE,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.53783157e+02 -4.32987928e+00 -6.70857086e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  8.89014304e-01  1.03385864e+02  1.36920471e+01  3.54773999e-04]",3,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.53783188e+02 -4.32970285e+00 -6.70855560e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.88538182e-01  1.03386909e+02  1.36665163e+01  3.31031071e-04]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.53783188e+02 -4.32970238e+00 -6.70855560e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.88533533e-01  1.03386902e+02  1.36664944e+01  3.32869375e-04]",14,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.53783188e+02 -4.32970238e+00 -6.70855560e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.88532639e-01  1.03386902e+02  1.36664925e+01  3.32980629e-04]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.53783188e+02 -4.32970238e+00 -6.70855560e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.88533056e-01  1.03386902e+02  1.36664906e+01  3.33042960e-04]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-36.99094391  -1.48196983 -12.70044804   0.           0.
   0.          12.          -1.           1.24592042 105.19544983
 359.0557251    4.65671741]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-12.56465054  -1.92730558 -19.60982895   0.2          0.
   0.2         12.           1.           0.30903161 105.95563507
   0.27624783   6.62949122]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 5.39956512e+01 -3.05958724e+00 -3.42039604e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.18861556e+00  8.14749756e+01  3.59216736e+02  9.10946384e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 91.78781128  -3.6672349  -41.45471573   0.2          0.
   0.2         12.           1.           0.75366086 106.89403534
   0.41204968   7.44103322]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.38607117e+02 -4.20141459e+00 -5.50779419e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.15826428e-01  1.05845024e+02  3.59916931e+02  8.84744540e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.93122269e+02 -4.88618135e+00 -7.00955734e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  8.34169209e-01  1.05091736e+02  4.25300114e-02  1.02809625e+01]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 2.56863068e+02 -6.05901957e+00 -8.71594086e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.81195748e-01  1.04952637e+02  3.45748439e-02  1.15115414e+01]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
