Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[1.46095993e+02 3.54938698e+01 6.09702225e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59785583e+02 5.32604446e+01 3.59987946e+02 3.10400821e+00
 1.41186873e+00 5.35366374e+00 1.00000000e+05 1.00000000e+03
 1.00000000e+03 1.00000000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.59686259e+01 0.00000000e+00 1.00000000e+02
 1.15331827e+00 3.01649182e+00 1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.75849335e+02  3.55774460e+01  8.92536392e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59519623e+02  4.49587364e+01  1.50195494e-01  9.18095472e+00
  1.71806654e+00  5.49925354e+00  7.00263740e+01  1.39300488e+01
  1.16702858e+01  7.00263740e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.96221616e+01  0.00000000e+00  1.00000000e+02
 -2.61251475e+00  1.26725730e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.23427048e+02  3.56757774e+01  1.30772217e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.02745259e-01  4.97617264e+01  5.72504997e-02  1.02034264e+01
  1.65387783e+00  5.41519310e+00  9.75484849e+01  1.39999889e+01
  9.98467365e+01  9.75484849e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.23775977e+01  1.00000000e+02
  9.10267466e-01 -5.43388129e-01  1.00000000e+00]",40,by model,0.024,No collision,"[0, 0, 0, 0, 0, 0.02417, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.51423309e+02  3.57094231e+01  1.54464157e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59736969e+02  4.98409538e+01  5.49314357e-03  2.57742485e+00
  1.35024846e+00  5.41327955e+00  5.13438700e+01  9.76267869e+00
  1.00637856e+02  5.13438700e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.56211766e+01  1.00000000e+02
 -1.07440877e-01 -1.46099683e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53162033e+02  3.57215538e+01  1.55929794e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693451e+02  4.98597946e+01  4.57143597e-03  1.38117696e-04
  1.35051346e+00  5.41295141e+00  3.06719956e+01  1.09120871e+01
  1.52466641e+02  1.32837558e+02  0.00000000e+00  0.00000000e+00
  3.83796243e+01  4.20836339e+00  1.09120885e+01  7.27888681e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99805484e+01  1.00000000e+02
 -7.45714598e-02 -3.00000000e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53162033e+02  3.57215576e+01  1.55929794e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693451e+02  4.98597946e+01  4.58953902e-03  7.96713889e-05
  1.35051346e+00  5.41295141e+00  3.00996905e+01  8.00149825e+00
  1.53385285e+02  2.99468104e+02  0.00000000e+00  0.00000000e+00
  1.59401288e+00  6.38205408e+00  7.30752634e-01  1.62578296e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99887796e+01  1.00000000e+02
 -7.45714598e-02 -3.00000000e+00  1.00000000e+00]",45,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53162033e+02  3.57215576e+01  1.55929794e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693451e+02  4.98597946e+01  4.57032910e-03  1.57005840e-04
  1.35051346e+00  5.41295141e+00  9.18366113e+01  1.39971937e+01
  1.52914889e+02  2.99468104e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99778883e+01  1.00000000e+02
 -7.45714598e-02 -3.00000000e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.64161774e+02  3.57823715e+01  1.65191452e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59434706e-01  4.98905487e+01 -1.64045239e-04  4.84141756e+00
  1.34765916e+00  5.41244185e+00  1.69679585e+01  7.93620581e+00
  1.53250410e+02  3.13608094e+02  0.00000000e+00  0.00000000e+00
  1.66048957e+00  6.25353598e+00  2.12642266e+00  1.51781222e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  7.18942126e+01  0.00000000e+00  1.00000000e+02
 -2.65250068e-02  1.32766588e+00  1.00000000e+00]",40,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 2.64161774e+02  3.57823715e+01  1.65191452e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59434706e-01  4.98905487e+01 -1.64045239e-04  4.84141756e+00
  1.34765916e+00  5.41244185e+00  1.69679585e+01  7.93620581e+00
  1.53250410e+02  3.13608094e+02  0.00000000e+00  0.00000000e+00
  1.66048957e+00  6.25353598e+00  2.12642266e+00  1.51781222e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  8.60537251e+01  0.00000000e+00  1.00000000e+02
 -2.65249976e-02  4.05072663e+00  1.00000000e+00]",30,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.03114166e+02  3.54159584e+01  1.99727737e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.75764626e-02  4.63875732e+01  3.59985352e+02  8.41529041e+00
  1.34829400e+00  5.47363354e+00  5.18640461e+01  1.19114674e+01
  1.52190503e+02  7.59035490e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.70450667e+01  1.00000000e+02
  1.80726030e-01 -2.16145838e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
