Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[1.50421539e+02 3.54964333e+01 6.40581512e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59920288e+02 5.51179657e+01 3.59870148e+02 6.27543602e+00
 1.34913407e+00 5.32179043e+00 1.00000000e+05 1.00000000e+03
 1.00000000e+03 1.00000000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.34865964e+01 0.00000000e+00 1.00000000e+02
 2.71686147e+01 2.44564783e+00 1.00000000e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[187.41439819  35.67908859 100.77340698   0.           0.
   0.          12.           1.         359.75979614  52.24139023
   0.85521919   9.88721591   1.35011564   5.36751542  18.21549838
  14.00065478  18.03049684  18.21549838   0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  10.44807604   0.62407804   1.        ]",38,by model,0.478,No collision,"[0.280173, 0, 0, 0.149454, 0.393783, 0.478208, 0, 0, 0, 0, 0.021209, 0.227148]",False
0,"[ 2.33286057e+02  3.56369514e+01  1.40014481e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.22000590e-01  5.07172279e+01  4.29961473e-01  8.24351454e+00
  1.34790065e+00  5.39604759e+00  1.21111189e+01  1.39980582e+01
  1.81675950e+01  2.43713486e+01  0.00000000e+00  0.00000000e+00
  5.32137517e+01  8.06581976e+00  5.26556977e+01  1.11873557e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.11899460e+01  1.00000000e+02
  9.55364003e+00 -1.37418408e+00  1.00000000e+00]",32,by model,0.955,No collision,"[0.469318, 0.854541, 0.955379, 0.837984, 0.643988, 0.607658, 0.621691, 0.655224, 0.700391, 0.752116, 0.808437, 0.842391]",False
0,"[ 2.52308899e+02  3.57178116e+01  1.55856705e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59742767e+02  5.05617676e+01  6.11207972e-04  1.34025538e+00
  1.35021162e+00  5.40071144e+00  4.16281092e+00  0.00000000e+00
  1.84259344e+01  1.68455823e+02  0.00000000e+00  0.00000000e+00
  1.34646884e+01  4.62967708e+00  1.22759442e+01  4.18110757e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.93071568e+01  1.00000000e+02
 -8.20210473e-02 -8.41683976e-01  1.00000000e+00]",39,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 2.52308899e+02  3.57178116e+01  1.55856705e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59742767e+02  5.05617676e+01  6.11207972e-04  1.34025538e+00
  1.35021162e+00  5.40071144e+00  4.16281092e+00  0.00000000e+00
  1.84259344e+01  1.68455823e+02  0.00000000e+00  0.00000000e+00
  1.34646884e+01  4.62967708e+00  1.22759442e+01  4.18110757e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.89317996e+01  1.00000000e+02
 -8.20210473e-02 -8.05907975e-01  1.00000000e+00]",9,randomly,0.859,No collision,"[0.859281, 0.859183, 0.859191, 0.859186, 0.859166, 0.76275, 0.591155, 0.468345, 0.403268, 0.403531, 0.227515, 0.431619]",False
0,"[ 2.52891388e+02  3.57217560e+01  1.56335556e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59626648e+02  5.05879517e+01  3.79443751e-04  5.79938948e-01
  1.35091123e+00  5.40025631e+00  3.79359881e+00  0.00000000e+00
  1.84259157e+01  2.16279637e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.13991842e+01  1.00000000e+02
 -7.09978278e-02 -3.00000000e+00  1.00000000e+00]",8,randomly,0.429,No collision,"[0.244353, 0.244367, 0.244367, 0.429019, 0.244367, 0.244367, 0.429019, 0.244367, 0.244367, 0.244367, 0.244367, 0.244367]",False
0,"[ 2.52920364e+02  3.57220078e+01  1.56359375e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59693420e+02  5.05847244e+01  3.07349546e-04  1.12540655e-04
  1.35050236e+00  5.40031499e+00  3.77823493e+00  0.00000000e+00
  1.84258663e+01  3.77823493e+00  0.00000000e+00  0.00000000e+00
  4.84988646e+01  5.25676718e+00  0.00000000e+00  1.69965213e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99841505e+01  1.00000000e+02
 -9.09257352e-02 -3.00000000e+00  1.00000000e+00]",38,by model,0.596,No collision,"[0.595514, 0.577711, 0.510145, 0.470132, 0.259843, 0.453628, 0.452612, 0.259843, 0.452174, 0.259843, 0.452168, 0.259843]",False
0,"[ 2.53076477e+02  3.57230759e+01  1.56487686e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59693420e+02  5.05820808e+01  3.19689396e-04  1.57004952e-04
  1.35051754e+00  5.40036425e+00  3.70086299e+00  0.00000000e+00
  1.84258395e+01  1.16910465e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99840661e+01  1.00000000e+02
 -7.77224746e-02 -3.00000000e+00  1.00000000e+00]",38,by model,0.53,No collision,"[0.259843, 0.490762, 0.48198, 0.481703, 0.530275, 0.489471, 0.333928, 0.091252, 0, 0, 0.379774, 0.029607]",False
0,"[2.66256073e+02 3.57758255e+01 1.67318573e+02 0.00000000e+00
 0.00000000e+00 5.00000000e-01 1.20000000e+01 1.00000000e+00
 1.84638590e-01 5.04840355e+01 3.30916326e-03 8.58631641e+00
 1.34751095e+00 5.40205276e+00 1.47363027e+01 1.39983869e+01
 1.19650003e+01 3.20130978e+01 0.00000000e+00 0.00000000e+00
 7.98554086e+01 9.02191879e+00 7.57493956e+01 1.68197220e+01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.09995907e+01 0.00000000e+00 1.00000000e+02
 2.43359220e-01 2.57792141e+00 1.00000000e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.08594818e+02  3.54129601e+01  2.05023682e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  2.24839643e-01  4.63999748e+01  3.59967651e+02  7.03910218e+00
  1.34725111e+00  5.47351070e+00  2.24773196e+01  1.25761478e+01
  1.49921574e+02  4.15067179e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.21546090e+01  1.00000000e+02
 -2.37178613e-01 -2.25275528e+00  1.00000000e+00]",32,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 3.08594818e+02  3.54129601e+01  2.05023682e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  2.24839643e-01  4.63999748e+01  3.59967651e+02  7.03910218e+00
  1.34725111e+00  5.47351070e+00  2.24773196e+01  1.25761478e+01
  1.49921574e+02  4.15067179e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.90213623e+01  1.00000000e+02
 -2.37178613e-01 -3.03864893e+00  1.00000000e+00]",32,by model,0.466,No collision,"[0, 0, 0, 0.162561, 0.233434, 0.199519, 0.137239, 0.068553, 0.080185, 0.238273, 0.248065, 0.466002]",False
0,"[ 3.30747009e+02  3.49363365e+01  2.25237732e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  0.00000000e+00
  4.67442162e-02  4.87114220e+01  3.59909539e-03  4.74976771e+00
  1.34835534e+00  5.43300534e+00  9.38237570e+00  0.00000000e+00
  1.84585704e+01  5.25525403e+02  0.00000000e+00  0.00000000e+00
  1.89490635e+00  6.24321683e+00  2.01430327e+00  5.84092974e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.10600830e+01  1.00000000e+02
 -9.94233968e-02 -1.05949619e+00  1.00000000e+00]",32,by model,0.939,No collision,"[0.619212, 0.728256, 0.836387, 0.90779, 0.938512, 0.932174, 0.897032, 0.844169, 0.801535, 0.913618, 0.927681, 0.772982]",False
0,"[3.43776184e+02 3.49386482e+01 2.36927856e+02 0.00000000e+00
 0.00000000e+00 5.00000000e-01 1.20000000e+01 1.00000000e+00
 3.59853973e+02 4.64117966e+01 3.59832458e+02 4.95456360e+00
 1.34953694e+00 5.47391171e+00 6.18034042e+00 1.29769007e+01
 1.79144686e+01 6.24167617e+02 0.00000000e+00 0.00000000e+00
 1.82400528e+01 6.22157395e+00 1.27810078e+01 2.72167197e+00
 0.00000000e+00 0.00000000e+00 2.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.88488174e+01 0.00000000e+00 1.00000000e+02
 4.83652039e+00 1.96664281e+00 1.00000000e+00]",20,randomly,0.47,No collision,"[0.470107, 0.236795, 0.008401, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.53631012e+02  3.49855042e+01  2.68233002e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59647552e+02  3.43743103e+02  3.59549622e+02  5.15311123e+00
  1.35077660e+00  2.85784972e-01  4.86627005e+01  8.11241446e+00
  1.84729954e+01  2.21500859e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  8.63592569e+01  0.00000000e+00  1.00000000e+02
  3.08239102e+01  1.36187657e+00  1.00000000e+00]",41,randomly,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 3.53631012e+02  3.49855042e+01  2.68233002e+02  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59647552e+02  3.43743103e+02  3.59549622e+02  5.15311123e+00
  1.35077660e+00  2.85784972e-01  2.15146985e+01  0.00000000e+00
  1.49921961e+02  2.21500859e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  9.45000000e+01  0.00000000e+00  1.00000000e+02
  3.08239102e+01  4.30000000e+00  1.00000000e+00]",9,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42790894e+02  3.53025513e+01  2.83362701e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.58402771e+02  3.21428558e+02  3.59896240e+02  1.76193049e-03
  1.35794231e+00  6.73673978e-01  6.72298017e+01  1.32847443e+01
  1.50901502e+02  3.07512386e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.93865465e+01  0.00000000e+00  1.00000000e+02
 -9.25746512e-01  3.42734685e-01  1.00000000e+00]",35,by model,0.32,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.319638, 0, 0, 0, 0]",False
0,"[ 3.41903748e+02  3.53425407e+01  2.84485779e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58387665e+02  3.21579498e+02  3.59892365e+02  4.71724963e-04
  1.35799841e+00  6.71055842e-01  1.08487045e+01  4.33266323e-03
  1.49922200e+02  2.78914600e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -7.27164796e-01  9.52475699e-02  1.00000000e+00]",35,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 3.41903748e+02  3.53425407e+01  2.84485779e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58387665e+02  3.21579498e+02  3.59892365e+02  4.71724963e-04
  1.35799841e+00  6.71055842e-01  1.08487045e+01  4.33266323e-03
  1.49922200e+02  2.78914600e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -7.27164796e-01  1.27641679e-01  1.00000000e+00]",35,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.41760193e+02  3.53489952e+01  2.84669342e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58303314e+02  3.21615631e+02  3.59890717e+02  1.65257668e-03
  1.35848798e+00  6.70425663e-01  1.10641135e+01  0.00000000e+00
  1.49921374e+02  1.96396027e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.75470814e-01  1.03010301e-02  1.00000000e+00]",18,randomly,0.171,No collision,"[0, 0, 0, 0, 0.050172, 0, 0, 0, 0.168931, 0.169466, 0.170298, 0.170593]",False
0,"[ 3.41756653e+02  3.53491592e+01  2.84674683e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58284790e+02  3.21592194e+02  3.59891815e+02  1.11763065e-04
  1.35857626e+00  6.70832889e-01  1.10706945e+01  0.00000000e+00
  1.49921328e+02  2.89959527e+02  0.00000000e+00  0.00000000e+00
  5.16119127e+01  7.77980039e+00  5.00015378e+01  1.34561005e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.97038732e+01  1.00000000e+02
 -1.75470814e-01 -3.76313050e-03  1.00000000e+00]",35,by model,0.409,No collision,"[0, 0.170342, 0, 0, 0.266212, 0.409163, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.41756653e+02  3.53491631e+01  2.84674683e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.58284790e+02  3.21594177e+02  3.59891571e+02  1.00813149e-04
  1.35858120e+00  6.70801330e-01  1.10706946e+01  0.00000000e+00
  1.49921290e+02  1.02655776e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.06060120e+01  1.00000000e+02
 -1.75470814e-01 -6.28747823e-03  1.00000000e+00]",21,randomly,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 3.41756653e+02  3.53491631e+01  2.84674683e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.58284790e+02  3.21594177e+02  3.59891571e+02  1.00813149e-04
  1.35858120e+00  6.70801330e-01  1.10706946e+01  0.00000000e+00
  1.49921290e+02  1.02655776e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.19910150e+01  1.00000000e+02
 -1.75470814e-01 -6.60823913e-03  1.00000000e+00]",6,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.41756653e+02  3.53491631e+01  2.84674683e+02  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.58284760e+02  3.21596191e+02  3.59891663e+02  7.94841706e-05
  1.35858613e+00  6.70769772e-01  1.10706946e+01  0.00000000e+00
  1.49921285e+02  2.36123913e+02  0.00000000e+00  0.00000000e+00
  7.60991675e+01  7.59349017e+00  7.74860946e+01  1.62009847e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.15132666e+01  1.00000000e+02
 -1.75470814e-01 -8.81391924e-03  1.00000000e+00]",38,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.41756653e+02  3.53491631e+01  2.84674683e+02  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.58284790e+02  3.21598175e+02  3.59891571e+02  7.82199164e-05
  1.35857210e+00  6.70720616e-01  1.10706945e+01  0.00000000e+00
  1.49921298e+02  4.46191493e+02  0.00000000e+00  0.00000000e+00
  3.59412074e+01  6.75586747e+00  4.25889255e+01  1.24665158e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.66887976e+01  1.00000000e+02
 -1.75470814e-01 -1.15022422e-02  1.00000000e+00]",39,by model,0.481,No collision,"[0, 0, 0, 0, 0.29641, 0.43025, 0.470443, 0, 0, 0.480671, 0, 0.481336]",False
