Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.60537949e+01 -1.50678825e+00 -1.30750122e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.42534053e+00  1.05792549e+02  3.58929504e+02  1.78169818e+00
  1.35730610e+00  1.29999683e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -9.13839292e-01 -2.86406446e-01  1.00000000e+00]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29203568e+01 -1.59026754e+00 -1.39764528e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.58451903e+00  1.05962425e+02  3.58977905e+02  5.49615364e-05
  1.33841462e+00  1.29689039e+00  4.90686387e+01  9.97177412e+00
  1.17534692e+01  4.90686387e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99922596e+01  1.00000000e+02
  6.99301559e-02 -3.00000000e+00  1.00000000e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29203568e+01 -1.59026754e+00 -1.39764528e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.58451951e+00  1.05962425e+02  3.58977905e+02  5.49914923e-05
  1.33841462e+00  1.29689039e+00  3.57997217e+01  1.00025935e+01
  1.46025422e+01  3.57997217e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99922554e+01  1.00000000e+02
  6.99301559e-02 -3.00000000e+00  1.00000000e+00]",16,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29203568e+01 -1.59026742e+00 -1.39764528e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.58451796e+00  1.05962425e+02  3.58977905e+02  5.48577561e-05
  1.33841462e+00  1.29689039e+00  3.57997217e+01  1.00025935e+01
  1.46025422e+01  3.57997217e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99922593e+01  1.00000000e+02
  6.99301559e-02 -3.00000000e+00  1.00000000e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.64359808e+00 -1.98375118e+00 -2.19997749e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.21410680e-01  1.05468254e+02  6.33563921e-02  8.94888316e+00
  1.43551161e+00  1.30039211e+00  2.25718490e+01  1.00025935e+01
  1.46025422e+01  2.25718490e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.12800221e+01  0.00000000e+00  1.00000000e+02
 -1.65089293e+00  1.76198850e+00  1.00000000e+00]",2,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 58.09502792  -3.13194346 -34.90943146   0.5          0.
   0.5         12.           1.           0.98347735 105.40068817
   0.6994555    8.49368565   1.34241832   1.29880448  67.84916907
  10.00259346  14.60254221  67.84916907   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          34.14056959   0.         100.
  -5.77652549   1.64419976   1.        ]",0,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[116.80970001  -3.96235442 -50.6595726    0.           0.
   0.          12.          -1.           0.57636213  98.26807404
 358.76077271  10.32723484   1.44824813   1.42775121 127.38366679
  10.00259346  14.60254221 127.38366679   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          28.4600013    0.         100.
 -25.7551672    1.14343627   1.        ]",28,randomly,0.139,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.138688, 0, 0, 0, 0]",False
0,"[ 1.77365845e+02 -4.66607952e+00 -6.68061676e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.27196670e-01  1.01133415e+02  3.59279999e+02  1.09228668e+01
  1.34472724e+00  1.37977089e+00  2.09743653e+01  1.10413262e+01
  1.50190173e+02  2.09743653e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.10830101e+01  3.02824699e-01  1.00000000e+00]",8,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[237.93760681  -5.7437129  -83.53875732   0.           0.
   0.5         12.          -1.           1.2800746  103.65563965
 358.64825439  10.25773417   1.34049209   1.33865563  19.44312903
  13.96453332 153.12584583  19.44312903   0.           0.
   1.20386733   6.25929185   6.0647171    9.12945974   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          29.01092091   0.         100.
  -8.29569077   1.18537565   1.        ]",35,by model,0.784,No collision,"[0.122935, 0.620951, 0.75324, 0.784304, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[299.59606934  -6.84190941 -98.39450073   0.           0.
   0.5         12.          -1.           0.93691123 104.44577026
   0.35562584   9.40941233   1.53093572   1.31662679  26.60361969
   7.75937626 152.94811849 315.41416306   0.           0.
   2.5045413    6.58630901   3.39229829   3.95280602   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  -2.19099378   0.53512426   1.        ]",2,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[337.33908081  -7.40340281 -97.99006653   0.5          0.
   0.5         12.           1.           0.85012388  42.87232208
 359.18432617   4.62224421   1.34326695   5.53867116  22.73930674
   7.82153269 153.43721216 351.36095252   0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          20.20495988 100.
  20.79833033  -0.9782052    1.        ]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45707153e+02 -7.52741575e+00 -7.55943604e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  5.61733656e-02  1.45942345e+01  3.58183624e+02  3.18137641e+00
  1.34835091e+00  6.03673412e+00  3.53955654e+02  1.00025935e+01
  1.46025422e+01  3.53955654e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.58349115e+01  1.00000000e+02
  2.72559732e-01 -6.40094687e-01  1.00000000e+00]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
