Episode,State,Action,Choosing_Type,Not Stop,Sudden Braking,Improper Passing,Improper Lane Changing,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.62056198e+01 -1.50695980e+00 -1.33067207e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.44631600e+00  1.08185913e+02  3.58675598e+02  1.76498944e+00
  1.42791355e+00  1.25901024e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.69561752e+01  1.00000000e+02
  7.16455146e+00 -6.87303066e-01  1.00000000e+00]",9,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32354507e+01 -1.58626235e+00 -1.41883335e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.57055831e+00  1.06565338e+02  3.58695557e+02  5.43196797e-05
  1.33851821e+00  1.28766318e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923500e+01  1.00000000e+02
  1.27089532e+00 -3.00000000e+00  1.00000000e+00]",7,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32354507e+01 -1.58626235e+00 -1.41883335e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.57055819e+00  1.06565338e+02  3.58695557e+02  5.41886106e-05
  1.33851821e+00  1.28766318e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923339e+01  1.00000000e+02
  1.27089532e+00 -3.00000000e+00  1.00000000e+00]",9,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32354507e+01 -1.58626235e+00 -1.41883335e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.57055819e+00  1.06565338e+02  3.58695557e+02  5.44365208e-05
  1.33851821e+00  1.28766318e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923679e+01  1.00000000e+02
  1.27089532e+00 -3.00000000e+00  1.00000000e+00]",7,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.87496853e+00 -1.99489689e+00 -2.24119663e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.18104124e-01  1.05459129e+02  9.18563902e-02  8.86883900e+00
  1.87145237e+00  1.30054522e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
  1.74623981e-03 -3.83556244e-01  1.00000000e+00]",9,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.25272484e+01 -3.03491068e+00 -3.40753822e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.08971822e+00  9.22182846e+01  3.61813068e-01  7.38912878e+00
  1.34170763e+00  1.53042378e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -1.68434114e+01 -1.23873231e-01  1.00000000e+00]",7,by model,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.03911514e+02 -3.81993365e+00 -4.67200661e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.79368734e-01  1.04900490e+02  3.59897186e+02  1.04821282e+01
  1.76346400e+00  1.31271995e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -9.09646487e-03  2.24897669e-01  1.00000000e+00]",14,randomly,-1.0,-1.0,-1.0,-1.0,0.781,No collision,"[0, 0.427476, 0.731836, 0.059294, 0.780578, 0, 0, 0.034867, 0, 0, 0, 0]",False
0,"[163.69766235  -4.53550434 -64.29434204   0.           0.
   0.2         12.          -1.           0.76169151 112.29038239
   0.3793079    9.51763084   1.34383182   1.18001604  32.72118318
   0.           0.91357362  32.72118318   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          24.59541882   0.         100.
  14.94631336   0.86602704   1.        ]",19,by model,-1.0,-1.0,-1.0,0.2363895479906478,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.16788910e+02 -5.38085222e+00 -8.03069687e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.08883798e+00  1.05373222e+02  3.58595551e+02  9.53683240e+00
  1.62821788e+00  1.31085224e+00  4.66481428e+01  5.34293295e+00
  1.52745070e+02  4.66481428e+01  0.00000000e+00  0.00000000e+00
  7.71493703e+00  6.02827793e+00  5.34293366e+00  7.41390754e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00724602e+01  1.00000000e+02
  7.58960124e+00 -9.28703155e-01  1.00000000e+00]",22,randomly,-1.0,-1.0,0.8235924321217429,1.0,0.13,No collision,"[0.130433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.56993622e+02 -6.08035803e+00 -8.92348022e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.07387745e+00  1.02303551e+02  3.59062592e+02  1.16562114e+00
  1.34182922e+00  1.36034950e+00  1.59299396e+01  4.99771885e+00
  1.40914070e+01  3.51981964e+01  0.00000000e+00  0.00000000e+00
  3.68376340e+00  6.28637219e+00  4.59348910e-01  6.54244238e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -1.96919780e-01 -5.29358649e-01  1.00000000e+00]",5,randomly,-1.0,-1.0,-1.0,-1.0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
