Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.60521431e+01 -1.50889277e+00 -1.32212734e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.43483412e+00  1.06489380e+02  3.58773773e+02  1.74111832e+00
  1.33943849e+00  1.28862671e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.90298044e+01  1.00000000e+02
  6.60142293e+00 -8.28462995e-01  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32146416e+01 -1.58492100e+00 -1.40688210e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.56785822e+00  1.06560768e+02  3.58821503e+02  5.38606737e-05
  1.33853731e+00  1.28716569e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99924146e+01  1.00000000e+02
  2.60739363e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32146416e+01 -1.58492100e+00 -1.40688210e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.56785703e+00  1.06560768e+02  3.58821503e+02  5.38516751e-05
  1.33853731e+00  1.28716569e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99924160e+01  1.00000000e+02
  2.60739363e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32146416e+01 -1.58492100e+00 -1.40688210e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.56785774e+00  1.06560768e+02  3.58821503e+02  5.38521633e-05
  1.33853731e+00  1.28716569e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99924158e+01  1.00000000e+02
  2.60739363e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-5.22321367e+00 -1.97651994e+00 -2.20799046e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.00469035e-01  1.05454514e+02  1.22617148e-01  7.91991223e+00
  1.74263659e+00  1.30046632e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.46568556e+01  0.00000000e+00  1.00000000e+02
 -5.65831840e-01  1.07774982e+00  1.00000000e+00]",18,by model,0.61,No collision,"[0.418373, 0.516223, 0.61002, 0.523728, 0.378533, 0.198821, 0, 0, 0, 0, 0, 0]",False
0,"[ 51.8756752   -3.02600241 -34.22419739   0.           0.
   0.          12.           1.           0.93792468  87.41149139
 359.59402466   8.41133648   1.51101615   4.75859786  52.1258248
   9.99276553  12.96405106  52.1258248    0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          15.09885948 100.
 -26.07598943  -0.68532322   1.        ]",33,by model,0.474,No collision,"[0, 0.046982, 0.474385, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[104.76587677  -3.8358326  -47.93167877   0.           0.
   0.          12.          -1.           0.62019813 106.4521637
   0.56332874   9.80728268   1.34476282   1.28107846  12.68660507
   9.42767708 149.9208486  115.27379744   0.           0.
   1.92369948   6.16128855   8.13919927  10.3254671    0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  21.5153426    0.45503813   1.        ]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[162.27041626  -4.49828053 -62.21937561   0.           0.
   0.          12.          -1.           0.71330923 112.34757233
   0.99268264   9.86959574   1.63968737   1.18842105  12.76227132
   9.39477354 153.30897546 173.84813264   0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  21.05121783   0.53289315   1.        ]",0,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[218.97073364  -5.34147501 -77.51760864   0.           0.
   0.          12.          -1.           1.13742137 111.05361176
   1.34986997  10.15622133   1.34142092   1.19715921  12.80714285
   9.8912992  153.39476624 232.34821539   0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          23.35578864   0.         100.
  26.73407342   0.99640851   1.        ]",11,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[276.75765991  -6.41914606 -91.97663879   0.           0.
   0.          14.          -1.           1.00778306 103.32445526
 359.75686646   9.90813288   1.3422179    1.33934503  14.35325424
  10.30188415 151.54214562  14.35325424   0.           0.
   2.63061616   6.25636572   4.46466106   5.71206927   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
 -14.30667952   0.4486815    1.        ]",46,randomly,0.438,No collision,"[0, 0, 0.063539, 0, 0.011361, 0.265588, 0.437731, 0.271832, 0.221438, 0.231543, 0.04451, 0]",False
