Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.66336212e+01 -1.48932135e+00 -1.27108698e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.36881578e+00  1.04188744e+02  3.59126617e+02  1.62243511e+00
  1.33986657e+00  1.32716072e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -3.56148167e-01  5.98950315e-02  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29813957e+01 -1.58390176e+00 -1.36544523e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.55541706e+00  1.04445129e+02  3.59236298e+02  5.60180750e-05
  1.33860967e+00  1.32218697e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99921108e+01  1.00000000e+02
 -8.66428446e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29813957e+01 -1.58390176e+00 -1.36544523e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.55541730e+00  1.04445129e+02  3.59236298e+02  5.59655514e-05
  1.33860967e+00  1.32218697e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99921182e+01  1.00000000e+02
 -8.66428446e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29813957e+01 -1.58390176e+00 -1.36544523e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.55541718e+00  1.04445129e+02  3.59236298e+02  5.60368155e-05
  1.33860967e+00  1.32218697e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99921081e+01  1.00000000e+02
 -8.66428446e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.19203973e+00 -2.00278854e+00 -2.19218731e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.32338953e-01  1.06165474e+02  1.24975696e-01  9.19313503e+00
  1.52673887e+00  1.28821908e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.60108702e+01  0.00000000e+00  1.00000000e+02
  1.23368037e+00  4.97168659e-01  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.66879005e+01 -3.10760450e+00 -3.42621841e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.01830995e+00  1.02133827e+02  1.15061784e+00  8.56875780e+00
  1.34219692e+00  1.35375383e+00  9.13490999e+01  6.70365884e+00
  1.28668053e+01  9.13490999e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  4.48079611e+00  8.15994186e-02  1.00000000e+00]",18,by model,0.101,No collision,"[0.101444, 0.047991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[104.60107422  -3.82804203 -47.09016418   0.           0.
   0.          12.          -1.           0.79077548 105.45120239
 359.66595459   6.0388301    1.34366498   1.30264815  15.12832014
  10.00096143  11.47435872  15.12832014   0.           0.
   4.03350565   6.4191058   10.68264271   1.46055542   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          32.3403472  100.
  -0.44914882  -2.22969748   1.        ]",33,by model,0.196,No collision,"[0, 0.038328, 0.195539, 0.12888, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.32583267e+02 -4.13205242e+00 -5.46421089e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.09627450e-01  1.04759583e+02  3.59964020e+02  7.90848706e+00
  1.34416371e+00  1.31335344e+00  4.61347059e+01  9.99874038e+00
  1.18716501e+01  4.61347059e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.45517371e+01  0.00000000e+00  1.00000000e+02
  1.09058581e-01  1.71196808e+00  1.00000000e+00]",33,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 1.32583267e+02 -4.13205242e+00 -5.46421089e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.09627450e-01  1.04759583e+02  3.59964020e+02  7.90848706e+00
  1.34416371e+00  1.31335344e+00  1.07465180e+01  0.00000000e+00
  1.10761796e+01  4.61347059e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.65054855e+01  0.00000000e+00  1.00000000e+02
  1.07268239e-01  1.79171656e+00  1.00000000e+00]",22,by model,0.352,No collision,"[0, 0.20015, 0.241336, 0.32238, 0.352256, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.79565948e+02 -4.69272804e+00 -6.69187241e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.98919332e-01  1.04636063e+02  1.53971970e-01  7.17024574e+00
  1.34489176e+00  1.31464259e+00  2.04694487e+01  9.99692396e+00
  1.53030950e+02  1.85368388e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -4.48426798e-04  4.59138510e-01  1.00000000e+00]",0,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
