Episode,Step,State,Action,Reward,ViolationRate,ViolationRate_List,Action_Description,Done
0,0,"[1.50549606e+02 3.54963913e+01 6.47117004e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59850128e+02 5.04876442e+01 3.59658661e+02 7.04311034e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+05 1.00000000e+03
 1.00000000e+03 1.00000000e+05 1.76329943e+00 5.39880407e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.15907960e+01 0.00000000e+00 1.00000000e+02
 1.45791376e+00 1.40104893e+00 1.00000000e+00]",5,-1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Moderate fog,False
0,1,"[ 1.89297256e+02  3.56856575e+01  1.01785027e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59838776e+02  4.47646523e+01  3.58881653e+02  8.94455751e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.43891086e+00  5.50325354e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.82884489e+01  0.00000000e+00  1.00000000e+02
 -3.42844480e+01  1.17019142e+00  1.00000000e+00]",44,-1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NPC vehicle cross-road?maintainlane=0&position=far,False
0,2,"[ 2.28627563e+02  3.56540680e+01  1.35564163e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.10236847e-01  4.49452705e+01  3.58616638e+02  8.04513108e+00
  1.00000000e+00  1.00000000e+00  1.61564935e+02  8.00717195e+00
  1.13234347e+01  1.61564935e+02  1.34736442e+00  5.50505039e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.90055389e+01  1.00000000e+02
 -4.20818970e+01 -1.06438362e+00  1.00000000e+00]",40,0.769019,0.769019,"[0.0, 0.0, 0.0, 0.0, 0.2535031711735956, 0.6971179646737953, 0.6519495449497897, 0.23539891367191093, 0.2712719454689129, 0.6478348724179557, 0.769019333565139]",NPC vehicle drive-opposite?maintainlane=1&position=far,False
0,3,"[ 2.51487976e+02  3.57124290e+01  1.55267563e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59779663e+02  4.88896523e+01  1.29411621e-02  2.31343775e+00
  2.00000000e+00  2.00000000e+00  4.99077758e+01  1.39989883e+01
  1.81891107e+01  4.99077758e+01  1.34999085e+00  5.42983990e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.90629416e+01  1.00000000e+02
 -8.15766841e-01 -8.27552988e-01  1.00000000e+00]",25,0.967291,0.967291,"[0.9670620197976942, 0.732289939108431, 0.9381083320395289, 0.8036651722985071, 0.6854036273220436, 0.9672914474695131, 0.8495705263527966, 0.7741933000721539, 0.7236358939323375, 0.6354703708712797, 0.5865686548608351]",NPC vehicle drive-ahead?lane=left&maintainlane=0&position=near,False
0,4,"[ 2.53052200e+02  3.57234230e+01  1.56619720e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693604e+02  4.91098289e+01  8.58336221e-03  1.37165257e-04
  3.00000000e+00  3.00000000e+00  4.62972119e+01  1.16118915e+01
  1.52874662e+02  1.35860245e+02  1.35050303e+00  5.42602146e+00
  5.93974232e+01  4.77713122e+00  1.16118929e+01  7.47311082e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99827272e+01  1.00000000e+02
 -8.95789691e-01 -3.00000000e+00  1.00000000e+00]",24,0.5369,0.5369,"[0.5368996126881507, 0.523318043089316, 0.5134307769567057, 0.5060223174995373, 0.5003199589258593, 0.4958201271036643, 0.49231360229726434, 0.4894604658982046, 0.4871962851650123, 0.48534756699742715, 0.48369231231259446]",NPC vehicle drive-ahead?lane=left&maintainlane=0&position=far,False
0,5,"[ 2.53052200e+02  3.57234230e+01  1.56619720e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693604e+02  4.91098289e+01  8.58209562e-03  1.04094712e-04
  4.00000000e+00  4.00000000e+00  5.01467167e+01  0.00000000e+00
  1.73468685e+01  1.15579383e+02  1.35050303e+00  5.42602146e+00
  2.13259180e+01  2.76743811e+00  0.00000000e+00  9.13597239e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99812358e+01  1.00000000e+02
 -8.95789691e-01 -3.00000000e+00  1.00000000e+00]",10,0.480964,0.480964,"[0.4809635282993346, 0.4798559691427694, 0.4789669726131839, 0.4789669559464722, 0.4789669507904974, 0.47896694956673114, 0.47896694149655106, 0.4789669524551471, 0.47896695108623294, 0.4789669520348588, 0.47896695222156893, 0.47896695148777374]",Morning,False
0,6,"[ 2.53052200e+02  3.57234230e+01  1.56619720e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.59693604e+02  4.91098289e+01  8.57234374e-03  1.51923441e-04
  4.00000000e+00  4.00000000e+00  5.01467711e+01  0.00000000e+00
  1.73469525e+01  1.85803620e+02  1.35050303e+00  5.42602146e+00
  1.85480161e+01  2.70963879e+00  0.00000000e+00  9.13597239e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99804909e+01  1.00000000e+02
 -8.95789691e-01 -3.00000000e+00  1.00000000e+00]",24,0.603444,0.603444,"[0.4789669522244588, 0.478966958924332, 0.47896695147334106, 0.47896695948519297, 0.01060772128446748, 0.0, 0.0, 0.0, 0.6034437950566631, 0.0, 0.13478177842906233]",NPC vehicle drive-ahead?lane=left&maintainlane=0&position=far,False
0,7,"[ 2.65859833e+02  3.57767754e+01  1.67404480e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.14968881e-01  5.02868271e+01  1.86209213e-02  8.37212358e+00
  4.00000000e+00  4.00000000e+00  7.71654477e+00  9.99211456e+00
  1.83984105e+01  2.78040170e+02  1.59770453e+00  5.40548869e+00
  2.14143273e+01  4.75054961e+00  9.99211592e+00  2.80577483e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.23051617e-01  1.44686254e+00  1.00000000e+00]",36,0.605796,0.605796,"[0.6057964405139926, 0.2145493789155344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004234601677686336]",NPC vehicle overtake?lane=current&maintainlane=1&position=far,False
0,8,"[ 3.08583160e+02  3.54126205e+01  2.05207657e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  2.32778430e-01  4.65499535e+01  3.59961487e+02  7.25651697e+00
  5.00000000e+00  5.00000000e+00  3.07414738e+01  1.40053618e+01
  1.49921539e+02  3.07414738e+01  1.34721107e+00  5.47091426e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.17429610e+01  1.00000000e+02
 -4.23197400e-01 -1.19010535e+00  1.00000000e+00]",22,-1,0.120621,"[0.04595281326724024, 0.12062140075386438, 0.054039927899602797, 1.7522158233090787e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NPC vehicle drive-ahead?lane=right&maintainlane=0&position=near,False
0,9,"[ 3.31866577e+02  3.49362984e+01  2.26307999e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01  0.00000000e+00
  5.50661869e-02  4.88506699e+01  1.45296834e-03  4.81102158e+00
  6.00000000e+00  6.00000000e+00  1.47982761e+01  6.16099945e-01
  1.84806510e+01  4.03201290e+02  1.39640148e+00  5.43058371e+00
  5.13237725e+01  8.13499187e+00  5.01601127e+01  1.14083808e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.12634119e+01  1.00000000e+02
 -1.65746413e-02 -1.08170765e+00  1.00000000e+00]",33,0.450312,0.450312,"[0.0, 0.054554359210965145, 0.4312286077973369, 0.42228315997634125, 0.4248067385286975, 0.43874097139943635, 0.4503121290070248, 0.4235766811310372, 0.3716796322184006, 0.3225612132578147, 0.22120181157395422]",NPC vehicle overtake?lane=left&maintainlane=1&position=near,False
