Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.83720398  -1.43518615 -12.19698715   0.           0.
   0.          12.          -1.           1.39305604 105.0737915
 359.06079102   1.03994633]",8,0.349,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.349427, 0, 0, 0, 0]",False
0,"[-2.46498814e+01 -1.79439187e+00 -1.61537991e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03863001e+00  1.05792290e+02  3.59688843e+02  3.80769006e-05]",28,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-10.50133991  -1.94551992 -20.04123306   0.           0.
   0.          12.           1.           0.26957113 105.13864136
   0.23120455   4.28242212]",111,0.668,No collision,"[0, 0, 0, 0, 0.338478, 0.248071, 0.543381, 0.668107, 0.61179, 0.463055, 0.306513, 0.146566]",False
0,"[ 37.47072983  -2.83242369 -33.0420723    0.           0.
   0.          12.           1.           0.88013911 102.18921661
 357.96618652  10.65905513]",145,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 85.93843079  -3.61873341 -36.89242172   0.5          0.
   0.5         12.           1.           0.51032025 118.0256958
   1.77944839   7.29221962]",50,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.27637794e+02 -4.06981182e+00 -5.38172188e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  8.08185041e-01  9.82545090e+01 -4.18753596e-03  5.19536819e+00]",72,0.187,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187267, 0, 0.129753]",False
0,"[ 1.34119965e+02 -4.15242052e+00 -5.51281242e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.21643031e-01  1.02176468e+02  3.59912109e+02  2.04368957e-05]",85,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[150.39833069  -4.35995102 -59.04092789   0.5          0.
   0.5         12.          -1.           0.61596483 104.36842346
 359.82122803   2.38618616]",139,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51258698e+02 -4.36850786e+00 -5.92642632e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  5.51130116e-01  1.04437996e+02  3.59778259e+02  2.44779176e-05]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51260117e+02 -4.36852646e+00 -5.92650566e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  5.51212192e-01  1.04441910e+02  3.59778259e+02  2.82450242e-05]",146,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51260117e+02 -4.36852646e+00 -5.92650566e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  5.51207423e-01  1.04441910e+02  3.59778259e+02  2.47993024e-05]",21,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51260117e+02 -4.36852646e+00 -5.92650566e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  5.51207900e-01  1.04441910e+02  3.59778259e+02  2.43349117e-05]",148,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51260117e+02 -4.36852646e+00 -5.92650566e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.51210105e-01  1.04441910e+02  3.59778259e+02  2.51287723e-05]",53,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51260117e+02 -4.36852646e+00 -5.92650566e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.51210284e-01  1.04441910e+02  3.59778259e+02  2.47733722e-05]",111,0.34,No collision,"[0, 0, 0, 0.257724, 0, 0, 0, 0, 0.340222, 0, 0.321007, 0.32355]",False
0,"[ 1.51788040e+02 -4.37431479e+00 -5.94022980e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.63613975e-01  1.04445328e+02  3.59745911e+02  1.30926605e-03]",140,0.013,No collision,"[0, 0, 0.012512, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.51788406e+02 -4.37442112e+00 -5.94026566e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.64210951e-01  1.04445908e+02  3.59745728e+02  2.42118465e-05]",58,0.586,No collision,"[0, 0, 0, 0, 0.510861, 0.586048, 0.167862, 0, 0.068043, 0.09978, 0.255715, 0.278776]",False
0,"[171.39704895  -4.59318972 -64.35030365   0.           0.5
   0.          12.          -1.           0.65019649 105.03739166
   0.19935554  10.06613799]",121,0.364,No collision,"[0.363654, 0.32825, 0.219833, 0, 0, 0, 0, 0, 0, 0, 0.085472, 0.102459]",False
0,"[219.99816895  -5.35957766 -77.24320221   0.           0.5
   0.          12.           1.           1.1145848  105.0083313
 359.99121094   8.54211003]",82,0.357,No collision,"[0.07008, 0, 0, 0, 0, 0, 0, 0, 0.169716, 0.20508, 0.278056, 0.356546]",False
0,"[255.96424866  -6.05602646 -88.50341034   0.           0.5
   0.          12.           1.           1.1661185  105.43734741
 359.48425293   2.28248945]",129,0.808,No collision,"[0.407172, 0.455551, 0.457508, 0.420075, 0.328392, 0.327902, 0.454347, 0.5971, 0.631674, 0.716025, 0.807075, 0.808038]",False
0,"[ 295.96704102   -6.82772923 -102.94924927    0.            0.5
    0.           12.            0.          359.72567749  110.93583679
    2.8915801    13.36223924]",82,0.848,No collision,"[0.801512, 0.821537, 0.848154, 0.798074, 0.707619, 0.542412, 0.255291, 0.266934, 0.401651, 0.456388, 0.487963, 0.494751]",False
0,"[ 3.42585297e+02 -7.47219610e+00 -1.10864021e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.33184624e-01  9.35105057e+01  3.59710602e+02  1.01493433e-03]",153,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42585663e+02 -7.47224522e+00 -1.10864037e+02  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  8.74756932e-01  9.35106735e+01  3.59709473e+02  3.22763845e-05]",147,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42585663e+02 -7.47224522e+00 -1.10864037e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  8.74756396e-01  9.35106735e+01  3.59709473e+02  3.36824439e-05]",54,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42585663e+02 -7.47224474e+00 -1.10864037e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  8.74756932e-01  9.35106735e+01  3.59709473e+02  3.51810409e-05]",25,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42585663e+02 -7.47224474e+00 -1.10864037e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  8.74756277e-01  9.35106735e+01  3.59709473e+02  3.23254793e-05]",12,0.269,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.028328, 0.269018, 0.235652]",True
1,"[-37.23145294  -1.47712898 -12.72331142   0.           0.
   0.          12.          -1.           1.24746132 106.2376709
 358.97817993   3.78501197]",119,0.247,No collision,"[0, 0, 0, 0.21611, 0.24709, 0.246324, 0.2463, 0.199242, 0, 0, 0, 0]",False
1,"[-32.88890839  -1.59134257 -13.99532318   0.           0.
   0.          12.          -1.           1.54613745 106.13565063
 358.97387695   1.10629794]",73,0.334,No collision,"[0, 0.333876, 0.114487, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.74306183e+01 -1.74442530e+00 -1.55679779e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.09948194e+00  1.05988312e+02  3.59407013e+02  6.32558995e-05]",44,0.186,No collision,"[0.186296, 0, 0.103453, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.74306164e+01 -1.74443555e+00 -1.55685492e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.09944832e+00  1.05988312e+02  3.59406769e+02  6.33418361e-05]",78,0.381,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.238257, 0.381264, 0.380702]",False
1,"[ 10.66304588  -2.3237865  -26.27674294   0.           0.
   0.          12.           1.           1.34379625 105.61171722
 359.82467651  15.64424469]",67,0.365,No collision,"[0.364628, 0.261096, 0.127818, 0.042066, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.43651733e+01 -3.56608152e+00 -3.51929054e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59775909e+02  5.71708260e+01  3.59623169e+02  1.48619366e-04]",10,0.483,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.482941, 0.203246, 0, 0]",False
1,"[ 8.44101486e+01 -3.56845713e+00 -3.52267456e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59745789e+02  5.58083305e+01  3.59548157e+02  1.13917291e-02]",56,0.295,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.294906, 0.007372, 0, 0]",False
1,"[ 8.44289246e+01 -3.56843662e+00 -3.52407684e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59790985e+02  5.52681541e+01  3.59620880e+02  1.48611560e-02]",96,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.46564178e+01 -3.57084441e+00 -3.52501755e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59586182e+02  5.82240906e+01  3.59525208e+02  5.83087983e-03]",6,0.358,No collision,"[0, 0, 0, 0, 0, 0, 0.35793, 0.121622, 0.19415, 0.195254, 0.19624, 0.197344]",False
1,"[ 8.46823425e+01 -3.57336998e+00 -3.52713814e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59678375e+02  5.74228630e+01  3.59525452e+02  1.22528125e-02]",97,0.917,No collision,"[0.197906, 0.198382, 0.199249, 0.199639, 0.914669, 0.916056, 0.916612, 0.916839, 0.916943, 0.917158, 0.91743]",False
1,"[ 8.47130890e+01 -3.57243657e+00 -3.52956085e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59735718e+02  5.64952736e+01  3.59590515e+02  8.61907039e-03]",116,0.961,No collision,"[0.917512, 0.91753, 0.950548, 0.957476, 0.959808, 0.960533, 0.960815, 0.960906, 0.960984, 0.961052, 0.961085, 0.961125]",False
1,"[ 8.47413254e+01 -3.57319117e+00 -3.53169708e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59797729e+02  5.56653137e+01  3.59622955e+02  3.37007444e-03]",93,0.961,No collision,"[0.961194, 0.961252, 0.212931, 0.213108, 0.21364, 0.878422, 0.87851, 0.878626, 0.878772, 0.878943, 0.879127, 0.879224]",False
1,"[ 8.47642593e+01 -3.57406163e+00 -3.53327789e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59803223e+02  5.50328789e+01  3.59588867e+02  4.62106424e-03]",5,0.881,No collision,"[0.879483, 0.879458, 0.217867, 0.87957, 0.879852, 0.879989, 0.880137, 0.880275, 0.880416, 0.880554, 0.880701, 0.880845]",False
1,"[ 8.47864151e+01 -3.57422781e+00 -3.53484535e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59803375e+02  5.43822861e+01  3.59575500e+02  5.71238255e-03]",115,0.922,No collision,"[0.880992, 0.88113, 0.223004, 0.223104, 0.223117, 0.921349, 0.921425, 0.921547, 0.921641, 0.92171, 0.921839, 0.921897]",False
1,"[ 8.48057556e+01 -3.57444024e+00 -3.53616638e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59804230e+02  5.38305054e+01  3.59568054e+02  5.07484795e-03]",40,0.923,No collision,"[0.921987, 0.226952, 0.922083, 0.922148, 0.922254, 0.922352, 0.922509, 0.922545, 0.22976, 0.883357, 0.883495, 0.883642]",True
2,"[-36.9589119   -1.48377681 -12.79208183   0.           0.
   0.          12.          -1.           1.29055047 106.0342865
 358.97000122   3.56860249]",80,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.15762959e+01 -1.84501612e+00 -1.71855621e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.71270621e-01  1.05520393e+02  3.59743805e+02  2.42605432e-03]",24,0.424,No collision,"[0, 0.210178, 0.424106, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-1.88431206e+01 -1.87160492e+00 -1.79093132e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.98638701e-01  1.04531693e+02  3.59710876e+02  6.27995941e-04]",107,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-1.88432312e+01 -1.87160969e+00 -1.79096947e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.95806497e-01  1.04531685e+02  3.59710693e+02  2.24490121e-05]",147,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ -5.25818539  -1.97581267 -21.58646584   0.           0.2
   0.          12.          -1.           0.19263867 105.57010651
   0.14832377   8.89707184]",83,0.568,No collision,"[0.370854, 0.565318, 0.568193, 0.429409, 0.099545, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.00679016e+01 -2.69701624e+00 -3.11196842e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.32628274e-01  1.04333427e+02  3.58768738e+02  7.94446001e-03]",112,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.00672112e+01 -2.69704103e+00 -3.11222477e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.57291603e-01  1.04332352e+02  3.58767303e+02  9.40086599e-05]",126,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
