Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.23541641  -1.45065141 -12.36070061   0.           0.
   0.          12.          -1.           1.25412607 105.11084747
 359.04815674   2.88895644]",70,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.57598248e+01 -1.77803576e+00 -1.58363848e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03651881e+00  1.05749229e+02  3.59557953e+02  4.56313308e-05]",86,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.54100666e+01 -1.78335595e+00 -1.59395370e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02729332e+00  1.05665237e+02  3.59560181e+02  4.88531162e-05]",14,0.429,No collision,"[0.405806, 0.429003, 0, 0, 0, 0, 0.171178, 0.277258, 0.254585, 0.165613, 0.07816, 0]",False
0,"[ 26.91610336  -2.65677905 -30.61046982   0.           0.
   0.          12.           1.           0.78403223 103.94978333
 358.54986572  14.4585629 ]",22,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 95.28084564  -3.70942235 -43.25576782   0.           0.
   0.          12.           1.           0.61824757 105.45962524
 359.90045166   8.25903145]",15,0.21,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.051306, 0.209564, 0]",False
0,"[ 1.29153809e+02 -4.08466196e+00 -5.26727715e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.09352136e-01  1.05742630e+02  3.44545953e-02  2.90725449e+00]",59,0.794,No collision,"[0.009091, 0.579135, 0.704817, 0.7404, 0.794044, 0, 0.733943, 0.730227, 0.729289, 0.729935, 0.733503, 0.737756]",False
0,"[143.08381653  -4.25934601 -56.62224197   0.           0.
   0.          12.          -1.           0.85970104 105.83404541
 359.95471191   1.76677468]",64,0.737,No collision,"[0.7365, 0.650092, 0.605964, 0.599507, 0.592525, 0.564978, 0.282576, 0.322921, 0, 0.357245, 0.363338, 0.367579]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.21953189e-01  1.05833710e+02  3.59850739e+02  1.91865462e-05]",115,0.368,No collision,"[0.367793, 0.367837, 0.367751, 0.367765, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.21953249e-01  1.05833710e+02  3.59850739e+02  1.87764514e-05]",14,0.846,No collision,"[0.625066, 0.84607, 0.454921, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.21952951e-01  1.05833710e+02  3.59850739e+02  1.88092738e-05]",88,0.368,No collision,"[0, 0.156322, 0.306952, 0.353247, 0.365029, 0.36726, 0.367786, 0.36796, 0.367693, 0.367877, 0.367669, 0.367789]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.21952951e-01  1.05833710e+02  3.59850739e+02  2.10582650e-05]",113,0.368,No collision,"[0.367654, 0.368055, 0.367802, 0.367731, 0.3679, 0.368316, 0.367566, 0.367825, 0.367733, 0, 0, 0]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.21952891e-01  1.05833710e+02  3.59850739e+02  1.84980265e-05]",145,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  6.21952713e-01  1.05833710e+02  3.59850739e+02  2.07490066e-05]",134,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.21952593e-01  1.05833710e+02  3.59850739e+02  2.02540546e-05]",148,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.49307144e+02 -4.34614992e+00 -5.83871384e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.21952653e-01  1.05833710e+02  3.59850739e+02  1.84851667e-05]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
