Episode,State,Action,Reward,Done
0,"[-38.12348938  -1.45326602 -12.39159584   0.           0.
   0.          12.          -1.           1.40958655 105.12265015
 359.04989624   1.64432625]",0,0.728,False
0,"[-1.78874302e+01 -1.87863410e+00 -1.78939209e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.79178789e-01  1.05138077e+02  3.59722015e+02  9.20006366e+00]",12,0.0,False
0,"[ 43.29598618  -2.97474408 -36.06813431   0.           0.
   0.          10.          -1.           1.18079126 110.92655945
 358.37020874  10.20850055]",30,0.0,False
0,"[ 6.44633865e+01 -3.25175977e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  6.01655304e-01  1.08614716e+02  7.08794546e+00  1.44487107e-04]",12,0.0,False
0,"[ 6.44633865e+01 -3.25175858e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  6.01726174e-01  1.08610550e+02  7.08755445e+00  1.44825790e-04]",20,0.0,False
0,"[ 6.44633865e+01 -3.25175858e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  6.01726174e-01  1.08610550e+02  7.08755445e+00  1.44825790e-04]",19,0.0,False
0,"[ 6.44633942e+01 -3.25175953e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  6.01863861e-01  1.08606316e+02  7.08742189e+00  1.45373638e-04]",11,0.0,False
0,"[ 6.44633942e+01 -3.25176024e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.02013290e-01  1.08602066e+02  7.08726549e+00  1.44661460e-04]",41,0.0,False
0,"[ 6.44633942e+01 -3.25176024e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.02013290e-01  1.08602066e+02  7.08726549e+00  1.44661460e-04]",30,0.0,False
0,"[ 6.44633942e+01 -3.25176096e+00 -4.30318604e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.02148175e-01  1.08597870e+02  7.08712101e+00  1.44643071e-04]",24,0.0,True
1,"[-39.80713272  -1.40970206 -11.93401718   0.           0.
   0.          12.          -1.           1.41997957 105.02158356
 359.1434021    0.71960626]",3,0.0,False
1,"[-3.39188271e+01 -1.56122756e+00 -1.35280790e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.51405883e+00  1.05137154e+02  3.59131500e+02  4.46360421e-05]",17,0.0,False
1,"[-3.34327354e+01 -1.57388055e+00 -1.36619301e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.41226816e+00  1.05165909e+02  3.59103180e+02  1.21972290e+00]",18,0.0,False
1,"[ -6.29777288  -1.9676981  -22.21462059   0.2          0.
   0.2         12.          -1.           0.3433322  110.32876587
   0.16059709   6.03675779]",45,1.0,False
1,"[ 3.43960915e+01 -2.71564364e+00 -3.61500969e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.58384583e+02  1.11403748e+02  7.68767786e+00  3.20444952e-02]",44,0.0,False
1,"[ 3.44071922e+01 -2.68897605e+00 -3.61179581e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.58947266e+02  1.11980690e+02  6.42182779e+00  4.19506759e-03]",30,0.0,False
1,"[ 3.44144630e+01 -2.68948030e+00 -3.61014557e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58993866e+02  1.12232697e+02  6.40266609e+00  2.01309032e-04]",40,0.0,False
1,"[ 3.44144630e+01 -2.68948030e+00 -3.61014557e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58993866e+02  1.12232697e+02  6.40266609e+00  2.01309032e-04]",31,0.0,False
1,"[ 3.44144630e+01 -2.68948030e+00 -3.61014557e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58993866e+02  1.12232697e+02  6.40263224e+00  2.02009420e-04]",50,0.0,False
1,"[ 3.44144630e+01 -2.68948030e+00 -3.61014557e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58993866e+02  1.12232697e+02  6.40263224e+00  2.02009303e-04]",5,0.0,True
2,"[-37.79293442  -1.46152258 -12.48169231   0.           0.
   0.          12.          -1.           1.41157639 105.1424942
 359.05172729   1.68508294]",42,0.0,False
2,"[-3.44299011e+01 -1.54754829e+00 -1.34069681e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46840227e+00  1.05295067e+02  3.59107361e+02  5.31193005e-05]",39,0.0,False
