Episode,State,Action,Collision_Probability,Collision_Probability_Per_StepDone
0,"[-38.87731171  -1.43415046 -12.18663692   0.           0.
   0.          12.          -1.           1.41053617 105.08914948
 359.06454468   1.46064011]",36,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -9.10909653  -1.95399261 -20.48748589   0.           0.
   0.          12.           1.           0.31924331 105.61724854
   0.23653165   6.21098971]",17,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[  3.12037778  -2.13398385 -23.92679977   0.           0.
   0.          12.          -1.           0.94758815 105.86732483
 359.94961548   0.87172231]",47,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 24.53773499  -2.61275768 -30.11832809   0.           0.
   0.          12.           1.           1.02729261 102.85482788
 358.62866211   6.61176453]",41,0.999,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.999237, 0]",False
0,"[ 74.75814056  -3.40407586 -32.54607391   0.           0.
   0.          12.           1.           0.86509341 104.8899765
 358.78723145  11.61738795]",35,1.0,"[0.999936, 0.999967, 0.999964, 0.999951, 0.999938, 0.999939, 0.999948, 0.999972, 0.673385, 0.171762, 0, 0]",False
0,"[ 1.05601021e+02 -3.83512497e+00 -4.45922585e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.08827889e-01  1.11388878e+02  7.81121850e-01  4.50036573e-05]",8,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05601021e+02 -3.83512497e+00 -4.45922585e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.08822942e-01  1.11388878e+02  7.81117678e-01  4.59286541e-05]",28,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05601021e+02 -3.83512497e+00 -4.45922585e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.08825922e-01  1.11388878e+02  7.81122446e-01  4.49131410e-05]",12,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05601021e+02 -3.83512497e+00 -4.45922585e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.08824372e-01  1.11388878e+02  7.81119049e-01  4.46405549e-05]",26,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.05601021e+02 -3.83512497e+00 -4.45922585e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.08824551e-01  1.11388878e+02  7.81118929e-01  4.50645029e-05]",41,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-39.29512405  -1.42317247 -12.07319546   0.           0.
   0.          12.          -1.           1.39033759 105.06332397
 359.10092163   1.4728366 ]",13,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.53934784e+01 -1.52165461e+00 -1.31414890e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.39146948e+00  1.05274185e+02  3.59063843e+02  9.73569800e-02]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.42136383e+01 -1.55350137e+00 -1.34695883e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.48820901e+00  1.05310585e+02  3.59107391e+02  5.30746237e-05]",0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.42136383e+01 -1.55350137e+00 -1.34695883e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01  1.00000000e+00
  1.48820925e+00  1.05310585e+02  3.59107391e+02  5.31136340e-05]",10,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.40643349e+01 -1.55761206e+00 -1.35128899e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01  1.00000000e+00
  1.50220382e+00  1.05359581e+02  3.59108398e+02  5.31065537e-05]",39,0.293,"[0, 0, 0, 0.066709, 0.140294, 0.202493, 0.250547, 0.281586, 0.293366, 0.284933, 0.264243, 0.212684]",False
1,"[-3.36570168e+01 -1.56865656e+00 -1.36279564e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01  1.00000000e+00
  1.54516566e+00  1.05383873e+02  3.59102844e+02  1.16866833e-03]",27,0.191,"[0.190556, 0.190555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.36571388e+01 -1.56866002e+00 -1.36285286e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.53421199e+00  1.05383636e+02  3.59100922e+02  5.35200403e-05]",31,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.36571388e+01 -1.56866002e+00 -1.36285286e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.53421402e+00  1.05383636e+02  3.59100922e+02  5.34566503e-05]",43,0.304,"[0, 0, 0, 0, 0, 0.076228, 0.150372, 0.212197, 0.260934, 0.292483, 0.304432, 0.296603]",False
1,"[-3.35816574e+01 -1.57051778e+00 -1.36509657e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.53186786e+00  1.05391037e+02  3.59083527e+02  5.32410786e-05]",44,0.269,"[0.268908, 0.227865, 0.187823, 0.187823, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.35816574e+01 -1.57051778e+00 -1.36509657e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.53186786e+00  1.05391037e+02  3.59083527e+02  5.32444965e-05]",29,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.34468536e+01 -1.57391024e+00 -1.36899538e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.40000000e+01  1.00000000e+00
  1.53123915e+00  1.05404282e+02  3.59091187e+02  5.73887988e-05]",48,0.295,"[0, 0, 0, 0, 0, 0, 0, 0.058282, 0.136122, 0.203436, 0.257357, 0.294806]",False
