Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-4.03016968e+01 -1.39657497e+00 -1.18002310e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47784746e+00  1.05001984e+02  3.59153900e+02  5.05633094e-05]",32,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.02845726e+01 -1.39703512e+00 -1.18049402e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.43316162e+00  1.05004250e+02  3.59155090e+02  3.18829981e-01]",19,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-32.94900513  -1.58715081 -13.81299686   0.           0.
   0.          12.          -1.           1.52006102 105.34458923
 359.11590576   1.72153748]",10,0.191,"[0, 0, 0, 0, 0, 0, 0, 0.145418, 0.185163, 0.190912, 0.113488, 0]",False
0,"[ 12.22874451  -2.35936165 -26.33469772   0.           0.
   0.5         12.           1.           1.41263545 104.62016296
 359.86404419  11.84969148]",30,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 72.90144348  -3.40228677 -40.47595215   0.           0.
   0.5         12.           1.           0.87638801 109.25482941
 358.88265991  14.54893712]",3,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.44221405e+02 -4.28098011e+00 -5.77877426e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  9.00703967e-01  1.03547981e+02  3.59914948e+02  9.75913791e+00]",49,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.54871658e+02 -4.40931225e+00 -6.03609962e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.46591425e-01  1.03608810e+02  3.59665741e+02  2.95799564e-05]",50,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.54871658e+02 -4.40931273e+00 -6.03609962e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.46591127e-01  1.03608810e+02  3.59665741e+02  3.04699246e-05]",13,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.54871658e+02 -4.40931273e+00 -6.03609962e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  6.46591902e-01  1.03608810e+02  3.59665741e+02  3.26149736e-05]",24,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.54871658e+02 -4.40931273e+00 -6.03609962e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  6.46591961e-01  1.03608810e+02  3.59665741e+02  3.21176661e-05]",34,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.73748779  -1.46293926 -12.49766922   0.           0.
   0.          12.          -1.           1.39105272 105.16159821
 359.05105591   1.91242982]",33,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.18651695e+01 -1.61742461e+00 -1.41162882e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59611368e+00  1.05419312e+02  3.59191223e+02  5.67133940e-05]",11,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.18651695e+01 -1.61742473e+00 -1.41162882e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59611166e+00  1.05419319e+02  3.59191223e+02  5.73143169e-05]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.18651695e+01 -1.61742473e+00 -1.41162882e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59611261e+00  1.05419319e+02  3.59191223e+02  5.68469974e-05]",32,0.22,"[0, 0, 0, 0, 0.065961, 0.219968, 0.14877, 0, 0, 0, 0, 0]",False
1,"[-12.83838558  -1.92377925 -19.8827877    0.           0.2
   0.          12.          -1.           0.44598737 110.92021942
   0.34393206   3.44013304]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.17829514e+01 -2.72097635e+00 -3.12975674e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.82077599e-01  1.07857704e+02  3.58881165e+02  7.58728263e+00]",26,1.0,"[0.99952, 0, 1, 1, 1, 0.999641, 0.999862, 0.999814, 0.999764, 0.999715, 0.999667, 0.999622]",False
1,"[ 82.88858795  -3.52155828 -40.01856995   0.           0.2
   0.          12.          -1.           1.02836764 105.85791016
   0.31274405   8.6551357 ]",18,1.0,"[0.999581, 0.999541, 0.999497, 0.999454, 0.999412, 0.999374, 0.999336, 0.999299, 0.999265, 0.999227, 0.999182, 0.999139]",False
1,"[129.97489929  -4.10269737 -51.10499191   0.           0.2
   0.          12.          -1.           0.63902175 107.1523056
   0.76324916   8.57324722]",43,0.999,"[0.999097, 0.999057, 0.999018, 0.998981, 0.998946, 0.998917, 0.998897, 0.998887, 0, 0, 0, 0]",False
1,"[ 1.54192001e+02 -4.39304686e+00 -5.91423988e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.70306623e-01  1.08866745e+02  3.59725220e+02  2.75165611e-05]",19,0.999,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.998885, 0.998885, 0]",False
1,"[ 1.54233368e+02 -4.39355516e+00 -5.91574745e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.70747161e-01  1.08857941e+02  3.59724792e+02  5.76420030e-04]",27,0.999,"[0, 0, 0, 0, 0, 0, 0.998884, 0, 0, 0, 0.998883, 0]",False
1,"[ 1.54377274e+02 -4.39533710e+00 -5.92085304e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.71055019e-01  1.08843269e+02  3.59723022e+02  5.88577193e-04]",51,1.0,"[0, 0, 0, 0.998881, 0.998873, 0.99886, 0.998843, 0.998824, 0.998804, 0.998786, 0.998778, 0.999683]",False
1,"[ 1.64432831e+02 -4.51787424e+00 -6.24593086e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.11176074e-01  1.07489975e+02  3.59722198e+02  8.22986077e-04]",42,1.0,"[0.463982, 1, 0.999552, 0.999513, 0.999479, 0.999447, 0, 0, 0.998847, 0.998844, 0.25562, 0.341846]",False
1,"[ 1.58101196e+02 -4.44184875e+00 -6.06130791e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.75515771e-01  1.08374397e+02  3.59686218e+02  6.26754607e-04]",10,1.0,"[0.420348, 0.494589, 0.545845, 0.572697, 0.999508, 0.99946, 0.999305, 0.999096, 0.999046, 0.013894, 0.998828, 0.998828]",False
1,"[159.64280701  -4.46091318 -61.1227951    0.           0.
   0.5         12.          -1.           0.66479468 108.27656555
 359.69512939   0.36667135]",11,0.999,"[0.998822, 0.998809, 0.99879, 0.99877, 0.998748, 0.999102, 0.99933, 0.99914, 0.998687, 0.998649, 0.998627, 0.998601]",False
1,"[181.41693115  -4.71707392 -67.67917633   0.           0.
   1.          12.          -1.           0.70444453 106.30197906
   0.18160845   5.51798589]",5,0.999,"[0.998572, 0.998541, 0.998509, 0.998478, 0.998449, 0.998419, 0.998388, 0.99836, 0.998333, 0.998308, 0.998284, 0.998258]",False
1,"[214.45829773  -5.24758101 -76.69709778   1.           0.
   1.          12.          -1.           1.09498739 100.98542023
 359.87875366   5.29388713]",51,0.999,"[0.998231, 0.998204, 0.998183, 0.998164, 0.998139, 0.99906, 0.999202, 0.998039, 0.99858, 0.998799, 0.998714, 0.998395]",False
1,"[ 2.56774048e+02 -6.08243036e+00 -8.04925079e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.78739691e-01  9.37165146e+01  3.59341278e+02  1.20689846e+01]",18,1.0,"[0.99796, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 2.69176453e+02 -6.23734951e+00 -8.13877563e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.05027877e-01  9.88450851e+01  3.55548950e+02  7.73109568e-03]",20,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
