Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-4.03007431e+01 -1.39653838e+00 -1.17968712e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47734451e+00  1.04993790e+02  3.59157166e+02  8.60770007e-05]",35,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-24.04464722  -1.80561948 -16.35868835   0.           0.
   0.          12.          -1.           1.03017139 105.26194763
 359.73443604   4.31490301]",46,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -8.05111694  -1.95929646 -20.7300415    0.           0.
   0.          12.           1.           0.26356861 105.41240692
   0.17777929   0.38269994]",0,0.725,"[0, 0, 0, 0, 0.258485, 0.725321, 0.631609, 0.399987, 0.243047, 0, 0, 0]",False
0,"[ 49.8385582   -3.00831318 -34.91362      0.           0.
   0.          12.           1.           0.79372847  93.70200348
 358.31918335  15.76378256]",23,1.0,"[0.505989, 0.720925, 1, 0.512595, 0.488016, 0.4023, 0.205799, 0.078357, 0.015135, 0.033922, 0.048735, 0.04211]",False
0,"[ 7.88193436e+01 -3.49995470e+00 -3.46388016e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.22420824e+00  9.08338699e+01  1.01066816e+00  8.35032252e-05]",4,0.012,"[0.011822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 81.70969391  -3.55101109 -35.09529877   0.5          0.
   0.5         12.           1.           0.82596564  99.21363831
   0.95352751   0.94310865]",1,1.0,"[0, 0, 0, 0, 0.126977, 0.260392, 0.344285, 0.337155, 0.439318, 0.559513, 0.619086, 1]",False
0,"[103.62833405  -3.82616377 -48.04307556   0.5          0.
   0.5         12.          -1.           0.51797384 128.70695496
   2.11572218   3.28781016]",27,1.0,"[1, 0.862561, 0.837804, 0.81948, 0.796561, 0.720664, 0.572067, 0.245987, 0, 0, 0, 0]",False
0,"[ 1.10969635e+02 -3.92111754e+00 -5.13326874e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.32670045e-01  1.08069595e+02  3.59084412e+02  1.23110845e-03]",11,0.089,"[0, 0, 0, 0, 0, 0.048213, 0.089307, 0, 0, 0, 0, 0]",False
0,"[137.57531738  -4.19934607 -56.89749146   0.           0.
   1.          12.          -1.           0.66580468  99.84954834
 359.60903931   5.54800659]",4,1.0,"[0, 0, 0, 0, 0, 0.999679, 0, 0.999721, 0, 0, 0, 0]",False
0,"[ 1.53277542e+02 -4.39174795e+00 -5.99582481e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.03015900e-01  1.00624207e+02  3.59653351e+02  3.15933921e-05]",29,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0.999658, 0.999641, 0, 0]",False
