Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-35.84328842  -1.51034617 -13.00592899   0.           0.
   0.          12.          -1.           1.16628277 105.14670563
 359.06463623   5.34984979]",28,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.19387817e+01 -1.84005475e+00 -1.68806114e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.38053465e-01  1.05785942e+02  3.59737946e+02  2.43951881e-05]",24,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.19387817e+01 -1.84005475e+00 -1.68806114e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.38053465e-01  1.05785942e+02  3.59737946e+02  2.41275588e-05]",13,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -9.43808556  -1.95184636 -20.26790619   0.           0.
   0.          14.          -1.           0.26873502 104.53564453
   0.22913954   5.34232258]",25,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 41.85191727  -2.90112925 -34.014328     0.           0.
   0.          14.           1.           0.94734555 100.15834808
 358.13677979   8.34914959]",40,1.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.999799, 0.99978, 0]",False
0,"[ 6.23433876e+01 -3.19920945e+00 -3.34638290e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  1.00000000e+00
  1.00216591e+00  9.42371445e+01  2.44141936e-01  4.06334216e-05]",11,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 80.98093414  -3.489784   -39.03507996   0.           0.
   1.          14.          -1.           0.72445989 113.55265808
   0.24911301   8.18532742]",2,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[134.09819031  -4.1492238  -54.30994034   0.           0.
   0.          14.          -1.           0.78590405 107.81067657
   0.23849919   7.44009897]",3,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.65355438e+02 -4.53321743e+00 -6.34242172e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  4.78705704e-01  1.04395477e+02  3.59693604e+02  2.94641183e+00]",36,1.0,No collision,"[0, 0, 0, 0.99975, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.77477722e+02 -4.66624403e+00 -6.64541321e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01 -1.00000000e+00
  4.66183841e-01  1.03859322e+02  1.38474718e-01  6.93431634e+00]",46,1.0,BoxTruck(Clone)7495a519-fe9b-4dd6-b0f5-5e45a2427149,"[0, 0, 0, 0, 0, 0, 1, 0, 0.999637, 0.999609, 0, 0]",False
0,"[ 2.04031570e+02 -5.05719566e+00 -7.29974518e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  7.69102335e-01  1.01742264e+02  9.32310879e-01  9.80019917e-03]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.04037521e+02 -5.05860043e+00 -7.29812088e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  1.17031395e+00  1.01770187e+02  3.59735291e+02  6.58817084e-05]",18,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.04425400e+02 -5.06418943e+00 -7.30096130e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.40000000e+01  1.00000000e+00
  1.06491172e+00  1.02055176e+02  3.59925812e+02  4.38151959e-02]",39,1.0,No collision,"[0, 0.999944, 0.999945, 0, 0, 0, 0, 0.999947, 0.999947, 0.999949, 0.99995, 0]",False
