Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.90813293e+01 -1.42882538e+00 -1.21315565e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.36065280e+00  1.05085396e+02  3.59082733e+02  1.74740572e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.98252157e+00  1.31176728e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -4.37547785e-01  1.25680741e-01  1.00000000e+00]",68,0.612,No collision,"[0, 0.61211, 0.217375, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.66309738e+01 -1.88622105e+00 -1.84041233e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.25853431e-01  1.05698151e+02  3.59934753e+02  4.81862546e+00
  1.00000000e+00  1.00000000e+00  1.92755484e+01  9.98957969e+00
  1.16764416e+01  1.92755484e+01  1.17355935e+01  1.29633699e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.72828297e+01  0.00000000e+00  1.00000000e+02
  2.49455989e-10  6.37296069e-02  1.00000000e+00]",118,0.609,No collision,"[0.066837, 0.396009, 0.577745, 0.608743, 0.465424, 0.323435, 0.236955, 0.334927, 0.283101, 0.120705, 0, 0]",False
0,"[ 43.91184235  -2.90002346 -32.94713211   0.           0.
   0.          12.          -1.           0.88640982  88.81141663
 358.73904419   9.47097947   2.           2.          54.97429898
  16.62012092  14.07960247  54.97429898   1.81908904   4.7353116
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          35.27495024 100.
  -5.08785167  -2.57409383   1.        ]",149,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.52217484e+01 -3.71529460e+00 -4.42270470e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.26164317e-01  1.03770027e+02  3.59933380e+02  1.06995887e+01
  2.00000000e+00  2.00000000e+00  1.05057206e+02  1.66201209e+01
  1.40796025e+01  1.05057206e+02  1.27471656e+01  1.27829684e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -5.17164663e+00  8.32560665e-02  1.00000000e+00]",145,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.58864578e+02 -4.45513821e+00 -6.11405029e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  6.39405072e-01  1.04501823e+02  3.59674347e+02  1.14176781e+01
  2.00000000e+00  2.00000000e+00  1.70282012e+02  1.66201209e+01
  1.40796025e+01  1.70282012e+02  1.70936658e+01  1.29431516e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.90916986e-02  9.93028174e-02  1.00000000e+00]",109,1.0,BoxTruck(Clone)358b6fd4-9107-41e3-98fb-aee0a31129ac,"[0.453931, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.73864288e+02 -4.65233278e+00 -6.52213135e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.08378935e+00  1.06276611e+02  3.63027602e-02  1.27292270e-02
  3.00000000e+00  3.00000000e+00  7.13453134e+00  6.92514661e-03
  1.49921034e+02  1.85753209e+02  1.32169147e+00  1.29117092e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.52313106e+01  0.00000000e+00  1.00000000e+02
  7.22357306e-01  2.30220664e+00  1.00000000e+00]",18,0.831,No collision,"[0.421671, 0.71216, 0.792065, 0.818417, 0.827349, 0, 0, 0, 0, 0.831001, 0.831058, 0.83105]",False
0,"[ 1.73855865e+02 -4.65210581e+00 -6.52169037e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  2.11672449e+00  1.06308342e+02  1.90209478e-01  4.97836605e-03
  4.00000000e+00  4.00000000e+00  7.14610167e+00  3.04914899e-03
  1.49920968e+02  1.85743771e+02  8.56030830e+01  1.31080750e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.67890559e-01  2.54235975e-01  1.00000000e+00]",51,0.069,No collision,"[0, 0, 0, 0.069343, 0.069086, 0.069228, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.73886032e+02 -4.65246296e+00 -6.52232208e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.78498578e+00  1.06289375e+02  1.33608744e-01  1.22657736e-03
  4.00000000e+00  4.00000000e+00  7.11425765e+00  1.75913494e-03
  1.49921123e+02  1.85774234e+02  3.34601441e+01  1.30383689e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.80770673e-01  1.43760496e+00  1.00000000e+00]",11,0.803,No collision,"[0.491819, 0, 0.713842, 0.802999, 0, 0, 0.748919, 0.74888, 0.748956, 0.748832, 0.74891, 0.748947]",False
0,"[ 1.73914551e+02 -4.65381002e+00 -6.52289963e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.37742746e+00  1.06269760e+02  1.57452852e-01  2.32718650e-02
  7.00000000e+00  7.00000000e+00  7.08459016e+00  9.23452744e-03
  1.49921126e+02  1.85802989e+02  1.30431688e+01  1.29597215e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.58284401e+01  0.00000000e+00  1.00000000e+02
  5.47184731e-01  2.33056331e+00  1.00000000e+00]",145,0.998,No collision,"[0.998264, 0.998263, 0.884624, 0.998262, 0.998261, 0.986667, 0.997417, 0.99739, 0.997396, 0.996996, 0.993514, 0.986948]",False
0,"[ 1.73932800e+02 -4.65431118e+00 -6.52323227e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.44675863e+00  1.06236908e+02  1.32460058e-01  3.80493291e-02
  7.00000000e+00  7.00000000e+00  7.06597668e+00  1.57665181e-02
  1.49921072e+02  1.85821252e+02  1.84049519e+01  1.29912285e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.86054587e+01  0.00000000e+00  1.00000000e+02
  6.23860947e-01  2.02860462e+00  1.00000000e+00]",121,0.904,No collision,"[0.816063, 0.816061, 0.817611, 0.571166, 0.890453, 0.903529, 0.815747, 0.815833, 0.815909, 0.815828, 0.815693, 0.8157]",True
1,"[-3.60715179e+01 -1.50281596e+00 -1.28196564e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.20531535e+00  1.04017014e+02  3.59185852e+02  5.38953087e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  3.52831179e+00  1.33626618e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.64335086e+01  0.00000000e+00  1.00000000e+02
 -1.56043558e+00  4.36922986e-01  1.00000000e+00]",19,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.71325207e+01 -1.88098574e+00 -1.79184456e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.97962284e-01  1.05719490e+02  3.59923126e+02  2.05189841e+00
  1.00000000e+00  1.00000000e+00  2.17531667e+01  9.99902689e+00
  1.00680033e+02  2.17531667e+01  1.00131367e+00  1.29699978e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  9.37965013e+01  0.00000000e+00  1.00000000e+02
 -4.49619431e-01  2.08077462e+00  1.00000000e+00]",0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 30.31161118  -2.67909336 -30.15804672   0.           0.
   0.          20.          -1.           1.01059389  94.47642517
 358.26455688   7.60824696   1.           1.          42.8424917
  10.00279372 122.75257551  42.8424917   19.18700247   1.38365687
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          30.63122946 100.
  -7.17402516  -2.08564786   1.        ]",54,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 8.96602020e+01 -3.63720274e+00 -4.27222176e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01  1.00000000e+00
  8.84150088e-01  1.08652229e+02  3.59956512e+02  1.14517851e+01
  2.00000000e+00  2.00000000e+00  9.93849533e+01  1.00027937e+01
  1.22752576e+02  9.93849533e+01  1.69927827e+01  1.32998287e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  2.55066976e-01  3.11368485e-01  1.00000000e+00]",61,0.808,No collision,"[0, 0, 0, 0, 0.808264, 0.733288, 0.362336, 0, 0, 0, 0, 0]",False
