Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.88656807e+01 -1.43453312e+00 -1.21901140e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.32968593e+00  1.05102707e+02  3.59065735e+02  2.20737090e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  2.05816768e+00  1.31199194e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.41747110e-01 -2.26858795e-02  1.00000000e+00]",142,0.831,No collision,"[0, 0.297643, 0.830983, 0.617042, 0.668381, 0.792178, 0.801642, 0.80202, 0.802041, 0.802042, 0.802043, 0.802043]",False
0,"[-3.19497585e+01 -1.61504269e+00 -1.41008520e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59722078e+00  1.05508316e+02  3.59184906e+02  5.66947620e-05
  1.00000000e+00  1.00000000e+00  6.52280903e+00  0.00000000e+00
  1.19527392e+01  6.52280903e+00  1.68818285e+00  1.27749393e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99964985e+01  1.00000000e+02
 -4.05775832e-01 -3.00000000e+00  1.00000000e+00]",0,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.19497585e+01 -1.61504269e+00 -1.41008520e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01 -1.00000000e+00
  1.59722137e+00  1.05508316e+02  3.59184906e+02  5.67942023e-05
  1.00000000e+00  1.00000000e+00  6.52280438e+00  1.19209290e-05
  1.19527413e+01  6.52280438e+00  1.68806327e+00  1.27749189e+00
  1.04661742e+00  6.31391927e+00  1.19209290e-05  2.62263486e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99981017e+01  1.00000000e+02
 -4.05775832e-01 -3.00000000e+00  1.00000000e+00]",10,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.19497585e+01 -1.61504269e+00 -1.41008520e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01  1.00000000e+00
  1.59722161e+00  1.05508316e+02  3.59184906e+02  5.69195541e-05
  2.00000000e+00  2.00000000e+00  6.52280440e+00  1.19209290e-05
  1.19527397e+01  3.49603985e+01  1.68793602e+00  1.27748973e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99958767e+01  1.00000000e+02
 -4.05775832e-01 -3.00000000e+00  1.00000000e+00]",145,0.997,No collision,"[0, 0, 0.308034, 0.634109, 0.911924, 0.997299, 0.993081, 0.963444, 0.584645, 0, 0, 0]",False
0,"[ 16.47135162  -2.43517852 -27.66329002   0.5          0.
   0.5         20.           1.           0.80767524 105.13793182
 359.65441895  13.85573147   2.           2.          22.88659344
  15.57803123  11.97602114  22.88659344   7.94392236   1.30818169
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          23.75462622 100.
   1.32298469  -0.86107571   1.        ]",67,0.93,No collision,"[0, 0.198875, 0.923723, 0.930486, 0.684058, 0.22478, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.08620377e+01 -3.53476334e+00 -4.32528648e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  2.00000000e+01  1.00000000e+00
  7.28752851e-01  1.04292839e+02  3.58568359e+02  1.05810650e+01
  3.00000000e+00  3.00000000e+00  1.14850642e+01  1.32829760e+01
  1.14911301e+01  9.17713136e+01  5.88029514e+00 -1.33959712e+00
  5.07166228e+00  5.90697915e+00  7.50300488e+00  5.56334011e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  6.88123568e+00  3.05425422e-01  1.00000000e+00]",154,0.997,No collision,"[0.871584, 0.997156, 0.863251, 0.440404, 0.272146, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.37900497e+02 -4.20582867e+00 -5.70753479e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  5.80349028e-01  1.03497086e+02  3.59721893e+02  9.73212111e+00
  3.00000000e+00  3.00000000e+00  8.00327344e+00  9.87604966e+00
  1.17871376e+01  1.49304493e+02  1.02444622e+00  1.33663771e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.98805834e-01  1.81257958e-01  1.00000000e+00]",39,0.997,No collision,"[0.908116, 0.99745, 0.990695, 0.955626, 0.748733, 0.207078, 0.000357, 0, 0, 0, 0, 0]",False
0,"[ 1.99336365e+02 -4.97943735e+00 -7.23711395e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  7.93418944e-01  1.04451553e+02  6.10445961e-02  1.13504647e+01
  4.00000000e+00  4.00000000e+00  1.17871369e+01  1.15415376e+01
  1.19825715e+01  2.12125819e+02  1.66171664e+00  1.32095376e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.94855608e-02  3.18744210e-01  1.00000000e+00]",98,0.997,No collision,"[0.888536, 0.996648, 0.972367, 0.985144, 0.89463, 0.682455, 0.307531, 0.059023, 0, 0, 0, 0]",False
0,"[ 2.69751709e+02 -6.29332542e+00 -9.07456665e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.40000000e+01 -1.00000000e+00
  1.00371623e+00  1.05034424e+02  9.88430306e-02  1.28534778e+01
  5.00000000e+00  5.00000000e+00  1.24428664e+01  8.48337760e+00
  1.18537618e+01  1.60460214e+02  1.96338967e+00  1.33024430e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.86750749e+01  1.00000000e+02
 -7.26493706e-01 -1.08699435e-01  1.00000000e+00]",4,0.994,No collision,"[0.93094, 0.99447, 0.97662, 0.936238, 0.989809, 0.806395, 0.545527, 0.778921, 0.781194, 0.026901, 0.05436, 0]",False
0,"[ 335.06692505   -7.34304857 -104.03230286    0.5           0.
    0.5          14.           -1.            0.80151165   60.42432022
  359.16070557    5.62856155    6.            6.           16.68224106
    5.58229264   11.92754505  350.92233423    0.75498192    1.49538056
  100.           10.          100.           20.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.           22.60223309  100.
   38.81342825   -1.21460991    1.        ]",28,0.683,No collision,"[0, 0, 0, 0.281227, 0.584878, 0.683427, 0.113217, 0, 0, 0, 0, 0]",False
