Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.50825996e+01 -1.52938461e+00 -1.32089014e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.21696830e+00  1.05126175e+02  3.59099792e+02  5.84006859e+00
  1.78508948e+01  0.00000000e+00  1.00000000e+02 -4.41877034e-01
  3.48952959e-01  1.00000000e+00]",74,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-7.63421726e+00 -1.96140099e+00 -2.09846878e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.24489176e-01  1.06103928e+02  1.70614660e-01  3.03593905e-04
  0.00000000e+00  6.80634190e+01  1.00000000e+02  4.73864117e-01
 -3.00000000e+00  1.00000000e+00]",14,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-7.58998442e+00 -1.96162128e+00 -2.09965706e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.06325167e-01  1.06106148e+02  1.70500994e-01  1.52441279e-05
  0.00000000e+00  4.72481602e+01  1.00000000e+02  4.73864117e-01
 -2.74448049e-02  1.00000000e+00]",35,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-6.59957886e+00 -1.96679485e+00 -2.12811985e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.31669168e-02  1.06086075e+02  1.68588012e-01  2.63467845e+00
  9.19578937e+01  0.00000000e+00  1.00000000e+02  1.24959531e-01
  1.87429248e+00  1.00000000e+00]",48,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 51.14620209  -3.03639817 -35.65161133   0.           0.
   0.          12.           1.           0.77462161  97.32051849
 358.24154663  13.5506998   28.68774113   0.         100.
   1.74301124   1.16350079   1.        ]",56,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 99.53620911  -3.7523129  -38.54031372   0.           0.
   0.          12.           1.           0.71674597 109.26287079
 356.18606567   4.11642205   0.          19.35432723 100.
  -9.48485246  -1.08065695   1.        ]",135,1.0,Sedan(Clone)cc252786-b870-4b88-8ccb-daf8df7cf5be,"[0, 0.657402, 1, 0.232643, 0.231134, 0.23088, 0.229797, 0.228632, 0.481469, 0.229656, 0.812693, 0.230774]",False
0,"[ 1.05618355e+02 -3.86057758e+00 -4.12241287e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.41524577e+00  1.15375916e+02  3.59544250e+02  1.11239969e-03
  1.57000000e+01  0.00000000e+00  1.00000000e+02  7.20788358e-04
  2.04653800e-01  1.00000000e+00]",15,0.925,No collision,"[0.736403, 0.232062, 0.232298, 0.917677, 0.92195, 0.235699, 0.236604, 0.924131, 0.92435, 0.239498, 0.924733, 0.924899]",False
0,"[ 1.05680931e+02 -3.86018705e+00 -4.12402267e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.31671679e+00  1.15020714e+02  3.59692352e+02  9.35472542e-03
  1.57000000e+01  0.00000000e+00  1.00000000e+02 -1.59785733e-02
  2.03171704e-01  1.00000000e+00]",27,0.927,No collision,"[0.242164, 0.242049, 0.925002, 0.925385, 0.925588, 0.24582, 0.2457, 0.926009, 0.926289, 0.926449, 0.926696, 0.926843]",False
0,"[ 1.05739357e+02 -3.86087179e+00 -4.12554131e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.30866897e+00  1.14648552e+02  3.59711273e+02  1.35470617e-02
  1.57000000e+01  0.00000000e+00  1.00000000e+02  1.69515979e-06
  2.00319796e-01  1.00000000e+00]",33,0.928,No collision,"[0.252216, 0.252196, 0.25318, 0.927232, 0.927538, 0.927727, 0.927929, 0.256652, 0.928182, 0.92816, 0.849267, 0.750123]",False
0,"[ 1.05796013e+02 -3.86171317e+00 -4.12692032e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.30745840e+00  1.14327003e+02  3.59718597e+02  1.34835313e-02
  1.57000000e+01  0.00000000e+00  1.00000000e+02  6.40176006e-11
  1.95552824e-01  1.00000000e+00]",68,0.931,No collision,"[0.26145, 0.261341, 0.91271, 0.924007, 0.927948, 0.733204, 0.266335, 0.930039, 0.26777, 0.930262, 0.930477, 0.930538]",False
