Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.95698624e+01 -1.41595125e+00 -1.19990692e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.39608383e+00  1.05055733e+02  3.59123413e+02  1.04378844e+00
  0.00000000e+00  1.45000000e+01  1.00000000e+02 -4.39375944e-01
 -5.75229563e-02  1.00000000e+00]",113,0.678,No collision,"[0, 0.678128, 0.198404, 0.197565, 0.218205, 0.216223, 0.170033, 0.203972, 0.195447, 0, 0, 0]",False
0,"[-1.92916832e+01 -1.86957943e+00 -1.76388702e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.48606592e-01  1.05712608e+02  3.59715485e+02  3.71871441e+00
  5.72300596e+01  0.00000000e+00  1.00000000e+02 -3.26832997e-01
  2.16545509e-02  1.00000000e+00]",80,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.38977747e+01 -1.91385317e+00 -1.91703415e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.58099854e-01  1.05883514e+02  2.03692853e-01  2.25523119e-03
  0.00000000e+00  6.99981737e+01  1.00000000e+02  9.04484352e-01
 -3.00000000e+00  1.00000000e+00]",28,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -2.32730913  -2.01766658 -22.45845795   0.           0.
   0.          12.          -1.           1.1566565  105.85897827
   0.11098124   8.87612292  35.93736336   0.         100.
   0.22355819   1.79112803   1.        ]",74,0.345,No collision,"[0, 0.098316, 0.345196, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 39.64588165  -2.8316505  -32.00727463   0.           0.
   0.          12.           1.           0.80916631  98.61891937
 358.98709106   6.59589015  26.3096627    0.         100.
  11.4186256    1.09195542   1.        ]",121,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 67.94033813  -3.29396033 -36.37266922   0.           0.
   0.          12.           1.           0.71827811 103.53604889
 359.76455688   4.84038869  54.158095     0.         100.
  -0.66875653   1.79810442   1.        ]",21,0.841,No collision,"[0, 0.723881, 0.840549, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[109.38676453  -3.88184285 -48.31516266   0.           0.
   0.          12.          -1.           0.69870818 109.10159302
 359.89035034   9.29473728   0.          35.67300503 100.
   5.39825901  -2.63928153   1.        ]",9,0.368,No collision,"[0, 0, 0.223819, 0.368177, 0.362507, 0, 0, 0.101017, 0.138863, 0.146201, 0.126926, 0.118681]",False
0,"[ 1.62806046e+02 -4.50727510e+00 -6.24961166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.77523851e-01  1.05604401e+02  3.59870605e+02  1.43703774e+01
  1.57000000e+01  0.00000000e+00  1.00000000e+02 -2.37214792e+00
  3.20379618e-01  1.00000000e+00]",131,1.0,Jeep(Clone)4129af46-15b6-41d8-890c-70bdd04332dd,"[0.677057, 1, 0.072375, 1, 0.119622, 0.07512, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.75864883e+02 -4.64651632e+00 -6.60275040e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.66020334e-01  1.05170265e+02  1.45803109e-01  1.01057987e-02
  0.00000000e+00  2.98454974e+01  1.00000000e+02  2.94602100e-01
 -1.81381502e+00  1.00000000e+00]",10,1.0,Jeep(Clone)4129af46-15b6-41d8-890c-70bdd04332dd,"[0, 0, 0.726857, 0.754255, 0.736721, 0.694383, 0.71924, 0.78767, 1, 0.747158, 0.60586, 0.109885]",False
0,"[ 1.97735001e+02 -4.95437765e+00 -7.18475723e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.61508548e-01  1.04614525e+02  3.34702209e-02  4.27621277e+00
  0.00000000e+00  4.10242403e+01  1.00000000e+02  1.35435286e-01
 -3.15582053e+00  1.00000000e+00]",46,0.683,No collision,"[0.327349, 0.637762, 0.669603, 0.682582, 0, 0, 0, 0, 0, 0, 0.207759, 0]",False
0,"[ 2.26289429e+02 -5.49503994e+00 -7.91983109e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.15018392e+00  1.04512115e+02  3.59828583e+02  9.49928257e+00
  0.00000000e+00  1.45000000e+01  1.00000000e+02 -1.49127077e-01
 -1.58405830e-01  1.00000000e+00]",63,1.0,Jeep(Clone)4129af46-15b6-41d8-890c-70bdd04332dd,"[0, 0, 0, 0, 0, 0.407891, 0.463876, 0.584922, 1, 0.695675, 0.682109, 0.720689]",False
0,"[ 2.80405365e+02 -6.49388695e+00 -9.36090393e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.45579207e-01  1.05419830e+02  5.69586679e-02  1.10869535e+01
  6.45951287e+01  0.00000000e+00  1.00000000e+02 -1.87203756e-01
  1.70197295e+00  1.00000000e+00]",52,0.911,No collision,"[0.83536, 0.910406, 0.911197, 0.838097, 0.737677, 0.610903, 0.417515, 0.398444, 0.512527, 0.613557, 0.634154, 0.353193]",False
0,"[337.16452026  -7.39950371 -92.37871552   0.           0.
   0.          12.           1.         359.58181763 358.90771484
 357.35150146   9.10038936   0.          14.5        100.
  30.52642685  -0.47657082   1.        ]",69,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
