Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-33.6513443   -1.56849802 -13.58929825   0.           0.
   0.          12.          -1.           1.31626344 105.03137207
 359.15179443   7.11563429   6.88521261   1.30790291]",111,0.297,No collision,"[0, 0, 0.29705, 0.138681, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 26.98369026  -2.64554048 -30.26050758   0.           0.
   0.          12.          -1.           0.94317263 105.36607361
 358.74801636   9.43190667  62.9657049    1.30248148]",106,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.68726273e+01 -2.82537007e+00 -3.30613289e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.04657674e+00  1.05885101e+02  3.58467346e+02  1.13400342e-04
  1.43944511e+00  1.29717148e+00]",91,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.81364822e+01 -3.12953806e+00 -3.24378166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.96911049e-01  8.09977264e+01  3.59986755e+02  7.93024814e-05
  9.49400102e+00  4.92572572e+00]",96,0.67,No collision,"[0, 0.643728, 0.336417, 0.670225, 0.608154, 0.058487, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.03190155e+01 -3.50280023e+00 -4.18047600e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.08019412e+00  1.29581818e+02  3.59795959e+02  1.54224683e-03
  1.34177671e+00  8.80898691e-01]",144,0.76,No collision,"[0.328169, 0.694126, 0, 0, 0.077629, 0.760126, 0.649747, 0.477091, 0.016613, 0, 0, 0]",False
0,"[ 87.14426422  -3.6871047  -48.46979523   0.2          0.
   0.2         12.           1.           0.22922833 134.5304718
   0.79141909   3.28710237  34.72723846   1.16491014]",75,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 95.73371124  -3.77635241 -54.92182159   0.2          0.
   0.2         12.          -1.           0.89753544 128.48190308
   3.13993692   2.95483266  30.20616948   0.98177538]",110,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.70295563e+01 -3.84544230e+00 -5.52119980e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  2.36311579e+00  1.15719337e+02  1.07718408e+00  3.59630651e-03
  1.07101043e+01 -6.96983661e-01]",61,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.70309525e+01 -3.84524298e+00 -5.52086296e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  2.36479568e+00  1.15809822e+02  1.16537631e+00  3.68879084e-04
  3.14820042e+01 -1.51464649e+00]",51,0.045,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.045372, 0, 0]",False
0,"[ 9.70322876e+01 -3.84586453e+00 -5.52055321e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  2.35136223e+00  1.15886398e+02  1.16831207e+00  1.23629474e-03
  4.28333253e+01  1.54289640e+00]",146,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.69971161e+01 -3.85036969e+00 -5.51779480e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  2.72494459e+00  1.16067345e+02  1.24813223e+00  1.41431651e-04
  1.33042791e+00  1.11006976e+00]",45,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.69998856e+01 -3.85007405e+00 -5.51713028e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  2.73480582e+00  1.16222336e+02  1.19312549e+00  5.25654328e-04
  4.28666949e+01  1.54211927e+00]",126,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
