Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-40.01327896  -1.40431261 -11.87883377   0.           0.
   0.          12.          -1.           1.39809108 105.01764679
 359.16357422   0.66955456   2.34957369   1.31038434]",150,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.16823883e+01 -1.62271464e+00 -1.41667099e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.61234045e+00  1.05437019e+02  3.59199768e+02  2.30989056e+00
  2.48938780e+00  1.29727016e+00]",62,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.96327705e+01 -1.68713856e+00 -1.47405195e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.84650791e+00  1.05546898e+02  3.59286652e+02  6.08060927e-05
  1.33661569e+00  1.30272776e+00]",56,0.202,No collision,"[0, 0, 0, 0.165379, 0.173646, 0.201814, 0.157297, 0, 0, 0, 0, 0]",False
0,"[-2.96327686e+01 -1.68714833e+00 -1.47410889e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.84653318e+00  1.05546906e+02  3.59286285e+02  6.06084069e-05
  1.33687133e+00  1.30220884e+00]",49,0.933,No collision,"[0, 0, 0.237515, 0.148003, 0, 0.556419, 0.74013, 0.933071, 0.774704, 0.449872, 0, 0]",False
0,"[ 4.53176975e+00 -2.16657138e+00 -2.44260139e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.13176775e+00  1.05799095e+02  3.59891663e+02  1.11057046e+01
  7.76592275e+00  1.29533111e+00]",25,0.892,No collision,"[0.108412, 0.428518, 0.855252, 0.892101, 0.132212, 0, 0, 0, 0, 0.056307, 0.508001, 0.517192]",False
0,"[ 56.51601028  -3.10576677 -35.35076523   0.           0.
   0.2         12.           1.           0.85496193 103.27093506
   0.2483189    7.28277783  12.12542678   1.40615203]",27,0.997,No collision,"[0, 0.225333, 0.523246, 0.856322, 0.996585, 0.893951, 0.596308, 0.403159, 0.200713, 0, 0, 0]",False
0,"[ 1.08638206e+02 -3.87453771e+00 -4.82357712e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.83609939e-01  1.04555931e+02  3.59858063e+02  1.01109320e+01
  8.62466704e+00  1.31720679e+00]",134,0.991,No collision,"[0.275185, 0.508934, 0.732109, 0.991014, 0.873342, 0.615681, 0.410583, 0.211019, 0.015722, 0, 0, 0]",False
0,"[ 1.71638901e+02 -4.59690523e+00 -6.47705917e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.71157420e-01  1.04659035e+02  1.23205379e-01  1.16493962e+01
  1.34443124e+00  1.31438275e+00]",73,1.0,No collision,"[0.577491, 0.880231, 0.999897, 0.953051, 0.819107, 0.667903, 0.823285, 0.042934, 0, 0, 0, 0]",False
0,"[ 2.42913010e+02 -5.83085728e+00 -8.35466156e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.07978928e+00  1.04880035e+02  3.59469910e+02  1.32107980e+01
  1.11495146e+01  1.31395915e+00]",109,1.0,BoxTruck(Clone)d3b4b991-a9ea-4079-80f6-617c5777674d,"[0.625154, 1, 0.443384, 1, 0.774827, 0.926756, 0.995126, 0.981699, 0.886641, 0.713371, 1, 0.0645]",False
0,"[ 2.63678894e+02 -6.18071461e+00 -8.92026443e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.03325760e+00  1.05379517e+02  9.01938528e-02  2.05949436e+00
  1.11319757e+01  1.30408935e+00]",107,1.0,BoxTruck(Clone)d3b4b991-a9ea-4079-80f6-617c5777674d,"[0.714883, 0.817673, 0.129328, 1, 0.615203, 0.620685, 0.653904, 0.676924, 0.694177, 0.70687, 0.774838, 0.822409]",False
0,"[ 2.75728394e+02 -6.40166569e+00 -9.23885574e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.17539096e+00  1.04501152e+02  3.38079073e-02  3.17997694e+00
  4.16926726e+00  1.32037476e+00]",132,0.991,No collision,"[0.67464, 0.776781, 0.890334, 0.956247, 0.987431, 0.969037, 0.826078, 0.798386, 0.908644, 0.991373, 0.882246, 0.771469]",False
