Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.99462738e+01 -1.40606236e+00 -1.18971500e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.43380773e+00  1.05030624e+02  3.59155792e+02  5.07214749e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05]",85,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-36.07019806  -1.5048306  -12.95702171   0.           0.
   0.          12.          -1.           1.40743554 105.23519135
 359.04980469   2.81104062   1.           1.           7.25625111
   3.66553273  18.50648155   7.25625111]",114,0.337,No collision,"[0, 0, 0, 0, 0.337308, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.02591801e+01 -1.66733611e+00 -1.45685873e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75194407e+00  1.05518196e+02  3.59265137e+02  6.44894160e-05
  2.00000000e+00  2.00000000e+00  8.17637908e+00  4.76837158e-05
  1.85152759e+01  3.36250163e+01]",42,0.382,No collision,"[0, 0, 0, 0.165506, 0.170196, 0.170267, 0.170267, 0.209214, 0.089781, 0, 0.382014, 0]",False
0,"[-3.02591801e+01 -1.66734636e+00 -1.45691576e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.75197875e+00  1.05518204e+02  3.59264771e+02  6.39379603e-05
  3.00000000e+00  3.00000000e+00  8.17655660e+00  0.00000000e+00
  1.85152702e+01  1.74905736e+01]",146,0.499,No collision,"[0, 0, 0, 0, 0.113203, 0.235854, 0.242905, 0.251981, 0.175503, 0.415447, 0.461159, 0.498657]",False
0,"[  9.45813751  -2.28979731 -25.79864693   1.           0.
   1.          12.           1.           1.36163712 105.88552094
 359.8293457   13.09037756   3.           3.          16.82112387
  12.22328767  18.37551335  27.57298896]",66,0.672,No collision,"[0.413066, 0.341169, 0.218937, 0.442274, 0.585788, 0.596742, 0.640075, 0.672155, 0.545588, 0.377918, 0.531502, 0]",False
0,"[ 7.11483917e+01 -3.32952404e+00 -3.19003887e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59194305e+02  4.15529404e+01  3.58608398e+02  7.56133552e-03
  4.00000000e+00  4.00000000e+00  7.96499052e+00  1.00425965e+01
  1.84840303e+01  7.80436684e+01]",21,0.092,No collision,"[0, 0, 0, 0.091685, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 7.11690292e+01 -3.32811952e+00 -3.19096432e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59091583e+02  4.12674675e+01  3.58583679e+02  2.97454000e-03
  5.00000000e+00  5.00000000e+00  3.05803496e+01  1.53171023e+01
  1.19652565e+01  7.80662054e+01]",52,0.159,No collision,"[0, 0, 0, 0, 0, 0, 0.159165, 0.018108, 0, 0, 0, 0]",False
0,"[ 7.11910553e+01 -3.32847691e+00 -3.19209385e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59080505e+02  4.08543472e+01  3.58633087e+02  6.13055803e-03
  6.00000000e+00  6.00000000e+00  5.05937004e+01  1.56357516e+01
  1.24094310e+01  7.80909177e+01]",140,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 7.12100525e+01 -3.32872939e+00 -3.19300537e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59087494e+02  4.05614395e+01  3.58599213e+02  3.87742610e-03
  6.00000000e+00  6.00000000e+00  7.81119731e+01  9.97917018e+00
  1.79106164e+02  7.81119731e+01]",27,0.447,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.447045, 0.176582, 0]",False
0,"[ 7.12255707e+01 -3.32902145e+00 -3.19378052e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59092316e+02  4.03562202e+01  3.58594360e+02  3.16232877e-03
  7.00000000e+00  7.00000000e+00  2.81940371e+01  1.56154919e+01
  1.00683016e+02  7.81293012e+01]",66,0.516,No collision,"[0, 0, 0, 0, 0, 0, 0.516011, 0.243571, 0, 0, 0, 0]",True
